LARC       LATITUDE    -62.2     LONGITUDE     301.04    ALTITUDE    40 M
LARC       INSTRUMENT   6-NM-64  NEUTRON MONITOR
LARC       STANDARD PRESSURE    980     mb     COEFFICIENT   -0.74     % / mb
LARC       PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
LARC       PRE-INCREASE AVERAGE COUNTING RATE     75.82      COUNTS PER SECOND
LARC       TIME INTERVALS    300         3600     
LARC       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
LARC       061213 300  133000-133500   00      84.72  966.1     76.41     0.80    -9999
LARC       061213 300  133500-134000   00      85.26  966.1     76.90     1.40    -9999
LARC       061213 300  134000-134500   00      85.22  966.0     76.86     1.40    -9999
LARC       061213 300  134500-135000   00      82.83  966.1     74.72    -1.40    -9999
LARC       061213 300  135000-135500   00      84.71  966.1     76.43     0.80    -9999
LARC       061213 300  135500-140000   00      83.49  966.2     75.37    -0.60    -9999
LARC       061213 300  140000-140500   00      84.36  966.2     76.17     0.50    -9999
LARC       061213 300  140500-141000   00      83.78  966.2     75.67    -0.20    -9999
LARC       061213 300  141000-141500   00      83.83  966.3     75.73    -0.10    -9999
LARC       061213 300  141500-142000   00      84.78  966.2     76.54     1.00    -9999
LARC       061213 300  142000-142500   00      84.79  966.2     76.56     1.00    -9999
LARC       061213 300  142500-143000   00      84.21  966.2     76.05     0.30    -9999
LARC       061213 300  143000-143500   00      84.38  966.3     76.24     0.60    -9999
LARC       061213 300  143500-144000   00      85.03  966.3     76.82     1.30    -9999
LARC       061213 300  144000-144500   00      82.64  966.4     74.73    -1.40    -9999
LARC       061213 300  144500-145000   00      84.32  966.5     76.28     0.60    -9999
LARC       061213 300  145000-145500   00      84.12  966.5     76.12     0.40    -9999
LARC       061213 300  145500-150000   00      85.06  966.4     76.90     1.40    -9999
LARC       061213 300  150000-150500   00      82.92  966.5     75.04    -1.00    -9999
LARC       061213 300  150500-151000   00      85.14  966.5     77.06     1.70    -9999
LARC       061213 300  151000-151500   00      84.90  966.5     76.83     1.30    -9999
LARC       061213 300  151500-152000   00      83.44  966.5     75.52    -0.40    -9999
LARC       061213 300  152000-152500   00      84.77  966.6     76.77     1.30    -9999
LARC       061213 300  152500-153000   00      84.47  966.5     76.45     0.80    -9999
LARC       061213 300  153000-153500   00      84.30  966.6     76.35     0.70    -9999
LARC       061213 300  153500-154000   00      85.01  966.6     77.00     1.60    -9999
LARC       061213 300  154000-154500   00      84.56  966.6     76.58     1.00    -9999
LARC       061213 300  154500-155000   00      84.11  966.6     76.19     0.50    -9999
LARC       061213 300  155000-155500   00      83.71  966.7     75.88     0.10    -9999
LARC       061213 300  155500-160000   00      84.44  966.7     76.54     1.00    -9999
LARC       061213 300  160000-160500   00      85.65  966.8     77.67     2.50    -9999
LARC       061213 300  160500-161000   00      83.43  966.8     75.68    -0.20    -9999
LARC       061213 300  161000-161500   00      83.31  966.8     75.56    -0.30    -9999
LARC       061213 300  161500-162000   00      84.02  966.8     76.21     0.50    -9999
LARC       061213 300  162000-162500   00      84.16  966.9     76.39     0.80    -9999
LARC       061213 300  162500-163000   00      82.45  967.0     74.89    -1.20    -9999
LARC       061213 300  163000-163500   00      84.23  967.0     76.50     0.90    -9999
LARC       061213 300  163500-164000   00      84.33  967.0     76.58     1.00    -9999
LARC       061213 300  164000-164500   00      85.00  967.0     77.18     1.80    -9999
LARC       061213 300  164500-165000   00      85.16  967.0     77.37     2.10    -9999
LARC       061213 300  165000-165500   00      85.69  967.0     77.84     2.70    -9999
LARC       061213 300  165500-170000   00      84.23  967.1     76.55     1.00    -9999
LARC       061213 300  170000-170500   00      84.96  967.1     77.25     1.90    -9999
LARC       061213 300  170500-171000   00      83.94  967.2     76.36     0.70    -9999
LARC       061213 300  171000-171500   00      83.16  967.2     75.63    -0.20    -9999
LARC       061213 300  171500-172000   00      83.90  967.2     76.33     0.70    -9999
LARC       061213 300  172000-172500   00      84.34  967.3     76.76     1.30    -9999
LARC       061213 300  172500-173000   00      83.92  967.3     76.40     0.80    -9999
