KIEL       LATITUDE    54.3      LONGITUDE     10.1      ALTITUDE    54 M
KIEL       INSTRUMENT   18NM64    NEUTRON MONITOR	
KIEL       STANDARD PRESSURE    1006.6  mb     COEFFICIENT   -0.721    % / mb
KIEL       PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
KIEL       PRE-INCREASE AVERAGE COUNTING RATE    170.29      COUNTS PER SECOND
KIEL       TIME INTERVALS    300         3600     
KIEL       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
KIEL       120517 300  110500-111000   00     166.36 1011.3    172.07     1.00    -9999
KIEL       120517 300  111000-111500   00     164.87 1011.3    170.55     0.20    -9999
KIEL       120517 300  111500-112000   00     165.38 1011.2    170.97     0.40    -9999
KIEL       120517 300  112000-112500   00     165.60 1011.2    171.18     0.50    -9999
KIEL       120517 300  112500-113000   00     167.81 1011.3    173.54     1.90    -9999
KIEL       120517 300  113000-113500   00     168.58 1011.3    174.41     2.40    -9999
KIEL       120517 300  113500-114000   00     165.47 1011.4    171.29     0.60    -9999
KIEL       120517 300  114000-114500   00     165.14 1011.4    170.94     0.40    -9999
KIEL       120517 300  114500-115000   00     165.98 1011.4    171.82     0.90    -9999
KIEL       120517 300  115000-115500   00     165.41 1011.4    171.17     0.50    -9999
KIEL       120517 300  115500-120000   00     168.95 1011.3    174.79     2.60    -9999
KIEL       120517 300  120000-120500   00     164.98 1011.4    170.76     0.30    -9999
KIEL       120517 300  120500-121000   00     167.01 1011.4    172.90     1.50    -9999
KIEL       120517 300  121000-121500   00     166.20 1011.5    172.12     1.10    -9999
KIEL       120517 300  121500-122000   00     169.14 1011.5    175.27     2.90    -9999
KIEL       120517 300  122000-122500   00     168.61 1011.5    174.71     2.60    -9999
KIEL       120517 300  122500-123000   00     170.40 1011.5    176.51     3.70    -9999
KIEL       120517 300  123000-123500   00     168.03 1011.5    174.06     2.20    -9999
KIEL       120517 300  123500-124000   00     167.73 1011.5    173.75     2.00    -9999
KIEL       120517 300  124000-124500   00     168.83 1011.5    174.89     2.70    -9999
KIEL       120517 300  124500-125000   00     165.04 1011.6    171.04     0.40    -9999
KIEL       120517 300  125000-125500   00     165.17 1011.6    171.18     0.50    -9999
KIEL       120517 300  125500-130000   00     165.05 1011.5    171.03     0.40    -9999
KIEL       120517 300  130000-130500   00     166.37 1011.5    172.40     1.20    -9999
KIEL       120517 300  130500-131000   00     166.27 1011.5    172.29     1.20    -9999
KIEL       120517 300  131000-131500   00     164.01 1011.5    169.92    -0.20    -9999
KIEL       120517 300  131500-132000   00     165.92 1011.6    171.95     1.00    -9999
KIEL       120517 300  132000-132500   00     165.83 1011.5    171.73     0.80    -9999
KIEL       120517 300  132500-133000   00     166.65 1011.4    172.48     1.30    -9999
KIEL       120517 300  133000-133500   00     166.53 1011.3    172.27     1.20    -9999
KIEL       120517 300  133500-134000   00     167.70 1011.3    173.44     1.80    -9999
KIEL       120517 300  134000-134500   00     165.23 1011.3    170.94     0.40    -9999
KIEL       120517 300  134500-135000   00     164.01 1011.3    169.66    -0.40    -9999
KIEL       120517 300  135000-135500   00     165.53 1011.2    171.11     0.50    -9999
KIEL       120517 300  135500-140000   00     164.00 1011.3    169.63    -0.40    -9999
KIEL       120517 300  140000-140500   00     166.73 1011.3    172.53     1.30    -9999
KIEL       120517 300  140500-141000   00     167.32 1011.3    173.05     1.60    -9999
KIEL       120517 300  141000-141500   00     166.91 1011.1    172.46     1.30    -9999
KIEL       120517 300  141500-142000   00     167.51 1011.1    173.05     1.60    -9999
KIEL       120517 300  142000-142500   00     166.15 1011.1    171.65     0.80    -9999
KIEL       120517 300  142500-143000   00     165.80 1011.1    171.29     0.60    -9999
KIEL       120517 300  143000-143500   00     164.86 1011.1    170.26     0.00    -9999
KIEL       120517 300  143500-144000   00     166.51 1011.0    171.86     0.90    -9999
KIEL       120517 300  144000-144500   00     166.78 1011.0    172.15     1.10    -9999
KIEL       120517 300  144500-145000   00     165.00 1011.0    170.34     0.00    -9999
KIEL       120517 300  145000-145500   00     167.42 1011.0    172.81     1.50    -9999
KIEL       120517 300  145500-150000   00     166.51 1011.0    171.82     0.90    -9999
KIEL       120517 300  150000-150500   00     171.67 1010.9    177.02     4.00    -9999
KIEL       120517 300  150500-151000   00     165.09 1010.9    170.33     0.00    -9999
KIEL       120517 300  151000-151500   00     162.51 1011.0    167.69    -1.50    -9999
KIEL       120517 300  151500-152000   00     165.83 1010.9    171.04     0.40    -9999
KIEL       120517 300  152000-152500   00     166.47 1010.8    171.59     0.80    -9999
KIEL       120517 300  152500-153000   00     165.37 1010.8    170.40     0.10    -9999
KIEL       120517 300  153000-153500   00     166.57 1010.8    171.67     0.80    -9999
KIEL       120517 300  153500-154000   00     168.03 1010.7    173.07     1.60    -9999
KIEL       120517 300  154000-154500   00     168.65 1010.7    173.65     2.00    -9999
KIEL       120517 300  154500-155000   00     164.38 1010.6    169.23    -0.60    -9999
KIEL       120517 300  155000-155500   00     164.09 1010.6    168.86    -0.80    -9999
KIEL       120517 300  155500-160000   00     163.65 1010.6    168.41    -1.10    -9999
KIEL       120517 300  160000-160500   00     165.74 1010.6    170.56     0.20    -9999
KIEL       120517 300  160500-161000   00     164.93 1010.5    169.62    -0.40    -9999
KIEL       120517 300  161000-161500   00     163.76 1010.4    168.32    -1.20    -9999
KIEL       120517 300  161500-162000   00     166.46 1010.4    171.06     0.50    -9999
KIEL       120517 300  162000-162500   00     170.98 1010.4    175.72     3.20    -9999
KIEL       120517 300  162500-163000   00     163.71 1010.4    168.20    -1.20    -9999
KIEL       120517 300  163000-163500   00     164.90 1010.4    169.42    -0.50    -9999
KIEL       120517 300  163500-164000   00     164.56 1010.3    169.00    -0.80    -9999
KIEL       120517 300  164000-164500   00     165.70 1010.3    170.22     0.00    -9999
KIEL       120517 300  164500-165000   00     165.48 1010.3    170.00    -0.20    -9999
KIEL       120517 300  165000-165500   00     164.84 1010.3    169.29    -0.60    -9999
KIEL       120517 300  165500-170000   00     164.26 1010.3    168.69    -0.90    -9999
KIEL       120517 300  170000-170500   00     166.56 1010.3    171.03     0.40    -9999
KIEL       120517 300  170500-171000   00     164.65 1010.3    169.07    -0.70    -9999
KIEL       120517 300  171000-171500   00     165.16 1010.3    169.59    -0.40    -9999
KIEL       120517 300  171500-172000   00     164.61 1010.3    169.03    -0.70    -9999
