LOMNICKY   LATITUDE    49.2      LONGITUDE     20.22     ALTITUDE    2634 M
LOMNICKY   INSTRUMENT   8-NM-64  NEUTRON MONITOR	
LOMNICKY   STANDARD PRESSURE    747     mb     COEFFICIENT   -0.72     % / mb
LOMNICKY   PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
LOMNICKY   PRE-INCREASE AVERAGE COUNTING RATE    470.15      COUNTS PER SECOND
LOMNICKY   TIME INTERVALS    300         3600     
LOMNICKY   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
LOMNICKY   120517 300  103500-104000   00     485.27  731.8    480.27     2.20    -9999
LOMNICKY   120517 300  104000-104500   00     479.34  731.8    474.41     0.90    -9999
LOMNICKY   120517 300  104500-105000   00     484.72  731.8    479.77     2.00    -9999
LOMNICKY   120517 300  105000-105500   00     481.28  731.8    476.12     1.30    -9999
LOMNICKY   120517 300  105500-110000   00     482.65  732.0    478.27     1.70    -9999
LOMNICKY   120517 300  110000-110500   00     480.85  732.2    477.20     1.50    -9999
LOMNICKY   120517 300  110500-111000   00     478.76  732.2    475.04     1.00    -9999
LOMNICKY   120517 300  111000-111500   00     482.53  732.3    479.05     1.90    -9999
LOMNICKY   120517 300  111500-112000   00     478.43  732.3    475.24     1.10    -9999
LOMNICKY   120517 300  112000-112500   00     479.10  732.4    476.06     1.30    -9999
LOMNICKY   120517 300  112500-113000   00     478.13  732.5    475.52     1.10    -9999
LOMNICKY   120517 300  113000-113500   00     483.70  732.3    480.45     2.20    -9999
LOMNICKY   120517 300  113500-114000   00     481.62  732.4    478.51     1.80    -9999
LOMNICKY   120517 300  114000-114500   00     479.98  732.5    477.27     1.50    -9999
LOMNICKY   120517 300  114500-115000   00     483.36  732.5    480.79     2.30    -9999
LOMNICKY   120517 300  115000-115500   00     481.71  732.4    478.79     1.80    -9999
LOMNICKY   120517 300  115500-120000   00     475.42  732.4    472.48     0.50    -9999
LOMNICKY   120517 300  120000-120500   00     474.91  732.6    472.56     0.50    -9999
LOMNICKY   120517 300  120500-121000   00     479.14  732.5    476.53     1.40    -9999
LOMNICKY   120517 300  121000-121500   00     479.16  732.6    476.97     1.50    -9999
LOMNICKY   120517 300  121500-122000   00     481.49  732.7    479.47     2.00    -9999
LOMNICKY   120517 300  122000-122500   00     475.68  732.6    473.48     0.70    -9999
LOMNICKY   120517 300  122500-123000   00     477.00  732.6    474.76     1.00    -9999
LOMNICKY   120517 300  123000-123500   00     477.54  732.6    475.39     1.10    -9999
LOMNICKY   120517 300  123500-124000   00     474.23  732.7    472.37     0.50    -9999
LOMNICKY   120517 300  124000-124500   00     474.75  732.8    473.13     0.60    -9999
LOMNICKY   120517 300  124500-125000   00     477.10  732.8    475.57     1.20    -9999
LOMNICKY   120517 300  125000-125500   00     479.26  732.7    477.41     1.50    -9999
LOMNICKY   120517 300  125500-130000   00     479.85  732.8    478.16     1.70    -9999
LOMNICKY   120517 300  130000-130500   00     476.40  732.8    474.87     1.00    -9999
LOMNICKY   120517 300  130500-131000   00     475.78  732.8    474.33     0.90    -9999
LOMNICKY   120517 300  131000-131500   00     477.40  732.7    475.60     1.20    -9999
LOMNICKY   120517 300  131500-132000   00     477.27  732.7    475.38     1.10    -9999
LOMNICKY   120517 300  132000-132500   00     472.61  732.8    471.11     0.20    -9999
LOMNICKY   120517 300  132500-133000   00     473.37  733.0    472.61     0.50    -9999
LOMNICKY   120517 300  133000-133500   00     477.87  733.0    477.09     1.50    -9999
LOMNICKY   120517 300  133500-134000   00     474.94  733.1    474.24     0.90    -9999
LOMNICKY   120517 300  134000-134500   00     475.97  733.0    475.20     1.10    -9999
LOMNICKY   120517 300  134500-135000   00     477.46  733.1    476.99     1.50    -9999
LOMNICKY   120517 300  135000-135500   00     474.21  733.3    474.19     0.90    -9999
LOMNICKY   120517 300  135500-140000   00     476.20  733.2    476.14     1.30    -9999
LOMNICKY   120517 300  140000-140500   00     472.54  733.3    472.57     0.50    -9999
LOMNICKY   120517 300  140500-141000   00     472.55  733.3    472.71     0.50    -9999
LOMNICKY   120517 300  141000-141500   00     472.08  733.3    472.35     0.50    -9999
LOMNICKY   120517 300  141500-142000   00     476.18  733.4    476.61     1.40    -9999
LOMNICKY   120517 300  142000-142500   00     470.34  733.4    470.85     0.10    -9999
LOMNICKY   120517 300  142500-143000   00     473.95  733.5    474.57     0.90    -9999
LOMNICKY   120517 300  143000-143500   00     473.81  733.5    474.57     0.90    -9999
LOMNICKY   120517 300  143500-144000   00     476.46  733.5    477.13     1.50    -9999
LOMNICKY   120517 300  144000-144500   00     471.32  733.5    472.14     0.40    -9999
LOMNICKY   120517 300  144500-145000   00     468.78  733.5    469.49    -0.10    -9999
LOMNICKY   120517 300  145000-145500   00     468.17  733.5    468.86    -0.30    -9999
LOMNICKY   120517 300  145500-150000   00     468.75  733.5    469.68    -0.10    -9999
LOMNICKY   120517 300  150000-150500   00     470.31  733.6    471.28     0.20    -9999
LOMNICKY   120517 300  150500-151000   00     467.50  733.5    468.25    -0.40    -9999
LOMNICKY   120517 300  151000-151500   00     471.05  733.5    471.87     0.40    -9999
LOMNICKY   120517 300  151500-152000   00     471.09  733.5    471.74     0.30    -9999
LOMNICKY   120517 300  152000-152500   00     471.30  733.5    472.03     0.40    -9999
LOMNICKY   120517 300  152500-153000   00     469.76  733.5    470.43     0.10    -9999
LOMNICKY   120517 300  153000-153500   00     471.26  733.5    472.13     0.40    -9999
LOMNICKY   120517 300  153500-154000   00     468.88  733.5    469.48    -0.10    -9999
LOMNICKY   120517 300  154000-154500   00     472.49  733.5    473.26     0.70    -9999
LOMNICKY   120517 300  154500-155000   00     469.78  733.5    470.51     0.10    -9999
LOMNICKY   120517 300  155000-155500   00     472.76  733.5    473.68     0.80    -9999
LOMNICKY   120517 300  155500-160000   00     469.06  733.6    470.03     0.00    -9999
LOMNICKY   120517 300  160000-160500   00     470.49  733.6    471.53     0.30    -9999
LOMNICKY   120517 300  160500-161000   00     472.12  733.6    473.27     0.70    -9999
LOMNICKY   120517 300  161000-161500   00     470.70  733.5    471.47     0.30    -9999
LOMNICKY   120517 300  161500-162000   00     471.67  733.6    472.62     0.50    -9999
LOMNICKY   120517 300  162000-162500   00     469.16  733.5    470.03     0.00    -9999
LOMNICKY   120517 300  162500-163000   00     473.59  733.5    474.53     0.90    -9999
LOMNICKY   120517 300  163000-163500   00     472.96  733.5    473.86     0.80    -9999
LOMNICKY   120517 300  163500-164000   00     471.53  733.5    472.31     0.50    -9999
LOMNICKY   120517 300  164000-164500   00     473.51  733.5    474.22     0.90    -9999
