MCMURDO    LATITUDE    -77.95    LONGITUDE     166.6     ALTITUDE    48 M
MCMURDO    INSTRUMENT   18NM64    NEUTRON MONITOR     	
MCMURDO    STANDARD PRESSURE    1007    mb     COEFFICIENT   -0.71     % / mb
MCMURDO    PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
MCMURDO    PRE-INCREASE AVERAGE COUNTING RATE    269.63      COUNTS PER SECOND
MCMURDO    TIME INTERVALS    300         3600     
MCMURDO    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
MCMURDO    120517 300  183000-183500   00     239.48  989.6    270.37     0.30    -9999
MCMURDO    120517 300  183500-184000   00     242.88  989.7    274.42     1.80    -9999
MCMURDO    120517 300  184000-184500   00     242.92  989.8    274.67     1.90    -9999
MCMURDO    120517 300  184500-185000   00     241.61  989.7    273.01     1.30    -9999
MCMURDO    120517 300  185000-185500   00     242.37  989.8    273.97     1.60    -9999
MCMURDO    120517 300  185500-190000   00     241.23  989.7    272.50     1.10    -9999
MCMURDO    120517 300  190000-190500   00     242.47  989.8    274.24     1.70    -9999
MCMURDO    120517 300  190500-191000   00     244.62  989.7    276.30     2.50    -9999
MCMURDO    120517 300  191000-191500   00     240.16  989.5    270.97     0.50    -9999
MCMURDO    120517 300  191500-192000   00     241.51  989.4    272.35     1.00    -9999
MCMURDO    120517 300  192000-192500   00     240.56  989.5    271.43     0.70    -9999
MCMURDO    120517 300  192500-193000   00     242.17  989.5    273.17     1.30    -9999
MCMURDO    120517 300  193000-193500   00     241.64  989.3    272.19     0.90    -9999
MCMURDO    120517 300  193500-194000   00     243.33  989.2    273.85     1.60    -9999
MCMURDO    120517 300  194000-194500   00     240.29  989.2    270.52     0.30    -9999
MCMURDO    120517 300  194500-195000   00     243.03  989.4    274.05     1.60    -9999
MCMURDO    120517 300  195000-195500   00     240.25  989.3    270.64     0.40    -9999
MCMURDO    120517 300  195500-200000   00     241.39  989.4    272.18     0.90    -9999
MCMURDO    120517 300  200000-200500   00     240.98  989.3    271.45     0.70    -9999
MCMURDO    120517 300  200500-201000   00     240.34  989.4    271.03     0.50    -9999
MCMURDO    120517 300  201000-201500   00     240.50  989.3    271.00     0.50    -9999
MCMURDO    120517 300  201500-202000   00     238.76  989.4    269.11    -0.20    -9999
MCMURDO    120517 300  202000-202500   00     240.56  989.3    270.95     0.50    -9999
MCMURDO    120517 300  202500-203000   00     240.45  989.3    270.80     0.40    -9999
MCMURDO    120517 300  203000-203500   00     240.84  989.2    271.21     0.60    -9999
MCMURDO    120517 300  203500-204000   00     241.09  989.3    271.66     0.80    -9999
