NAIN       LATITUDE    56.6      LONGITUDE     -61.7     ALTITUDE    0 M
NAIN       INSTRUMENT   18NM64    NEUTRON MONITOR     	
NAIN       STANDARD PRESSURE    1005.7  mb     COEFFICIENT   -0.75     % / mb
NAIN       PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
NAIN       PRE-INCREASE AVERAGE COUNTING RATE    191.13      COUNTS PER SECOND
NAIN       TIME INTERVALS    300         3600     
NAIN       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
NAIN       031028 300  163500-164000   00     237.44  986.4    205.44     7.50     7.01
NAIN       031028 300  164000-164500   00     237.12  986.3    205.00     7.30     6.80
NAIN       031028 300  164500-165000   00     238.18  986.2    205.74     7.60     7.10
NAIN       031028 300  165000-165500   00     240.96  986.1    207.98     8.80     8.30
NAIN       031028 300  165500-170000   00     242.10  986.0    208.79     9.20     8.69
NAIN       031028 300  170000-170500   00     243.18  985.9    209.66     9.70     9.19
NAIN       031028 300  170500-171000   00     242.28  986.0    208.97     9.30     8.78
NAIN       031028 300  171000-171500   00     241.38  986.0    208.29     9.00     8.48
NAIN       031028 300  171500-172000   00     242.32  986.1    209.19     9.40     8.88
NAIN       031028 300  172000-172500   00     242.36  986.2    209.32     9.50     8.97
NAIN       031028 300  172500-173000   00     242.20  986.2    209.27     9.50     8.97
NAIN       031028 300  173000-173500   00     241.00  986.3    208.32     9.00     8.47
NAIN       031028 300  173500-174000   00     240.38  986.3    207.88     8.80     8.26
NAIN       031028 300  174000-174500   00     241.18  986.4    208.66     9.20     8.66
NAIN       031028 300  174500-175000   00     241.18  986.4    208.75     9.20     8.66
NAIN       031028 300  175000-175500   00     242.00  986.5    209.55     9.60     9.05
NAIN       031028 300  175500-180000   00     239.94  986.6    207.86     8.80     8.25
NAIN       031028 300  180000-180500   00     239.96  986.6    207.99     8.80     8.25
NAIN       031028 300  180500-181000   00     240.32  986.7    208.45     9.10     8.54
NAIN       031028 300  181000-181500   00     240.08  986.8    208.38     9.00     8.44
NAIN       031028 300  181500-182000   00     239.24  986.9    207.80     8.70     8.14
NAIN       031028 300  182000-182500   00     239.20  987.0    207.90     8.80     8.23
NAIN       031028 300  182500-183000   00     238.60  987.1    207.52     8.60     8.03
NAIN       031028 300  183000-183500   00     240.02  987.2    208.91     9.30     8.72
NAIN       031028 300  183500-184000   00     240.22  987.3    209.22     9.50     8.92
NAIN       031028 300  184000-184500   00     237.28  987.4    206.80     8.20     7.62
NAIN       031028 300  184500-185000   00     239.10  987.5    208.53     9.10     8.51
NAIN       031028 300  185000-185500   00     239.12  987.6    208.69     9.20     8.61
NAIN       031028 300  185500-190000   00     237.68  987.6    207.58     8.60     8.01
NAIN       031028 300  190000-190500   00     238.06  987.8    208.19     8.90     8.30
NAIN       031028 300  190500-191000   00     234.70  988.1    205.73     7.60     7.00
NAIN       031028 300  191000-191500   00     236.10  988.4    207.43     8.50     7.90
NAIN       031028 300  191500-192000   00     235.34  988.7    207.24     8.40     7.79
NAIN       031028 300  192000-192500   00     237.26  989.1    209.42     9.60     8.99
NAIN       031028 300  192500-193000   00     238.88  989.4    211.34    10.60     9.99
NAIN       031028 300  193000-193500   00     237.14  989.7    210.28    10.00     9.38
NAIN       031028 300  193500-194000   00     238.02  990.0    211.55    10.70    10.08
NAIN       031028 300  194000-194500   00     235.10  990.3    209.44     9.60     8.98
NAIN       031028 300  194500-195000   00     237.60  990.6    212.16    11.00    10.37
NAIN       031028 300  195000-195500   00     232.16  990.9    207.78     8.70     8.07
NAIN       031028 300  195500-200000   00     233.12  991.2    209.12     9.40     8.76
NAIN       031028 300  200000-200500   00     231.04  991.5    207.76     8.70     8.06
NAIN       031028 300  200500-201000   00     233.12  991.9    210.17    10.00     9.36
NAIN       031028 300  201000-201500   00     231.78  992.2    209.49     9.60     8.95
NAIN       031028 300  201500-202000   00     230.90  992.6    209.23     9.50     8.85
NAIN       031028 300  202000-202500   00     228.06  992.9    207.19     8.40     7.75
NAIN       031028 300  202500-203000   00     232.28  993.2    211.57    10.70    10.04
NAIN       031028 300  203000-203500   00     229.42  993.6    209.50     9.60     8.94
NAIN       031028 300  203500-204000   00     224.40  993.9    205.44     7.50     6.84
NAIN       031028 300  204000-204500   00     225.68  994.3    207.14     8.40     7.73
NAIN       031028 300  204500-205000   00     224.42  994.6    206.51     8.00     7.33
NAIN       031028 300  205000-205500   00     221.36  995.0    204.22     6.80     6.13
NAIN       031028 300  205500-210000   00     225.64  995.3    208.70     9.20     8.52
NAIN       031028 300  210000-210500   00     221.26  995.6    205.14     7.30     6.62
NAIN       031028 300  210500-211000   00     225.50  995.9    209.50     9.60     8.92
NAIN       031028 300  211000-211500   00     221.50  996.2    206.21     7.90     7.21
NAIN       031028 300  211500-212000   00     222.68  996.4    207.73     8.70     8.01
NAIN       031028 300  212000-212500   00     218.74  996.7    204.48     7.00     6.30
NAIN       031028 300  212500-213000   00     220.94  997.0    206.96     8.30     7.60
NAIN       031028 300  213000-213500   00     218.86  997.3    205.44     7.50     6.80
NAIN       031028 300  213500-214000   00     217.88  997.5    204.94     7.20     6.49
