SOPO-6NM64 LATITUDE    -90       LONGITUDE     0         ALTITUDE    2820 M
SOPO-6NM64 INSTRUMENT   6NM64b    NEUTRON MONITOR	
SOPO-6NM64 STANDARD PRESSURE    687.7   MB     COEFFICIENT   -0.75     % / MB
SOPO-6NM64 PRE-INCREASE BASELINE TIME INTERVAL    211028    130000-150000   UT
SOPO-6NM64 PRE-INCREASE AVERAGE COUNTING RATE    160.16      COUNTS PER SECOND
SOPO-6NM64 TIME INTERVALS    300         3600     
SOPO-6NM64 SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
SOPO-6NM64 211028 300  214000-214500   00     158.64  682.9    162.19     1.27     1.63
SOPO-6NM64 211028 300  214500-215000   00     159.52  683.0    163.10     1.84     2.21
SOPO-6NM64 211028 300  215000-215500   00     160.02  682.9    163.58     2.14     2.51
SOPO-6NM64 211028 300  215500-220000   00     159.62  682.9    163.14     1.86     2.24
SOPO-6NM64 211028 300  220000-220500   00     160.74  682.9    164.28     2.57     2.95
SOPO-6NM64 211028 300  220500-221000   00     159.40  682.8    162.84     1.68     2.06
SOPO-6NM64 211028 300  221000-221500   00     158.63  682.8    161.98     1.13     1.52
SOPO-6NM64 211028 300  221500-222000   00     159.16  682.8    162.51     1.47     1.86
SOPO-6NM64 211028 300  222000-222500   00     160.26  682.7    163.62     2.16     2.56
SOPO-6NM64 211028 300  222500-223000   00     158.66  682.8    162.01     1.15     1.55
SOPO-6NM64 211028 300  223000-223500   00     159.02  682.8    162.39     1.39     1.79
SOPO-6NM64 211028 300  223500-224000   00     157.70  682.8    161.08     0.58     0.99
SOPO-6NM64 211028 300  224000-224500   00     159.02  682.8    162.47     1.44     1.85
SOPO-6NM64 211028 300  224500-225000   00     158.50  682.8    161.94     1.11     1.53
SOPO-6NM64 211028 300  225000-225500   00     158.75  682.8    162.17     1.26     1.68
SOPO-6NM64 211028 300  225500-230000   00     157.85  682.8    161.23     0.67     1.09
SOPO-6NM64 211028 300  230000-230500   00     158.10  682.8    161.46     0.81     1.24
