KERGUELEN  LATITUDE    -49.35    LONGITUDE     70.25     ALTITUDE    33 M
KERGUELEN  INSTRUMENT   18-NM-64  NEUTRON MONITOR	
KERGUELEN  STANDARD PRESSURE    750     MMHG   COEFFICIENT   -1.01     % / MMHG
KERGUELEN  PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
KERGUELEN  PRE-INCREASE AVERAGE COUNTING RATE    187.63      COUNTS PER SECOND
KERGUELEN  TIME INTERVALS    300         3600     
KERGUELEN  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
KERGUELEN  031027 300  200000-200500   10     208.40  742.1    192.13     2.40    -9999
KERGUELEN  031027 300  200500-201000   10     209.20  741.8    192.40     2.50    -9999
KERGUELEN  031027 300  201000-201500   10     210.80  741.8    193.87     3.30    -9999
KERGUELEN  031027 300  201500-202000   10     208.80  741.4    191.20     1.90    -9999
KERGUELEN  031027 300  202000-202500   10     210.27  741.5    192.80     2.80    -9999
KERGUELEN  031027 300  202500-203000   10     209.07  741.5    191.60     2.10    -9999
KERGUELEN  031027 300  203000-203500   10     209.07  741.6    191.87     2.30    -9999
KERGUELEN  031027 300  203500-204000   10     212.53  741.5    194.80     3.80    -9999
KERGUELEN  031027 300  204000-204500   10     210.93  741.4    193.20     3.00    -9999
KERGUELEN  031027 300  204500-205000   10     212.13  741.0    193.47     3.10    -9999
KERGUELEN  031027 300  205000-205500   10     210.80  740.6    191.47     2.00    -9999
KERGUELEN  031027 300  205500-210000   10     211.20  740.6    191.87     2.30    -9999
KERGUELEN  031027 300  210000-210500   10     210.67  740.6    191.33     2.00    -9999
KERGUELEN  031027 300  210500-211000   10     212.27  740.4    192.53     2.60    -9999
KERGUELEN  031027 300  211000-211500   10     212.27  740.5    192.67     2.70    -9999
KERGUELEN  031027 300  211500-212000   10     213.47  740.2    193.20     3.00    -9999
KERGUELEN  031027 300  212000-212500   10     213.47  740.0    192.80     2.80    -9999
KERGUELEN  031027 300  212500-213000   10     211.47  740.2    191.33     2.00    -9999
KERGUELEN  031027 300  213000-213500   10     212.53  740.3    192.40     2.50    -9999
KERGUELEN  031027 300  213500-214000   10     214.80  740.3    194.53     3.70    -9999
KERGUELEN  031027 300  214000-214500   10     212.27  740.1    192.00     2.30    -9999
