DOMC       LATITUDE    75.1      LONGITUDE     -123.38   ALTITUDE    3233 M
DOMC       INSTRUMENT   MINI NEUTRON MONITOR	
DOMC       STANDARD PRESSURE    650     MB     COEFFICIENT   -0.754    % / MB
DOMC       PRE-INCREASE BASELINE TIME INTERVAL    211028    130000-150000   UT
DOMC       PRE-INCREASE AVERAGE COUNTING RATE     18.61      COUNTS PER SECOND
DOMC       TIME INTERVALS    300         3600     
DOMC       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
DOMC       211028 300  223500-224000   00      24.85  628.3     18.32    -1.52    -1.82
DOMC       211028 300  224000-224500   00      24.73  628.4     18.25    -1.94    -2.24
DOMC       211028 300  224500-225000   00      25.35  628.4     18.71     0.58     0.27
DOMC       211028 300  225000-225500   00      25.49  628.4     18.82     1.15     0.84
DOMC       211028 300  225500-230000   00      25.01  628.4     18.46    -0.79    -1.10
DOMC       211028 300  230000-230500   00      25.10  628.5     18.53    -0.41    -0.73
DOMC       211028 300  230500-231000   00      25.46  628.5     18.81     1.09     0.77
DOMC       211028 300  231000-231500   00      26.43  628.5     19.52     4.91     4.59
DOMC       211028 300  231500-232000   00      25.15  628.5     18.57    -0.20    -0.52
DOMC       211028 300  232000-232500   00      24.82  628.5     18.33    -1.50    -1.83
DOMC       211028 300  232500-233000   00      25.44  628.5     18.79     0.98     0.65
DOMC       211028 300  233000-233500   00      24.73  628.5     18.27    -1.83    -2.16
DOMC       211028 300  233500-234000   00      25.08  628.5     18.52    -0.45    -0.79
DOMC       211028 300  234000-234500   00      25.36  628.5     18.73     0.66     0.32
DOMC       211028 300  234500-235000   00      24.04  628.5     17.75    -4.58    -4.92
DOMC       211028 300  235000-235500   00      25.07  628.5     18.51    -0.50    -0.85
DOMC       211028 300  235500-000000   00      25.05  628.5     18.50    -0.57    -0.92
DOMC       211029 3600 000000-010000   00      25.37  628.7     18.77     0.88    -9999
DOMC       211029 3600 010000-020000   00      25.40  629.1     18.86     1.33    -9999
DOMC       211029 3600 020000-030000   00      25.18  629.7     18.77     0.85    -9999
DOMC       211029 3600 030000-040000   00      25.13  630.0     18.77     0.90    -9999
DOMC       211029 3600 040000-050000   00      24.91  630.4     18.67     0.34    -9999
DOMC       211029 3600 050000-060000   00      24.93  630.8     18.74     0.73    -9999
DOMC       211029 3600 060000-070000   00      24.73  631.2     18.65     0.21    -9999
DOMC       211029 3600 070000-080000   00      24.83  631.7     18.79     1.01    -9999
DOMC       211029 3600 080000-090000   00      24.75  632.3     18.81     1.11    -9999
DOMC       211029 3600 090000-100000   00      24.63  632.7     18.79     0.98    -9999
DOMC       211029 3600 100000-110000   00      24.50  633.1     18.75     0.74    -9999
DOMC       211029 3600 110000-120000   00      24.49  633.4     18.78     0.91    -9999
DOMC       211029 3600 120000-130000   00      24.32  633.7     18.70     0.51    -9999
DOMC       211029 3600 130000-140000   00      24.29  634.2     18.74     0.71    -9999
DOMC       211029 3600 140000-150000   00      24.09  634.4     18.62     0.07    -9999
DOMC       211029 3600 150000-160000   00      24.13  634.8     18.70     0.52    -9999
DOMC       211029 3600 160000-170000   00      24.23  635.0     18.81     1.09    -9999
DOMC       211029 3600 170000-180000   00      24.11  635.2     18.74     0.73    -9999
DOMC       211029 3600 180000-190000   00      24.14  635.4     18.80     1.02    -9999
DOMC       211029 3600 190000-200000   00      24.05  635.7     18.77     0.90    -9999
DOMC       211029 3600 200000-210000   00      24.19  636.1     18.94     1.81    -9999
DOMC       211029 3600 210000-220000   00      23.96  636.4     18.80     1.01    -9999
DOMC       211029 3600 220000-230000   00      23.88  636.6     18.77     0.86    -9999
DOMC       211029 3600 230000-000000   00      23.89  636.6     18.77     0.90    -9999
*
COMMENT  DATA VERIFIED BY ILYA USOSKIN OF THE UNIVERSITY OF OULU
COMMENT  ORIGINAL DATA IS AVAILABLE AT http://cosmicrays.oulu.fi
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2023-03-30 17:39:06 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE73/C073DOMC_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
