IRKUTSK2   LATITUDE    52.28     LONGITUDE     104.02    ALTITUDE    2000 M
IRKUTSK2   INSTRUMENT   12NM64    NEUTRON MONITOR     
IRKUTSK2   STANDARD PRESSURE    802.3   mb     COEFFICIENT   -0.713    % / mb
IRKUTSK2   PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
IRKUTSK2   PRE-INCREASE AVERAGE COUNTING RATE    177.36      COUNTS PER SECOND
IRKUTSK2   TIME INTERVALS    300         3600     
IRKUTSK2   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
IRKUTSK2   031028 300  191500-192000   00     179.64  802.4    179.73     1.10    -9999
IRKUTSK2   031028 300  192000-192500   00     179.42  802.3    179.43     0.90    -9999
IRKUTSK2   031028 300  192500-193000   00     179.30  802.2    179.23     0.80    -9999
IRKUTSK2   031028 300  193000-193500   00     179.80  802.2    179.64     1.00    -9999
IRKUTSK2   031028 300  193500-194000   00     181.44  802.1    181.19     1.90    -9999
IRKUTSK2   031028 300  194000-194500   00     179.77  802.0    179.44     0.90    -9999
IRKUTSK2   031028 300  194500-195000   00     180.99  802.0    180.57     1.50    -9999
IRKUTSK2   031028 300  195000-195500   00     180.53  801.9    180.02     1.20    -9999
IRKUTSK2   031028 300  195500-200000   00     180.99  801.8    180.40     1.40    -9999
IRKUTSK2   031028 300  200000-200500   00     179.67  801.8    179.02     0.70    -9999
IRKUTSK2   031028 300  200500-201000   00     179.74  801.8    179.04     0.70    -9999
IRKUTSK2   031028 300  201000-201500   00     181.10  801.7    180.36     1.40    -9999
IRKUTSK2   031028 300  201500-202000   00     180.15  801.7    179.36     0.80    -9999
IRKUTSK2   031028 300  202000-202500   00     179.25  801.7    178.42     0.30    -9999
IRKUTSK2   031028 300  202500-203000   00     178.78  801.6    177.91     0.00    -9999
IRKUTSK2   031028 300  203000-203500   00     180.62  801.6    179.70     1.00    -9999
IRKUTSK2   031028 300  203500-204000   00     180.21  801.6    179.26     0.80    -9999
IRKUTSK2   031028 300  204000-204500   00     180.26  801.5    179.26     0.80    -9999
IRKUTSK2   031028 300  204500-205000   00     180.87  801.5    179.82     1.10    -9999
IRKUTSK2   031028 300  205000-205500   00     182.08  801.5    180.98     1.80    -9999
IRKUTSK2   031028 300  205500-210000   00     181.47  801.4    180.34     1.40    -9999
IRKUTSK2   031028 300  210000-210500   00     181.62  801.4    180.45     1.50    -9999
IRKUTSK2   031028 300  210500-211000   00     182.28  801.4    181.10     1.80    -9999
IRKUTSK2   031028 300  211000-211500   00     182.74  801.4    181.54     2.10    -9999
IRKUTSK2   031028 300  211500-212000   00     181.24  801.4    180.05     1.20    -9999
IRKUTSK2   031028 300  212000-212500   00     181.90  801.4    180.69     1.60    -9999
IRKUTSK2   031028 300  212500-213000   00     182.26  801.4    181.04     1.80    -9999
IRKUTSK2   031028 300  213000-213500   00     182.85  801.3    181.61     2.10    -9999
IRKUTSK2   031028 300  213500-214000   00     181.80  801.3    180.56     1.50    -9999
IRKUTSK2   031028 300  214000-214500   00     181.05  801.3    179.80     1.10    -9999
IRKUTSK2   031028 300  214500-215000   00     181.28  801.3    180.02     1.20    -9999
IRKUTSK2   031028 300  215000-215500   00     182.21  801.3    180.93     1.70    -9999
IRKUTSK2   031028 300  215500-220000   00     182.10  801.3    180.82     1.70    -9999
IRKUTSK2   031028 300  220000-220500   00     181.15  801.3    179.87     1.10    -9999
IRKUTSK2   031028 300  220500-221000   00     182.45  801.3    181.14     1.80    -9999
IRKUTSK2   031028 300  221000-221500   00     181.79  801.3    180.47     1.50    -9999
IRKUTSK2   031028 300  221500-222000   00     180.43  801.3    179.10     0.70    -9999
IRKUTSK2   031028 300  222000-222500   00     181.54  801.3    180.20     1.30    -9999
IRKUTSK2   031028 300  222500-223000   00     181.36  801.3    180.02     1.20    -9999
IRKUTSK2   031028 300  223000-223500   00     182.55  801.2    181.19     1.90    -9999
IRKUTSK2   031028 300  223500-224000   00     181.37  801.2    180.00     1.20    -9999
IRKUTSK2   031028 300  224000-224500   00     181.88  801.2    180.49     1.50    -9999
IRKUTSK2   031028 300  224500-225000   00     181.38  801.2    179.99     1.20    -9999
IRKUTSK2   031028 300  225000-225500   00     180.45  801.2    179.06     0.70    -9999
IRKUTSK2   031028 300  225500-230000   00     180.89  801.2    179.48     0.90    -9999
IRKUTSK2   031028 300  230000-230500   00     180.94  801.2    179.53     0.90    -9999
IRKUTSK2   031028 300  230500-231000   00     181.38  801.2    179.97     1.20    -9999
IRKUTSK2   031028 300  231000-231500   00     181.57  801.2    180.15     1.30    -9999
IRKUTSK2   031028 300  231500-232000   00     181.14  801.2    179.72     1.10    -9999
IRKUTSK2   031028 300  232000-232500   00     181.18  801.2    179.77     1.10    -9999
IRKUTSK2   031028 300  232500-233000   00     181.65  801.2    180.24     1.30    -9999
IRKUTSK2   031028 300  233000-233500   00     182.45  801.2    181.03     1.80    -9999
IRKUTSK2   031028 300  233500-234000   00     183.35  801.2    181.91     2.30    -9999
IRKUTSK2   031028 300  234000-234500   00     180.32  801.2    178.91     0.60    -9999
IRKUTSK2   031028 300  234500-235000   00     182.62  801.2    181.20     1.90    -9999
IRKUTSK2   031028 300  235000-235500   00     181.27  801.2    179.85     1.10    -9999
