TIXIE BAY  LATITUDE    71.6      LONGITUDE     128.9     ALTITUDE    0 M
TIXIE BAY  INSTRUMENT   18NM64    NEUTRON MONITOR     	
TIXIE BAY  STANDARD PRESSURE    1000.8  mb     COEFFICIENT   -0.72     % / mb
TIXIE BAY  031029 300  084000-084500   00      11.65  999.2     11.52    -0.80    -9999
TIXIE BAY  031029 300  084500-085000   00      11.48  999.3     11.36    -2.20    -9999
TIXIE BAY  031029 300  085000-085500   00      11.72  999.3     11.59    -0.20    -9999
TIXIE BAY  031029 300  085500-090000   00      11.53  999.3     11.41    -1.70    -9999
TIXIE BAY  031029 300  090000-090500   00      11.33  999.3     11.21    -3.40    -9999
TIXIE BAY  031029 300  090500-091000   00      11.30  999.3     11.18    -3.70    -9999
TIXIE BAY  031029 300  091000-091500   00      11.38  999.3     11.26    -3.00    -9999
TIXIE BAY  031029 300  091500-092000   00      11.25  999.4     11.13    -4.10    -9999
TIXIE BAY  031029 300  092000-092500   00      11.30  999.4     11.18    -3.70    -9999
TIXIE BAY  031029 300  092500-093000   00      11.33  999.4     11.22    -3.40    -9999
TIXIE BAY  031029 300  093000-093500   00      11.35  999.4     11.24    -3.20    -9999
TIXIE BAY  031029 300  093500-094000   00      11.22  999.4     11.11    -4.30    -9999
TIXIE BAY  031029 300  094000-094500   00      11.42  999.4     11.31    -2.60    -9999
TIXIE BAY  031029 300  094500-095000   00      11.12  999.5     11.01    -5.20    -9999
TIXIE BAY  031029 300  095000-095500   00      11.40  999.5     11.29    -2.70    -9999
TIXIE BAY  031029 300  095500-100000   00      11.23  999.5     11.13    -4.10    -9999
TIXIE BAY  031029 300  100000-100500   00      11.37  999.5     11.26    -3.00    -9999
TIXIE BAY  031029 300  100500-101000   00      11.50  999.5     11.39    -1.80    -9999
TIXIE BAY  031029 300  101000-101500   00      11.37  999.5     11.26    -3.00    -9999
TIXIE BAY  031029 300  101500-102000   00      11.43  999.6     11.33    -2.40    -9999
TIXIE BAY  031029 300  102000-102500   00      11.33  999.6     11.23    -3.20    -9999
TIXIE BAY  031029 300  102500-103000   00      11.33  999.6     11.24    -3.20    -9999
TIXIE BAY  031029 300  103000-103500   00      11.35  999.6     11.25    -3.10    -9999
TIXIE BAY  031029 300  103500-104000   00      11.15  999.6     11.06    -4.80    -9999
TIXIE BAY  031029 300  104000-104500   00      11.25  999.6     11.16    -3.90    -9999
TIXIE BAY  031029 300  104500-105000   00      11.20  999.7     11.11    -4.30    -9999
TIXIE BAY  031029 300  105000-105500   00      11.18  999.7     11.09    -4.40    -9999
TIXIE BAY  031029 300  105500-110000   00      10.87  999.7     10.78    -7.10    -9999
TIXIE BAY  031029 300  110000-110500   00      10.77  999.7     10.68    -8.00    -9999
TIXIE BAY  031029 300  110500-111000   00      10.75  999.7     10.67    -8.10    -9999
TIXIE BAY  031029 300  111000-111500   00      10.85  999.7     10.76    -7.30    -9999
TIXIE BAY  031029 300  111500-112000   00      10.75  999.7     10.67    -8.10    -9999
TIXIE BAY  031029 300  112000-112500   00      10.40  999.7     10.32   -11.10    -9999
TIXIE BAY  031029 300  112500-113000   00      10.10  999.7     10.02   -13.70    -9999
TIXIE BAY  031029 300  113000-113500   00      10.02  999.7      9.94   -14.40    -9999
TIXIE BAY  031029 300  113500-114000   00       9.93  999.7      9.85   -15.10    -9999
TIXIE BAY  031029 300  114000-114500   00      10.05  999.7      9.97   -14.10    -9999
TIXIE BAY  031029 300  114500-115000   00       9.80  999.7      9.72   -16.20    -9999
TIXIE BAY  031029 300  115000-115500   00      10.08  999.7     10.00   -13.80    -9999
TIXIE BAY  031029 300  115500-120000   00       9.98  999.7      9.90   -14.70    -9999
TIXIE BAY  031029 3600 120000-130000   00       9.75  999.7      9.68   -16.60    -9999
TIXIE BAY  031029 3600 130000-140000   00       9.67  999.8      9.60   -17.30    -9999
TIXIE BAY  031029 3600 140000-150000   00       9.59 1000.2      9.54   -17.80    -9999
TIXIE BAY  031029 3600 150000-160000   00       9.73 1000.4      9.70   -16.50    -9999
TIXIE BAY  031029 3600 160000-170000   00       9.74 1000.6      9.72   -16.20    -9999
TIXIE BAY  031029 3600 170000-180000   00       9.29 1000.9      9.30   -19.90    -9999
TIXIE BAY  031029 3600 180000-190000   00       9.61 1001.1      9.63   -17.00    -9999
TIXIE BAY  031029 3600 190000-200000   00       9.52 1001.3      9.56   -17.70    -9999
TIXIE BAY  031029 3600 200000-210000   00       9.50 1001.5      9.55   -17.80    -9999
TIXIE BAY  031029 3600 210000-220000   00      10.63 1001.7     10.70    -7.80    -9999
TIXIE BAY  031029 3600 220000-230000   00      10.51 1002.0     10.60    -8.70    -9999
TIXIE BAY  031029 3600 230000-240000   00    -999.00 -999.0   -999.00    -9999    -9999
*
"Comments: The clock is supporting by Internet ClockServer;"	
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2023-04-03 12:51:18 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE65/C065TXBY_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
