SANAE      LATITUDE    -71.67    LONGITUDE     -2.85     ALTITUDE    856 M
SANAE      INSTRUMENT   6NM64    NEUTRON MONITOR	
SANAE      STANDARD PRESSURE    892     mb     COEFFICIENT   -0.73     % / mb
SANAE      PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
SANAE      PRE-INCREASE AVERAGE COUNTING RATE    116.44      COUNTS PER SECOND
SANAE      TIME INTERVALS    300         3600     
SANAE      SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
SANAE      031028 300  235000-235500   00     128.17  890.5    126.80     8.90     8.03
SANAE      031028 300  235500-240000   00     126.39  890.5    125.02     7.40     6.53
SANAE      031029 300  000000-000500   00     126.19  890.5    124.81     7.20     6.32
SANAE      031029 300  000500-001000   00     128.24  890.5    126.83     8.90     8.02
SANAE      031029 300  001000-001500   00     127.28  890.5    125.88     8.10     7.21
SANAE      031029 300  001500-002000   00     127.51  890.5    126.09     8.30     7.40
SANAE      031029 300  002000-002500   00     126.44  890.5    125.03     7.40     6.50
SANAE      031029 300  002500-003000   00     126.14  890.5    124.72     7.10     6.19
SANAE      031029 300  003000-003500   00     125.53  890.4    124.12     6.60     5.69
SANAE      031029 300  003500-004000   00     127.20  890.4    125.76     8.00     7.08
SANAE      031029 300  004000-004500   00     122.88  890.4    121.48     4.30     3.38
SANAE      031029 300  004500-005000   00     126.76  890.4    125.32     7.60     6.67
SANAE      031029 300  005000-005500   00     126.58  890.4    125.12     7.40     6.46
SANAE      031029 300  005500-010000   00     126.26  890.4    124.80     7.20     6.26
SANAE      031029 300  010000-010500   00     126.78  890.4    125.31     7.60     6.65
SANAE      031029 300  010500-011000   00     126.16  890.4    124.70     7.10     6.15
SANAE      031029 300  011000-011500   00     125.63  890.4    124.17     6.70     5.74
SANAE      031029 300  011500-012000   00     127.00  890.4    125.53     7.80     6.84
SANAE      031029 300  012000-012500   00     127.29  890.4    125.81     8.00     7.03
SANAE      031029 300  012500-013000   00     126.40  890.4    124.93     7.30     6.32
SANAE      031029 300  013000-013500   00     126.11  890.4    124.64     7.10     6.12
SANAE      031029 300  013500-014000   00     125.77  890.4    124.31     6.70     5.71
SANAE      031029 300  014000-014500   00     126.18  890.4    124.71     7.10     6.11
SANAE      031029 300  014500-015000   00     125.01  890.4    123.56     6.10     5.10
SANAE      031029 300  015000-015500   00     123.45  890.4    122.02     4.80     3.80
SANAE      031029 300  015500-020000   00     126.71  890.4    125.24     7.60     6.59
SANAE      031029 300  020000-020500   00     125.90  890.4    124.44     6.90     5.88
SANAE      031029 300  020500-021000   00     125.81  890.4    124.33     6.80     5.78
SANAE      031029 300  021000-021500   00     125.76  890.4    124.26     6.70     5.67
SANAE      031029 300  021500-022000   00     126.63  890.3    125.11     7.50     6.47
SANAE      031029 300  022000-022500   00     125.13  890.3    123.61     6.20     5.16
SANAE      031029 300  022500-023000   00     126.65  890.3    125.10     7.40     6.36
SANAE      031029 300  023000-023500   00     125.14  890.3    123.60     6.20     5.15
SANAE      031029 300  023500-024000   00     125.83  890.3    124.26     6.70     5.64
SANAE      031029 300  024000-024500   00     126.66  890.3    125.06     7.40     6.34
SANAE      031029 300  024500-025000   00     123.72  890.2    122.14     4.90     3.83
SANAE      031029 300  025000-025500   00     126.28  890.2    124.65     7.00     5.93
SANAE      031029 300  025500-030000   00     125.54  890.2    123.91     6.40     5.32
SANAE      031029 300  030000-030500   00     126.01  890.2    124.36     6.80     5.72
SANAE      031029 300  030500-031000   00     126.53  890.2    124.85     7.20     6.11
SANAE      031029 300  031000-031500   00     125.45  890.2    123.78     6.30     5.20
SANAE      031029 300  031500-032000   00     126.21  890.1    124.51     6.90     5.80
SANAE      031029 300  032000-032500   00     124.18  890.1    122.49     5.20     4.09
SANAE      031029 300  032500-033000   00     125.43  890.1    123.71     6.20     5.09
SANAE      031029 300  033000-033500   00     125.29  890.1    123.56     6.10     4.98
SANAE      031029 300  033500-034000   00     124.81  890.1    123.07     5.70     4.58
SANAE      031029 300  034000-034500   00     125.59  890.1    123.83     6.40     5.27
SANAE      031029 300  034500-035000   00     126.28  890.0    124.49     6.90     5.76
SANAE      031029 300  035000-035500   00     126.69  890.0    124.88     7.20     6.06
SANAE      031029 300  035500-040000   00     126.31  890.0    124.49     6.90     5.75
SANAE      031029 300  040000-040500   00     127.17  890.0    125.31     7.60     6.45
SANAE      031029 300  040500-041000   00     126.37  890.0    124.51     6.90     5.74
SANAE      031029 300  041000-041500   00     126.15  889.9    124.27     6.70     5.54
SANAE      031029 300  041500-042000   00     126.15  889.9    124.25     6.70     5.53
SANAE      031029 300  042000-042500   00     124.39  889.9    122.49     5.20     4.02
SANAE      031029 300  042500-043000   00     125.48  889.9    123.54     6.10     4.92
SANAE      031029 300  043000-043500   00     127.05  889.8    125.06     7.40     6.21
SANAE      031029 300  043500-044000   00     125.96  889.8    123.97     6.50     5.31
SANAE      031029 300  044000-044500   00     125.57  889.8    123.56     6.10     4.90
SANAE      031029 300  044500-045000   00     126.19  889.8    124.15     6.60     5.40
SANAE      031029 300  045000-045500   00     125.27  889.7    123.22     5.80     4.59
SANAE      031029 300  045500-050000   00     125.34  889.7    123.26     5.90     4.68
SANAE      031029 300  050000-050500   00     125.81  889.7    123.72     6.30     5.08
SANAE      031029 300  050500-051000   00     126.86  889.7    124.77     7.20     5.97
