TIXIE BAY  LATITUDE    71.6      LONGITUDE     128.9     ALTITUDE    0 M
TIXIE BAY  INSTRUMENT   18NM64    NEUTRON MONITOR     	
TIXIE BAY  STANDARD PRESSURE    1015.8  mb     COEFFICIENT   -0.72     % / mb
TIXIE BAY  PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
TIXIE BAY  PRE-INCREASE AVERAGE COUNTING RATE    771.37      COUNTS PER SECOND
TIXIE BAY  TIME INTERVALS    300         3600     
TIXIE BAY  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
TIXIE BAY  061213 300  073500-074000   00     790.61 1015.6    789.48     2.30     2.30
TIXIE BAY  061213 300  074000-074500   00     785.07 1015.6    783.94     1.60     1.60
TIXIE BAY  061213 300  074500-075000   00     791.68 1015.6    790.54     2.50     2.50
TIXIE BAY  061213 300  075000-075500   00     786.13 1015.6    785.00     1.80     1.80
TIXIE BAY  061213 300  075500-080000   00     795.09 1015.6    793.95     2.90     2.90
TIXIE BAY  061213 3600 080000-090000   00     785.96 1015.7    785.39     1.80     1.80
TIXIE BAY  061213 3600 090000-100000   00     777.16 1015.7    776.60     0.70     0.70
TIXIE BAY  061213 3600 100000-110000   00     764.02 1015.6    762.92    -1.10    -9999
TIXIE BAY  061213 3600 110000-120000   00     774.88 1015.4    772.65     0.20    -9999
TIXIE BAY  061213 3600 120000-130000   00     774.51 1015.2    771.17     0.00    -9999
TIXIE BAY  061213 3600 130000-140000   00     774.44 1014.9    769.43    -0.30    -9999
TIXIE BAY  061213 3600 140000-150000   00     778.70 1014.7    772.56     0.20    -9999
TIXIE BAY  061213 3600 150000-160000   00     775.73 1014.4    767.95    -0.40    -9999
TIXIE BAY  061213 3600 160000-170000   00     778.44 1014.3    770.07    -0.20    -9999
TIXIE BAY  061213 3600 170000-180000   00     776.52 1014.4    768.73    -0.30    -9999
TIXIE BAY  061213 3600 180000-190000   00     778.26 1014.3    769.90    -0.20    -9999
TIXIE BAY  061213 3600 190000-200000   00     776.59 1014.4    768.80    -0.30    -9999
TIXIE BAY  061213 3600 200000-210000   00     770.40 1014.2    761.58    -1.30    -9999
TIXIE BAY  061213 3600 210000-220000   00     773.44 1014.1    764.03    -1.00    -9999
TIXIE BAY  061213 3600 220000-230000   00     774.90 1014.0    764.92    -0.80    -9999
TIXIE BAY  061213 3600 230000-240000   00     775.04 1014.2    766.16    -0.70    -9999
*
Comment: The Clock of Regisrator is fast on +? sec (slow on -? sec);	sec
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2023-02-24 11:29:29 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE70/C070TXBY_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
