DOMB       LATITUDE    75.1      LONGITUDE     -123.38   ALTITUDE    3233 M
DOMB       INSTRUMENT   BARE  NEUTRON MONITOR
DOMB       STANDARD PRESSURE    650     MB     COEFFICIENT   -0.754    % / MB
DOMB       PRE-INCREASE BASELINE TIME INTERVAL    211028    130000-150000   UT
DOMB       PRE-INCREASE AVERAGE COUNTING RATE      4.16      COUNTS PER SECOND
DOMB       TIME INTERVALS    300         3600     
DOMB       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
DOMB       211028 300  201000-201500   00       6.05  626.0      4.35     4.63     4.33
DOMB       211028 300  201500-202000   00       5.82  626.0      4.19     0.68     0.37
DOMB       211028 300  202000-202500   00       6.10  626.1      4.38     5.44     5.13
DOMB       211028 300  202500-203000   00       6.05  626.1      4.36     4.72     4.40
DOMB       211028 300  203000-203500   00       5.86  626.1      4.21     1.36     1.04
DOMB       211028 300  203500-204000   00       5.88  626.2      4.23     1.81     1.49
DOMB       211028 300  204000-204500   00       5.84  626.2      4.20     1.04     0.71
DOMB       211028 300  204500-205000   00       6.03  626.2      4.34     4.41     4.08
DOMB       211028 300  205000-205500   00       5.73  626.3      4.13    -0.74    -1.08
DOMB       211028 300  205500-210000   00       5.87  626.4      4.23     1.74     1.40
DOMB       211028 300  210000-210500   00       6.00  626.4      4.33     4.07     3.73
DOMB       211028 300  210500-211000   00       6.09  626.4      4.39     5.66     5.31
DOMB       211028 300  211000-211500   00       5.89  626.4      4.25     2.15     1.80
DOMB       211028 300  211500-212000   00       5.90  626.5      4.26     2.34     1.98
DOMB       211028 300  212000-212500   00       6.06  626.5      4.37     5.13     4.77
DOMB       211028 300  212500-213000   00       6.07  626.5      4.38     5.40     5.04
DOMB       211028 300  213000-213500   00       5.57  626.6      4.02    -3.31    -3.68
DOMB       211028 300  213500-214000   00       6.00  626.6      4.33     4.17     3.80
DOMB       211028 300  214000-214500   00       5.72  626.6      4.13    -0.62    -1.00
DOMB       211028 300  214500-215000   00       5.58  626.6      4.03    -3.09    -3.47
DOMB       211028 300  215000-215500   00       5.98  626.7      4.32     3.83     3.44
DOMB       211028 300  215500-220000   00       5.81  626.7      4.20     0.95     0.56
DOMB       211028 300  220000-220500   00       5.73  626.7      4.14    -0.38    -0.77
DOMB       211028 300  220500-221000   00       5.91  626.7      4.27     2.70     2.30
DOMB       211028 300  221000-221500   00       6.03  626.7      4.36     4.84     4.44
DOMB       211028 300  221500-222000   00       5.86  626.7      4.24     1.91     1.50
DOMB       211028 300  222000-222500   00       6.11  626.7      4.42     6.21     5.80
DOMB       211028 300  222500-223000   00       5.94  626.8      4.29     3.28     2.87
DOMB       211028 300  223000-223500   00       5.92  626.9      4.28     2.99     2.57
DOMB       211028 300  223500-224000   00       5.59  626.9      4.04    -2.73    -3.15
DOMB       211028 300  224000-224500   00       6.03  627.0      4.37     5.03     4.60
DOMB       211028 300  224500-225000   00       5.79  627.0      4.20     0.90     0.47
DOMB       211028 300  225000-225500   00       5.91  627.0      4.28     2.89     2.46
DOMB       211028 300  225500-230000   00       5.99  627.0      4.34     4.39     3.95
DOMB       211028 300  230000-230500   00       5.66  627.0      4.10    -1.41    -1.85
DOMB       211028 300  230500-231000   00       5.63  627.1      4.08    -1.82    -2.27
DOMB       211028 300  231000-231500   00       5.85  627.1      4.24     1.98     1.53
DOMB       211028 300  231500-232000   00       5.88  627.0      4.26     2.37     1.91
DOMB       211028 300  232000-232500   00       5.98  627.1      4.33     4.24     3.78
DOMB       211028 300  232500-233000   00       5.74  627.1      4.16    -0.04    -0.50
DOMB       211028 300  233000-233500   00       5.74  627.1      4.16     0.08    -0.39
DOMB       211028 300  233500-234000   00       5.89  627.0      4.26     2.56     2.09
DOMB       211028 300  234000-234500   00       5.73  627.1      4.15    -0.11    -0.59
DOMB       211028 300  234500-235000   00       5.69  627.0      4.12    -0.81    -1.29
DOMB       211028 300  235000-235500   00       5.96  627.0      4.32     3.83     3.35
DOMB       211028 300  235500-000000   00       5.73  627.0      4.15    -0.11    -0.60
DOMB       211029 3600 000000-010000   00       5.80  627.3      4.21     1.31     0.79
DOMB       211029 3600 010000-020000   00       5.75  627.7      4.19     0.68     0.11
DOMB       211029 3600 020000-030000   00       5.71  628.2      4.17     0.32    -9999
DOMB       211029 3600 030000-040000   00       5.72  628.5      4.19     0.78    -9999
DOMB       211029 3600 040000-050000   00       5.72  628.9      4.20     1.02    -9999
DOMB       211029 3600 050000-060000   00       5.62  629.3      4.15    -0.30    -9999
DOMB       211029 3600 060000-070000   00       5.65  629.7      4.18     0.44    -9999
DOMB       211029 3600 070000-080000   00       5.71  630.2      4.23     1.81    -9999
DOMB       211029 3600 080000-090000   00       5.64  630.8      4.20     1.07    -9999
DOMB       211029 3600 090000-100000   00       5.62  631.3      4.20     0.99    -9999
DOMB       211029 3600 100000-110000   00       5.55  631.6      4.17     0.18    -9999
DOMB       211029 3600 110000-120000   00       5.58  632.0      4.20     0.90    -9999
DOMB       211029 3600 120000-130000   00       5.54  632.3      4.18     0.42    -9999
DOMB       211029 3600 130000-140000   00       5.56  632.7      4.21     1.12    -9999
DOMB       211029 3600 140000-150000   00       5.62  633.0      4.26     2.41    -9999
DOMB       211029 3600 150000-160000   00       5.56  633.3      4.22     1.50    -9999
DOMB       211029 3600 160000-170000   00       5.52  633.5      4.20     0.92    -9999
DOMB       211029 3600 170000-180000   00       5.53  633.7      4.21     1.31    -9999
DOMB       211029 3600 180000-190000   00       5.51  634.0      4.21     1.21    -9999
DOMB       211029 3600 190000-200000   00       5.54  634.3      4.24     1.91    -9999
DOMB       211029 3600 200000-210000   00       5.49  634.7      4.21     1.24    -9999
DOMB       211029 3600 210000-220000   00       5.45  634.9      4.19     0.78    -9999
