OULU       LATITUDE    65.02     LONGITUDE     25.5      ALTITUDE    0 M
OULU       INSTRUMENT   9NM64    NEUTRON MONITOR     	
OULU       STANDARD PRESSURE    996.5   mb     COEFFICIENT   -0.74     % / mb
OULU       PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
OULU       PRE-INCREASE AVERAGE COUNTING RATE     94.63      COUNTS PER SECOND
OULU       TIME INTERVALS    300         3600     
OULU       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
OULU       010416 3600 080000-090000   00      95.99  996.3     95.85     1.30    -9999
OULU       010416 3600 090000-100000   00      96.20  996.5     96.20     1.70    -9999
OULU       010416 3600 100000-110000   00      96.18  996.7     96.32     1.80    -9999
OULU       010416 3600 110000-120000   00      96.46  996.8     96.68     2.20    -9999
OULU       010416 3600 120000-130000   00      96.52  997.3     97.09     2.60    -9999
OULU       010416 3600 130000-140000   00      95.53  998.1     96.67     2.20    -9999
OULU       010416 3600 140000-150000   00      95.74  998.3     97.03     2.50    -9999
OULU       010416 3600 150000-160000   00      95.90  998.3     97.19     2.70    -9999
OULU       010416 3600 160000-170000   00      95.72  998.3     97.00     2.50    -9999
OULU       010416 3600 170000-180000   00      95.34  998.2     96.55     2.00    -9999
OULU       010416 3600 180000-190000   00      94.93  998.2     96.13     1.60    -9999
OULU       010416 3600 190000-200000   00      94.74  998.3     96.01     1.50    -9999
OULU       010416 3600 200000-210000   00      94.91  998.4     96.26     1.70    -9999
OULU       010416 3600 210000-220000   00      94.47  998.4     95.81     1.20    -9999
OULU       010416 3600 220000-230000   00      94.52  998.6     96.00     1.40    -9999
OULU       010416 3600 230000-240000   00      93.69  999.0     95.44     0.80    -9999
*
*	
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2023-04-05 10:02:56 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE60/C060OULU_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
