BAKSAN     LATITUDE    43.28     LONGITUDE     42.69     ALTITUDE    1700 M
BAKSAN     INSTRUMENT   6NM64    NEUTRON MONITOR     
BAKSAN     STANDARD PRESSURE    820     mb     COEFFICIENT   -0.73     % / mb
BAKSAN     PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
BAKSAN     PRE-INCREASE AVERAGE COUNTING RATE    108.62      COUNTS PER SECOND
BAKSAN     TIME INTERVALS    300         3600     
BAKSAN     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
BAKSAN     120517 300  101500-102000   00     109.29  828.6    109.73     1.00    -9999
BAKSAN     120517 300  102000-102500   00     106.63  828.7    107.20    -1.30    -9999
BAKSAN     120517 300  102500-103000   00     109.15  828.9    109.87     1.20    -9999
BAKSAN     120517 300  103000-103500   00     109.40  829.0    110.18     1.40    -9999
BAKSAN     120517 300  103500-104000   00     107.90  829.0    108.69     0.10    -9999
BAKSAN     120517 300  104000-104500   00     108.52  829.1    109.37     0.70    -9999
BAKSAN     120517 300  104500-105000   00     107.11  829.1    107.98    -0.60    -9999
BAKSAN     120517 300  105000-105500   00     107.76  829.2    108.70     0.10    -9999
BAKSAN     120517 300  105500-110000   00     107.82  829.3    108.83     0.20    -9999
BAKSAN     120517 300  110000-110500   00     107.29  829.3    108.31    -0.30    -9999
BAKSAN     120517 300  110500-111000   00     108.08  829.4    109.14     0.50    -9999
BAKSAN     120517 300  111000-111500   00     107.61  829.4    108.71     0.10    -9999
BAKSAN     120517 300  111500-112000   00     108.41  829.5    109.55     0.90    -9999
BAKSAN     120517 300  112000-112500   00     107.96  829.5    109.12     0.50    -9999
BAKSAN     120517 300  112500-113000   00     108.21  829.5    109.39     0.70    -9999
BAKSAN     120517 300  113000-113500   00     106.68  829.5    107.84    -0.70    -9999
BAKSAN     120517 300  113500-114000   00     107.37  829.5    108.56    -0.10    -9999
BAKSAN     120517 300  114000-114500   00     106.00  829.6    107.21    -1.30    -9999
BAKSAN     120517 300  114500-115000   00     109.15  829.6    110.43     1.70    -9999
BAKSAN     120517 300  115000-115500   00     107.26  829.6    108.50    -0.10    -9999
BAKSAN     120517 300  115500-120000   00     106.73  829.6    107.99    -0.60    -9999
BAKSAN     120517 300  120000-120500   00     107.43  829.7    108.72     0.10    -9999
BAKSAN     120517 300  120500-121000   00     107.40  829.7    108.72     0.10    -9999
BAKSAN     120517 300  121000-121500   00     107.50  829.7    108.81     0.20    -9999
BAKSAN     120517 300  121500-122000   00     107.66  829.7    108.96     0.30    -9999
BAKSAN     120517 300  122000-122500   00     107.28  829.7    108.62     0.00    -9999
BAKSAN     120517 300  122500-123000   00     106.84  829.8    108.23    -0.40    -9999
BAKSAN     120517 300  123000-123500   00     106.47  829.9    107.91    -0.70    -9999
BAKSAN     120517 300  123500-124000   00     107.33  829.9    108.82     0.20    -9999
BAKSAN     120517 300  124000-124500   00     107.03  830.0    108.62     0.00    -9999
BAKSAN     120517 300  124500-125000   00     107.01  830.2    108.75     0.10    -9999
BAKSAN     120517 300  125000-125500   00     107.65  830.3    109.42     0.70    -9999
BAKSAN     120517 300  125500-130000   00     107.63  830.2    109.39     0.70    -9999
BAKSAN     120517 300  130000-130500   00     106.01  830.2    107.72    -0.80    -9999
BAKSAN     120517 300  130500-131000   00     105.37  830.2    107.07    -1.40    -9999
BAKSAN     120517 300  131000-131500   00     106.20  830.1    107.85    -0.70    -9999
BAKSAN     120517 300  131500-132000   00     107.51  830.0    109.06     0.40    -9999
BAKSAN     120517 300  132000-132500   00     104.47  829.9    105.89    -2.50    -9999
BAKSAN     120517 300  132500-133000   00     106.22  829.8    107.60    -0.90    -9999
BAKSAN     120517 300  133000-133500   00     106.10  829.7    107.43    -1.10    -9999
BAKSAN     120517 300  133500-134000   00     105.07  829.7    106.34    -2.10    -9999
BAKSAN     120517 300  134000-134500   00     107.50  829.6    108.76     0.10    -9999
BAKSAN     120517 300  134500-135000   00     108.64  829.5    109.85     1.10    -9999
BAKSAN     120517 300  135000-135500   00     107.53  829.5    108.69     0.10    -9999
BAKSAN     120517 300  135500-140000   00     106.36  829.6    107.56    -1.00    -9999
BAKSAN     120517 300  140000-140500   00     106.09  829.6    107.32    -1.20    -9999
BAKSAN     120517 300  140500-141000   00     106.13  829.7    107.41    -1.10    -9999
BAKSAN     120517 300  141000-141500   00     106.13  829.7    107.47    -1.10    -9999
BAKSAN     120517 300  141500-142000   00     106.52  829.8    107.88    -0.70    -9999
BAKSAN     120517 300  142000-142500   00     106.22  829.8    107.57    -1.00    -9999
BAKSAN     120517 300  142500-143000   00     107.54  829.8    108.90     0.30    -9999
BAKSAN     120517 300  143000-143500   00     107.13  829.7    108.47    -0.10    -9999
BAKSAN     120517 300  143500-144000   00     105.33  829.7    106.61    -1.90    -9999
BAKSAN     120517 300  144000-144500   00     106.11  829.7    107.39    -1.10    -9999
BAKSAN     120517 300  144500-145000   00     105.18  829.7    106.49    -2.00    -9999
BAKSAN     120517 300  145000-145500   00     107.13  829.7    108.46    -0.10    -9999
BAKSAN     120517 300  145500-150000   00     104.80  829.6    106.02    -2.40    -9999
BAKSAN     120517 300  150000-150500   00     107.27  829.5    108.43    -0.20    -9999
BAKSAN     120517 300  150500-151000   00     106.78  829.6    108.03    -0.50    -9999
BAKSAN     120517 300  151000-151500   00     107.59  829.7    108.88     0.20    -9999
BAKSAN     120517 300  151500-152000   00     106.38  829.8    107.77    -0.80    -9999
BAKSAN     120517 300  152000-152500   00     106.81  829.9    108.30    -0.30    -9999
BAKSAN     120517 300  152500-153000   00     105.22  829.9    106.67    -1.80    -9999
BAKSAN     120517 300  153000-153500   00     107.09  829.9    108.52    -0.10    -9999
BAKSAN     120517 300  153500-154000   00     106.36  829.9    107.83    -0.70    -9999
BAKSAN     120517 300  154000-154500   00     106.77  830.0    108.30    -0.30    -9999
BAKSAN     120517 300  154500-155000   00     106.91  830.0    108.42    -0.20    -9999
BAKSAN     120517 300  155000-155500   00     106.36  830.0    107.88    -0.70    -9999
BAKSAN     120517 300  155500-160000   00     106.00  830.0    107.57    -1.00    -9999
BAKSAN     120517 300  160000-160500   00     104.54  830.1    106.16    -2.30    -9999
BAKSAN     120517 300  160500-161000   00     105.04  830.2    106.71    -1.80    -9999
BAKSAN     120517 300  161000-161500   00     105.48  830.2    107.20    -1.30    -9999
BAKSAN     120517 300  161500-162000   00     104.54  830.3    106.29    -2.10    -9999
BAKSAN     120517 300  162000-162500   00     105.41  830.4    107.21    -1.30    -9999
BAKSAN     120517 300  162500-163000   00     105.94  830.4    107.80    -0.80    -9999
BAKSAN     120517 300  163000-163500   00     105.25  830.5    107.12    -1.40    -9999
BAKSAN     120517 300  163500-164000   00     104.76  830.5    106.64    -1.80    -9999
BAKSAN     120517 300  164000-164500   00     106.10  830.5    108.00    -0.60    -9999
BAKSAN     120517 300  164500-165000   00     104.92  830.4    106.78    -1.70    -9999
BAKSAN     120517 300  165000-165500   00     105.44  830.4    107.30    -1.20    -9999
BAKSAN     120517 300  165500-170000   00     107.24  830.4    109.14     0.50    -9999
BAKSAN     120517 300  170000-170500   00     105.46  830.5    107.38    -1.10    -9999
BAKSAN     120517 300  170500-171000   00     105.18  830.6    107.17    -1.30    -9999
BAKSAN     120517 300  171000-171500   00     104.95  830.7    106.98    -1.50    -9999
BAKSAN     120517 300  171500-172000   00     105.74  830.7    107.85    -0.70    -9999
BAKSAN     120517 300  172000-172500   00     105.88  830.8    108.04    -0.50    -9999
BAKSAN     120517 300  172500-173000   00     105.86  830.8    108.05    -0.50    -9999
BAKSAN     120517 300  173000-173500   00     106.21  830.9    108.44    -0.20    -9999
BAKSAN     120517 300  173500-174000   00     104.17  830.9    106.41    -2.00    -9999
BAKSAN     120517 300  174000-174500   00     105.20  831.0    107.49    -1.00    -9999
BAKSAN     120517 300  174500-175000   00     104.56  831.0    106.87    -1.60    -9999
BAKSAN     120517 300  175000-175500   00     105.32  831.1    107.68    -0.90    -9999
BAKSAN     120517 300  175500-180000   00     105.41  831.1    107.82    -0.70    -9999
BAKSAN     120517 300  180000-180500   00     105.25  831.2    107.67    -0.90    -9999
BAKSAN     120517 300  180500-181000   00     106.60  831.2    109.09     0.40    -9999
BAKSAN     120517 300  181000-181500   00     104.36  831.2    106.77    -1.70    -9999
BAKSAN     120517 300  181500-182000   00     104.51  831.2    106.92    -1.60    -9999
BAKSAN     120517 300  182000-182500   00     105.44  831.1    107.82    -0.70    -9999
BAKSAN     120517 300  182500-183000   00     106.40  831.0    108.75     0.10    -9999
BAKSAN     120517 300  183000-183500   00     104.36  831.0    106.60    -1.90    -9999
BAKSAN     120517 300  183500-184000   00     106.67  830.9    108.92     0.30    -9999
BAKSAN     120517 300  184000-184500   00     105.32  830.9    107.52    -1.00    -9999
BAKSAN     120517 300  184500-185000   00     105.49  830.9    107.67    -0.90    -9999
BAKSAN     120517 300  185000-185500   00     104.66  830.8    106.80    -1.70    -9999
BAKSAN     120517 300  185500-190000   00     104.44  830.8    106.55    -1.90    -9999
BAKSAN     120517 300  190000-190500   00     104.69  830.8    106.80    -1.70    -9999
BAKSAN     120517 300  190500-191000   00     103.39  830.8    105.50    -2.90    -9999
BAKSAN     120517 300  191000-191500   00     105.04  830.9    107.23    -1.30    -9999
BAKSAN     120517 300  191500-192000   00     103.14  830.9    105.32    -3.00    -9999
BAKSAN     120517 300  192000-192500   00     103.75  830.9    105.95    -2.50    -9999
BAKSAN     120517 300  192500-193000   00     106.41  830.9    108.70     0.10    -9999
BAKSAN     120517 300  193000-193500   00     104.65  831.0    106.92    -1.60    -9999
BAKSAN     120517 300  193500-194000   00     103.21  831.0    105.45    -2.90    -9999
BAKSAN     120517 300  194000-194500   00     103.99  831.0    106.25    -2.20    -9999
BAKSAN     120517 300  194500-195000   00     105.11  831.0    107.39    -1.10    -9999
BAKSAN     120517 300  195000-195500   00     103.44  830.9    105.65    -2.70    -9999
BAKSAN     120517 300  195500-200000   00     104.93  830.9    107.12    -1.40    -9999
BAKSAN     120517 300  200000-200500   00     105.77  830.8    107.95    -0.60    -9999
BAKSAN     120517 300  200500-201000   00     102.56  830.8    104.65    -3.70    -9999
BAKSAN     120517 300  201000-201500   00     104.79  830.8    106.92    -1.60    -9999
BAKSAN     120517 300  201500-202000   00     103.62  830.8    105.72    -2.70    -9999
BAKSAN     120517 300  202000-202500   00     104.41  830.7    106.48    -2.00    -9999
BAKSAN     120517 300  202500-203000   00     105.63  830.7    107.72    -0.80    -9999
BAKSAN     120517 300  203000-203500   00     105.47  830.7    107.54    -1.00    -9999
BAKSAN     120517 300  203500-204000   00     105.44  830.7    107.53    -1.00    -9999
BAKSAN     120517 300  204000-204500   00     104.81  830.8    106.91    -1.60    -9999
BAKSAN     120517 300  204500-205000   00     106.03  830.7    108.15    -0.40    -9999
BAKSAN     120517 300  205000-205500   00     104.45  830.7    106.51    -1.90    -9999
BAKSAN     120517 300  205500-210000   00     105.08  830.8    107.20    -1.30    -9999
BAKSAN     120517 300  210000-210500   00     104.19  830.9    106.36    -2.10    -9999
BAKSAN     120517 300  210500-211000   00     104.75  830.9    106.93    -1.60    -9999
