LOMNICKY   LATITUDE    49.2      LONGITUDE     20.22     ALTITUDE    2634 M
LOMNICKY   INSTRUMENT   8-NM-64  NEUTRON MONITOR	
LOMNICKY   STANDARD PRESSURE    550     MMHG   COEFFICIENT   -0.95     % / MMHG
LOMNICKY   PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
LOMNICKY   PRE-INCREASE AVERAGE COUNTING RATE    442.69      COUNTS PER SECOND
LOMNICKY   TIME INTERVALS    300         3600     
LOMNICKY   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
LOMNICKY   061213 300  152000-152500   00     425.03  554.5    443.63     0.20    -9999
LOMNICKY   061213 300  152500-153000   00     423.95  554.5    442.50     0.00    -9999
LOMNICKY   061213 300  153000-153500   00     426.65  554.4    444.90     0.50    -9999
LOMNICKY   061213 300  153500-154000   00     423.51  554.5    442.05    -0.10    -9999
LOMNICKY   061213 300  154000-154500   00     422.14  554.6    441.04    -0.40    -9999
LOMNICKY   061213 300  154500-155000   00     424.25  554.6    443.24     0.10    -9999
LOMNICKY   061213 300  155000-155500   00     424.46  554.6    443.46     0.20    -9999
LOMNICKY   061213 300  155500-160000   00     421.98  554.7    441.29    -0.30    -9999
LOMNICKY   061213 300  160000-160500   00     425.88  554.5    444.52     0.40    -9999
LOMNICKY   061213 300  160500-161000   00     426.03  554.7    445.52     0.60    -9999
LOMNICKY   061213 300  161000-161500   00     423.49  554.6    442.45    -0.10    -9999
LOMNICKY   061213 300  161500-162000   00     420.71  554.7    439.97    -0.60    -9999
LOMNICKY   061213 300  162000-162500   00     422.57  554.7    441.91    -0.20    -9999
LOMNICKY   061213 300  162500-163000   00     425.49  554.7    444.96     0.50    -9999
LOMNICKY   061213 300  163000-163500   00     420.42  554.6    439.24    -0.80    -9999
LOMNICKY   061213 300  163500-164000   00     424.51  554.7    443.94     0.30    -9999
LOMNICKY   061213 300  164000-164500   00     424.28  554.7    443.70     0.20    -9999
LOMNICKY   061213 300  164500-165000   00     422.67  554.7    442.01    -0.20    -9999
LOMNICKY   061213 300  165000-165500   00     420.41  554.8    440.07    -0.60    -9999
LOMNICKY   061213 300  165500-170000   00     421.96  554.8    441.69    -0.20    -9999
LOMNICKY   061213 300  170000-170500   00     424.99  554.9    445.29     0.60    -9999
LOMNICKY   061213 300  170500-171000   00     419.43  554.8    439.04    -0.80    -9999
LOMNICKY   061213 300  171000-171500   00     422.53  554.8    442.28    -0.10    -9999
LOMNICKY   061213 300  171500-172000   00     420.87  554.9    440.96    -0.40    -9999
LOMNICKY   061213 300  172000-172500   00     421.23  554.9    441.35    -0.30    -9999
LOMNICKY   061213 300  172500-173000   00     423.26  555.0    443.89     0.30    -9999
LOMNICKY   061213 300  173000-173500   00     422.16  554.9    442.32    -0.10    -9999
