KERGUELEN  LATITUDE    -49.35    LONGITUDE     70.25     ALTITUDE    33 M
KERGUELEN  INSTRUMENT   18-NM-64  NEUTRON MONITOR	
KERGUELEN  STANDARD PRESSURE    750     MMHG   COEFFICIENT   -1.01     % / MMHG
KERGUELEN  PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
KERGUELEN  PRE-INCREASE AVERAGE COUNTING RATE    188.09      COUNTS PER SECOND
KERGUELEN  TIME INTERVALS    300      
KERGUELEN  SCALE FACTORS     1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
KERGUELEN  010414 300  105000-105500   10     178.13  755.5    188.00     0.00    -9999
KERGUELEN  010414 300  105500-110000   10     176.67  755.6    186.67    -0.80    -9999
KERGUELEN  010414 300  110000-110500   10     177.33  755.6    187.33    -0.40    -9999
KERGUELEN  010414 300  110500-111000   10     174.80  755.5    184.53    -1.90    -9999
KERGUELEN  010414 300  111000-111500   10     176.00  755.6    186.00    -1.10    -9999
KERGUELEN  010414 300  111500-112000   10     175.07  755.6    184.93    -1.70    -9999
KERGUELEN  010414 300  112000-112500   10     173.87  755.6    183.73    -2.30    -9999
KERGUELEN  010414 300  112500-113000   10     177.20  755.5    187.07    -0.50    -9999
KERGUELEN  010414 300  113000-113500   10     176.93  755.4    186.67    -0.80    -9999
KERGUELEN  010414 300  113500-114000   10     175.73  755.3    185.20    -1.50    -9999
KERGUELEN  010414 300  114000-114500   10     176.80  755.2    186.13    -1.00    -9999
KERGUELEN  010414 300  114500-115000   10     176.40  755.2    185.60    -1.30    -9999
KERGUELEN  010414 300  115000-115500   10     177.87  755.2    187.20    -0.50    -9999
KERGUELEN  010414 300  115500-120000   10     178.40  755.2    187.87    -0.10    -9999
KERGUELEN  010414 300  120000-120500   10     176.93  755.2    186.27    -1.00    -9999
KERGUELEN  010414 300  120500-121000   10     180.80  755.3    190.53     1.30    -9999
KERGUELEN  010414 300  121000-121500   10     178.80  755.4    188.80     0.40    -9999
KERGUELEN  010414 300  121500-122000   10     174.93  755.5    184.67    -1.80    -9999
KERGUELEN  010414 300  122000-122500   10     176.67  755.6    186.67    -0.80    -9999
KERGUELEN  010414 300  122500-123000   10     177.20  755.6    187.33    -0.40    -9999
KERGUELEN  010414 300  123000-123500   10     174.67  755.7    184.67    -1.80    -9999
KERGUELEN  010414 300  123500-124000   10     176.00  755.7    186.27    -1.00    -9999
KERGUELEN  010414 300  124000-124500   10     176.93  755.6    186.93    -0.60    -9999
KERGUELEN  010414 300  124500-125000   10     175.47  755.7    185.73    -1.30    -9999
KERGUELEN  010414 300  125000-125500   10     174.13  755.7    184.27    -2.00    -9999
KERGUELEN  010414 300  125500-130000   10     175.47  755.7    185.60    -1.30    -9999
KERGUELEN  010414 300  130000-130500   10     176.40  755.7    186.67    -0.80    -9999
KERGUELEN  010414 300  130500-131000   10     174.67  755.7    184.80    -1.70    -9999
KERGUELEN  010414 300  131000-131500   10     177.07  755.7    187.33    -0.40    -9999
KERGUELEN  010414 300  131500-132000   10     173.60  755.8    184.00    -2.20    -9999
KERGUELEN  010414 300  132000-132500   10     176.27  755.7    186.67    -0.80    -9999
KERGUELEN  010414 300  132500-133000   10     174.13  755.7    184.27    -2.00    -9999
KERGUELEN  010414 300  133000-133500   10     178.27  755.8    188.80     0.40    -9999
KERGUELEN  010414 300  133500-134000   10     177.60  755.8    188.00     0.00    -9999
KERGUELEN  010414 300  134000-134500   10     174.40  755.9    184.93    -1.70    -9999
KERGUELEN  010414 300  134500-135000   10     175.33  755.9    185.87    -1.20    -9999
KERGUELEN  010414 300  135000-135500   10     175.73  756.0    186.53    -0.80    -9999
KERGUELEN  010414 300  135500-140000   10     174.27  755.9    184.67    -1.80    -9999
