KERGUELEN  LATITUDE    -49.35    LONGITUDE     70.25     ALTITUDE    33 M
KERGUELEN  INSTRUMENT   18-NM-64  NEUTRON MONITOR	
KERGUELEN  STANDARD PRESSURE    1000    mb     COEFFICIENT   -0.76     % / mb
KERGUELEN  PRE-INCREASE BASELINE TIME INTERVAL    211028    130000-150000   UT
KERGUELEN  PRE-INCREASE AVERAGE COUNTING RATE    237.45      COUNTS PER SECOND
KERGUELEN  TIME INTERVALS    300         3600     
KERGUELEN  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
KERGUELEN  211029 3600 130000-140000   00     227.72 1004.9    236.53    -0.39    -9999
KERGUELEN  211029 3600 140000-150000   00     227.86 1005.4    237.53     0.03    -9999
KERGUELEN  211029 3600 150000-160000   00     226.60 1006.1    237.46     0.01    -9999
KERGUELEN  211029 3600 160000-170000   00     223.41 1007.3    236.18    -0.54    -9999
KERGUELEN  211029 3600 170000-180000   00     224.65 1008.1    238.95     0.63    -9999
KERGUELEN  211029 3600 180000-190000   00     224.03 1008.8    239.66     0.93    -9999
KERGUELEN  211029 3600 190000-200000   00     222.68 1009.7    239.76     0.98    -9999
KERGUELEN  211029 3600 200000-210000   00     218.41 1010.8    237.19    -0.11    -9999
KERGUELEN  211029 3600 210000-220000   00     214.98 1011.5    234.66    -1.18    -9999
KERGUELEN  211029 3600 220000-230000   00     215.87 1012.1    236.71    -0.31    -9999
KERGUELEN  211029 3600 230000-000000   00     215.66 1012.5    237.23    -0.09    -9999
*
COMMENT  FILE COMPOSED BY ILYA USOSKIN OF THE UNIVERSITY OF OULU
COMMENT  DATA OBTAINED FROM NMDB (30.10.2021)
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2023-03-30 17:39:06 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE73/C073KERG_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
