YAKUTSK    LATITUDE    62.02     LONGITUDE     129.72    ALTITUDE    105 M
YAKUTSK    INSTRUMENT   18NM64    NEUTRON MONITOR     	
YAKUTSK    STANDARD PRESSURE    1000.3  MB     COEFFICIENT   -0.71     % / MB
YAKUTSK    PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
YAKUTSK    PRE-INCREASE AVERAGE COUNTING RATE     84.22      COUNTS PER SECOND
YAKUTSK    TIME INTERVALS    300         3600     
YAKUTSK    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
YAKUTSK    010415 300  182500-183000   00      88.75 1002.0     89.83     6.70     5.52
YAKUTSK    010415 300  183000-183500   00      87.41 1002.0     88.49     5.10     3.91
YAKUTSK    010415 300  183500-184000   00      87.31 1002.0     88.39     5.00     3.79
YAKUTSK    010415 300  184000-184500   00      87.89 1002.0     88.99     5.70     4.48
YAKUTSK    010415 300  184500-185000   00      88.48 1002.0     89.59     6.40     5.17
YAKUTSK    010415 300  185000-185500   00      86.61 1002.1     87.71     4.10     2.85
YAKUTSK    010415 300  185500-190000   00      87.04 1002.1     88.15     4.70     3.44
YAKUTSK    010415 300  190000-190500   00      86.83 1002.1     87.95     4.40     3.13
YAKUTSK    010415 300  190500-191000   00      88.11 1002.1     89.26     6.00     4.72
YAKUTSK    010415 300  191000-191500   00      87.15 1002.1     88.30     4.80     3.50
YAKUTSK    010415 300  191500-192000   00      87.52 1002.2     88.69     5.30     3.99
YAKUTSK    010415 300  192000-192500   00      86.40 1002.2     87.56     4.00     2.68
YAKUTSK    010415 300  192500-193000   00      87.31 1002.2     88.49     5.10     3.77
YAKUTSK    010415 300  193000-193500   00      86.51 1002.2     87.70     4.10     2.76
YAKUTSK    010415 300  193500-194000   00      85.44 1002.2     86.63     2.90     1.54
YAKUTSK    010415 300  194000-194500   00      86.56 1002.3     87.78     4.20     2.83
YAKUTSK    010415 300  194500-195000   00      86.56 1002.3     87.79     4.20     2.82
YAKUTSK    010415 300  195000-195500   00      86.83 1002.3     88.08     4.60     3.21
YAKUTSK    010415 300  195500-200000   00      86.83 1002.3     88.09     4.60     3.20
YAKUTSK    010415 300  200000-200500   00      86.72 1002.4     88.01     4.50     3.09
YAKUTSK    010415 300  200500-201000   00      87.31 1002.4     88.62     5.20     3.78
YAKUTSK    010415 300  201000-201500   00      84.85 1002.4     86.14     2.30     0.86
YAKUTSK    010415 300  201500-202000   00      86.35 1002.4     87.68     4.10     2.65
