MCMURDO    LATITUDE    -77.95    LONGITUDE     166.6     ALTITUDE    48 M
MCMURDO    INSTRUMENT   18NM64    NEUTRON MONITOR     	
MCMURDO    STANDARD PRESSURE    963.3   mb     COEFFICIENT   -0.74     % / mb
MCMURDO    PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
MCMURDO    PRE-INCREASE AVERAGE COUNTING RATE    245.95      COUNTS PER SECOND
MCMURDO    TIME INTERVALS    300         3600     
MCMURDO    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
MCMURDO    010415 300  181500-182000   00     272.62  964.8    275.58    12.00    10.65
MCMURDO    010415 300  182000-182500   00     271.63  964.8    274.59    11.60    10.24
MCMURDO    010415 300  182500-183000   00     272.29  964.8    275.27    11.90    10.52
MCMURDO    010415 300  183000-183500   00     270.96  964.8    273.93    11.40    10.01
MCMURDO    010415 300  183500-184000   00     269.97  964.8    272.92    11.00     9.59
MCMURDO    010415 300  184000-184500   00     269.64  964.8    272.57    10.80     9.37
MCMURDO    010415 300  184500-185000   00     268.64  964.8    271.55    10.40     8.96
MCMURDO    010415 300  185000-185500   00     265.99  964.8    268.84     9.30     7.84
MCMURDO    010415 300  185500-190000   00     267.32  964.8    270.15     9.80     8.33
MCMURDO    010415 300  190000-190500   00     265.33  964.6    267.83     8.90     7.41
MCMURDO    010415 300  190500-191000   00     265.99  964.6    268.46     9.20     7.69
MCMURDO    010415 300  191000-191500   00     264.33  964.6    266.75     8.50     6.98
MCMURDO    010415 300  191500-192000   00     264.66  964.5    267.07     8.60     7.06
MCMURDO    010415 300  192000-192500   00     264.33  964.5    266.71     8.50     6.95
MCMURDO    010415 300  192500-193000   00     263.67  964.5    266.03     8.20     6.63
MCMURDO    010415 300  193000-193500   00     265.33  964.5    267.70     8.80     7.22
MCMURDO    010415 300  193500-194000   00     264.33  964.5    266.71     8.40     6.80
MCMURDO    010415 300  194000-194500   00     264.33  964.5    266.71     8.40     6.79
MCMURDO    010415 300  194500-195000   00     264.33  964.6    266.73     8.40     6.77
MCMURDO    010415 300  195000-195500   00     262.01  964.6    264.42     7.50     5.86
MCMURDO    010415 300  195500-200000   00     261.01  964.6    263.44     7.10     5.44
MCMURDO    010415 300  200000-200500   00     262.67  964.7    265.26     7.80     6.13
MCMURDO    010415 300  200500-201000   00     263.01  964.7    265.64     8.00     6.31
MCMURDO    010415 300  201000-201500   00     260.35  964.7    263.00     7.00     5.30
MCMURDO    010415 300  201500-202000   00     260.02  964.7    262.72     6.80     5.08
MCMURDO    010415 300  202000-202500   00     258.69  964.7    261.43     6.30     4.57
MCMURDO    010415 300  202500-203000   00     260.02  964.8    262.82     6.90     5.15
MCMURDO    010415 300  203000-203500   00     259.69  964.8    262.54     6.70     4.94
MCMURDO    010415 300  203500-204000   00     259.36  964.8    262.26     6.60     4.82
MCMURDO    010415 300  204000-204500   00     258.36  964.9    261.31     6.20     4.41
MCMURDO    010415 300  204500-205000   00     258.36  964.9    261.36     6.30     4.49
MCMURDO    010415 300  205000-205500   00     258.69  964.9    261.76     6.40     4.58
MCMURDO    010415 300  205500-210000   00     256.37  965.0    259.48     5.50     3.67
MCMURDO    010415 300  210000-210500   00     256.37  965.0    259.60     5.60     3.75
MCMURDO    010415 300  210500-211000   00     255.71  965.1    258.99     5.30     3.44
MCMURDO    010415 300  211000-211500   00     257.70  965.1    261.07     6.10     4.22
MCMURDO    010415 300  211500-212000   00     254.38  965.1    257.77     4.80     2.91
MCMURDO    010415 300  212000-212500   00     256.37  965.1    259.85     5.60     3.70
MCMURDO    010415 300  212500-213000   00     255.71  965.2    259.23     5.40     3.48
MCMURDO    010415 300  213000-213500   00     254.38  965.2    257.94     4.90     2.97
MCMURDO    010415 300  213500-214000   00     256.37  965.2    260.01     5.70     3.76
MCMURDO    010415 300  214000-214500   00     254.71  965.3    258.38     5.10     3.14
MCMURDO    010415 300  214500-215000   00     254.38  965.3    258.09     4.90     2.93
MCMURDO    010415 300  215000-215500   00     256.37  965.3    260.16     5.80     3.82
MCMURDO    010415 300  215500-220000   00     254.38  965.3    258.18     5.00     3.00
MCMURDO    010415 300  220000-220500   00     255.71  965.3    259.54     5.50     3.49
MCMURDO    010415 300  220500-221000   00     255.71  965.4    259.58     5.50     3.48
MCMURDO    010415 300  221000-221500   00     256.37  965.4    260.29     5.80     3.76
MCMURDO    010415 300  221500-222000   00     255.71  965.4    259.66     5.60     3.55
MCMURDO    010415 300  222000-222500   00     257.03  965.4    261.06     6.10     4.04
MCMURDO    010415 300  222500-223000   00     255.71  965.4    259.75     5.60     3.52
MCMURDO    010415 300  223000-223500   00     253.39  965.5    257.44     4.70     2.61
MCMURDO    010415 300  223500-224000   00     253.72  965.5    257.82     4.80     2.70
MCMURDO    010415 300  224000-224500   00     253.06  965.5    257.19     4.50     2.39
MCMURDO    010415 300  224500-225000   00     254.38  965.5    258.57     5.10     2.97
MCMURDO    010415 300  225000-225500   00     252.39  965.6    256.59     4.30     2.16
MCMURDO    010415 300  225500-230000   00     255.37  965.6    259.67     5.60     3.45
MCMURDO    010415 300  230000-230500   00     251.73  965.6    255.97     4.10     1.94
MCMURDO    010415 300  230500-231000   00     254.71  965.6    259.05     5.30     3.12
MCMURDO    010415 300  231000-231500   00     253.39  965.6    257.75     4.80     2.61
MCMURDO    010415 300  231500-232000   00     255.04  965.7    259.48     5.50     3.30
MCMURDO    010415 300  232000-232500   00     252.72  965.7    257.17     4.60     2.39
MCMURDO    010415 300  232500-233000   00     251.73  965.7    256.21     4.20     1.98
MCMURDO    010415 300  233000-233500   00     253.72  965.7    258.29     5.00     2.76
MCMURDO    010415 300  233500-234000   00     251.40  965.8    255.97     4.10     1.85
MCMURDO    010415 300  234000-234500   00     253.72  965.8    258.40     5.10     2.84
MCMURDO    010415 300  234500-235000   00     251.40  965.8    256.09     4.10     1.83
MCMURDO    010415 300  235000-235500   00     250.40  965.9    255.14     3.70     1.42
MCMURDO    010415 300  235500-240000   00     253.73  965.9    258.59     5.10     2.81
MCMURDO    010416 3600 000000-010000   00     251.75  966.1    257.04     4.50     2.13
MCMURDO    010416 3600 010000-020000   00     249.89  966.1    255.14     3.70     1.20
MCMURDO    010416 3600 020000-030000   00     249.61  966.4    255.36     3.80     1.19
