ROME       LATITUDE    41.9      LONGITUDE     12.52     ALTITUDE    60 M
ROME       INSTRUMENT   IGY     NEUTRON MONITOR
ROME       STANDARD PRESSURE    1009    MB     COEFFICIENT   -0.705    % / MB
ROME       PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
ROME       PRE-INCREASE AVERAGE COUNTING RATE    117.24      COUNTS PER SECOND
ROME       TIME INTERVALS    300         3600     
ROME       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
ROME       000714 300  190000-190500   00     119.97 1004.6    116.14    -0.90    -9999
ROME       000714 300  190500-191000   00     119.33 1004.6    115.55    -1.40    -9999
ROME       000714 300  191000-191500   00     121.53 1004.8    117.79     0.50    -9999
ROME       000714 300  191500-192000   00     120.97 1004.9    117.36     0.10    -9999
ROME       000714 300  192000-192500   00     119.53 1005.0    116.05    -1.00    -9999
ROME       000714 300  192500-193000   00     121.17 1005.1    117.69     0.40    -9999
ROME       000714 300  193000-193500   00     119.97 1005.1    116.55    -0.60    -9999
ROME       000714 300  193500-194000   00     119.57 1005.1    116.15    -0.90    -9999
ROME       000714 300  194000-194500   00     120.27 1005.1    116.81    -0.40    -9999
ROME       000714 300  194500-195000   00     119.17 1005.0    115.67    -1.30    -9999
ROME       000714 300  195000-195500   00     119.80 1004.9    116.18    -0.90    -9999
ROME       000714 300  195500-200000   00     121.27 1004.8    117.55     0.30    -9999
ROME       000714 300  200000-200500   00     121.33 1004.8    117.59     0.30    -9999
ROME       000714 300  200500-201000   00     121.17 1004.7    117.40     0.10    -9999
ROME       000714 300  201000-201500   00     121.10 1004.7    117.31     0.10    -9999
ROME       000714 300  201500-202000   00     119.40 1004.7    115.64    -1.40    -9999
ROME       000714 300  202000-202500   00     119.13 1004.6    115.35    -1.60    -9999
ROME       000714 300  202500-203000   00     121.40 1004.6    117.53     0.20    -9999
ROME       000714 300  203000-203500   00     119.67 1004.6    115.82    -1.20    -9999
ROME       000714 300  203500-204000   00     121.13 1004.5    117.18    -0.10    -9999
ROME       000714 300  204000-204500   00     120.53 1004.4    116.56    -0.60    -9999
ROME       000714 300  204500-205000   00     120.23 1004.4    116.27    -0.80    -9999
ROME       000714 300  205000-205500   00     120.07 1004.5    116.11    -1.00    -9999
ROME       000714 300  205500-210000   00     120.00 1004.5    116.05    -1.00    -9999
ROME       000714 300  210000-210500   00     119.93 1004.4    115.96    -1.10    -9999
ROME       000714 300  210500-211000   00     120.53 1004.4    116.53    -0.60    -9999
ROME       000714 300  211000-211500   00     120.83 1004.4    116.82    -0.40    -9999
ROME       000714 300  211500-212000   00     119.37 1004.4    115.36    -1.60    -9999
ROME       000714 300  212000-212500   00     119.97 1004.3    115.88    -1.20    -9999
ROME       000714 300  212500-213000   00     120.33 1004.2    116.20    -0.90    -9999
ROME       000714 300  213000-213500   00     122.03 1004.2    117.83     0.50    -9999
ROME       000714 300  213500-214000   00     120.57 1004.3    116.44    -0.70    -9999
ROME       000714 300  214000-214500   00     121.13 1004.3    117.03    -0.20    -9999
ROME       000714 300  214500-215000   00     120.83 1004.4    116.80    -0.40    -9999
ROME       000714 300  215000-215500   00     120.47 1004.4    116.46    -0.70    -9999
ROME       000714 300  215500-220000   00     120.33 1004.4    116.34    -0.80    -9999
ROME       000714 300  220000-220500   00     121.20 1004.4    117.20     0.00    -9999
ROME       000714 300  220500-221000   00     120.87 1004.4    116.81    -0.40    -9999
ROME       000714 300  221000-221500   00     120.63 1004.3    116.54    -0.60    -9999
ROME       000714 300  221500-222000   00     119.37 1004.3    115.34    -1.60    -9999
ROME       000714 300  222000-222500   00     121.13 1004.3    117.03    -0.20    -9999
ROME       000714 300  222500-223000   00     120.27 1004.3    116.20    -0.90    -9999
ROME       000714 300  223000-223500   00     120.87 1004.4    116.80    -0.40    -9999
ROME       000714 300  223500-224000   00     120.87 1004.3    116.80    -0.40    -9999
ROME       000714 300  224000-224500   00     119.63 1004.3    115.58    -1.40    -9999
ROME       000714 300  224500-225000   00     121.90 1004.2    117.71     0.40    -9999
ROME       000714 300  225000-225500   00     121.00 1004.1    116.76    -0.40    -9999
ROME       000714 300  225500-230000   00     122.30 1004.1    118.01     0.70    -9999
ROME       000714 300  230000-230500   00     121.50 1004.1    117.21     0.00    -9999
ROME       000714 300  230500-231000   00     121.70 1004.0    117.31     0.10    -9999
ROME       000714 300  231000-231500   00     118.93 1004.0    114.65    -2.20    -9999
ROME       000714 300  231500-232000   00     120.80 1004.1    116.50    -0.60    -9999
ROME       000714 300  232000-232500   00     121.23 1004.0    116.85    -0.30    -9999
ROME       000714 300  232500-233000   00     121.27 1003.8    116.78    -0.40    -9999
ROME       000714 300  233000-233500   00     120.27 1003.8    115.77    -1.30    -9999
ROME       000714 300  233500-234000   00     122.50 1003.8    117.93     0.60    -9999
ROME       000714 300  234000-234500   00     121.37 1003.8    116.83    -0.30    -9999
ROME       000714 300  234500-235000   00     121.33 1003.7    116.74    -0.40    -9999
ROME       000714 300  235000-235500   00     122.50 1003.6    117.78     0.50    -9999
ROME       000714 300  235500-240000   00     122.50 1003.6    117.75     0.40    -9999
ROME       000715 3600 000000-010000   00     121.76 1003.2    116.76    -0.40    -9999
ROME       000715 3600 010000-020000   00     122.86 1002.4    117.10    -0.10    -9999
ROME       000715 3600 020000-030000   00     123.88 1001.6    117.43     0.20    -9999
ROME       000715 3600 030000-040000   00     124.01 1000.9    116.98    -0.20    -9999
ROME       000715 3600 040000-050000   00     125.21 1000.4    117.70     0.40    -9999
ROME       000715 3600 050000-060000   00     124.54 1000.3    117.01    -0.20    -9999
ROME       000715 3600 060000-070000   00     124.53 1000.3    116.98    -0.20    -9999
ROME       000715 3600 070000-080000   00     125.13 1000.4    117.61     0.30    -9999
ROME       000715 3600 080000-090000   00     125.63 1000.4    118.11     0.70    -9999
ROME       000715 3600 090000-100000   00     125.94 1000.5    118.47     1.00    -9999
ROME       000715 3600 100000-110000   00     125.24 1000.6    117.86     0.50    -9999
ROME       000715 3600 110000-120000   00     125.28 1000.5    117.88     0.50    -9999
ROME       000715 3600 120000-130000   00     124.95 1000.2    117.34     0.10    -9999
ROME       000715 3600 130000-140000   00     124.49 1000.3    116.97    -0.20    -9999
ROME       000715 3600 140000-150000   00     124.78 1000.5    117.38     0.10    -9999
ROME       000715 3600 150000-160000   00     122.98 1000.7    115.89    -1.20    -9999
ROME       000715 3600 160000-170000   00     123.83 1001.0    116.87    -0.30    -9999
ROME       000715 3600 170000-180000   00     124.03 1001.2    117.25     0.00    -9999
ROME       000715 3600 180000-190000   00     122.08 1001.7    115.83    -1.20    -9999
ROME       000715 3600 190000-200000   00     120.94 1002.3    115.22    -1.70    -9999
ROME       000715 3600 200000-210000   00     119.48 1002.6    114.09    -2.70    -9999
ROME       000715 3600 210000-220000   00     119.65 1002.8    114.38    -2.40    -9999
ROME       000715 3600 220000-230000   00     117.04 1002.9    111.95    -4.50    -9999
ROME       000715 3600 230000-240000   00     117.38 1003.0    112.39    -4.10    -9999
*
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2022-05-13 14:50:50 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE59/C059ROME.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
