NEWARK     LATITUDE    39.7      LONGITUDE     -75.7     ALTITUDE    50 M
NEWARK     INSTRUMENT   9NM64    NEUTRON MONITOR     	
NEWARK     STANDARD PRESSURE    1013    mb     COEFFICIENT   -0.71     % / mb
NEWARK     PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
NEWARK     PRE-INCREASE AVERAGE COUNTING RATE     92.26      COUNTS PER SECOND
NEWARK     TIME INTERVALS    300         3600     
NEWARK     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
NEWARK     120517 300  120000-120500   00      93.24 1013.2     93.24     1.10    -9999
NEWARK     120517 300  120500-121000   00      93.72 1013.3     93.77     1.60    -9999
NEWARK     120517 300  121000-121500   00      92.69 1013.3     92.75     0.50    -9999
NEWARK     120517 300  121500-122000   00      91.55 1013.4     91.62    -0.70    -9999
NEWARK     120517 300  122000-122500   00      92.52 1013.4     92.65     0.40    -9999
NEWARK     120517 300  122500-123000   00      93.80 1013.6     94.01     1.90    -9999
NEWARK     120517 300  123000-123500   00      94.06 1013.7     94.35     2.30    -9999
NEWARK     120517 300  123500-124000   00      92.96 1013.8     93.31     1.10    -9999
NEWARK     120517 300  124000-124500   00      94.74 1013.8     95.13     3.10    -9999
NEWARK     120517 300  124500-125000   00      93.53 1013.9     93.95     1.80    -9999
NEWARK     120517 300  125000-125500   00      94.22 1013.9     94.69     2.60    -9999
NEWARK     120517 300  125500-130000   00      94.17 1014.0     94.66     2.60    -9999
NEWARK     120517 300  130000-130500   00      93.65 1013.9     94.11     2.00    -9999
NEWARK     120517 300  130500-131000   00      93.29 1014.0     93.81     1.70    -9999
NEWARK     120517 300  131000-131500   00      92.57 1014.1     93.17     1.00    -9999
NEWARK     120517 300  131500-132000   00      91.95 1014.3     92.63     0.40    -9999
NEWARK     120517 300  132000-132500   00      92.54 1014.4     93.32     1.10    -9999
NEWARK     120517 300  132500-133000   00      94.05 1014.4     94.88     2.80    -9999
NEWARK     120517 300  133000-133500   00      93.83 1014.5     94.68     2.60    -9999
NEWARK     120517 300  133500-134000   00      92.32 1014.5     93.15     1.00    -9999
NEWARK     120517 300  134000-134500   00      91.44 1014.5     92.28     0.00    -9999
NEWARK     120517 300  134500-135000   00      92.13 1014.6     93.01     0.80    -9999
NEWARK     120517 300  135000-135500   00      91.15 1014.6     92.05    -0.20    -9999
NEWARK     120517 300  135500-140000   00      93.79 1014.5     94.67     2.60    -9999
NEWARK     120517 300  140000-140500   00      93.23 1014.5     94.08     2.00    -9999
NEWARK     120517 300  140500-141000   00      95.09 1014.5     95.97     4.00    -9999
