NORILSK    LATITUDE    69.26     LONGITUDE     88.05     ALTITUDE    0 M
NORILSK    INSTRUMENT   18NM64    NEUTRON MONITOR     	
NORILSK    STANDARD PRESSURE    998.5   mb     COEFFICIENT   -0.71     % / mb
NORILSK    PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
NORILSK    PRE-INCREASE AVERAGE COUNTING RATE    111.40      COUNTS PER SECOND
NORILSK    TIME INTERVALS    300         3600     
NORILSK    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
NORILSK    031028 300  173000-173500   00     112.44 1002.6    115.78     3.90     3.90
NORILSK    031028 300  173500-174000   00     112.32 1002.6    115.67     3.80     3.80
NORILSK    031028 300  174000-174500   00     112.78 1002.7    116.18     4.30     4.30
NORILSK    031028 300  174500-175000   00     110.74 1002.7    114.10     2.40     2.40
NORILSK    031028 300  175000-175500   00     111.77 1002.7    115.19     3.40     3.40
NORILSK    031028 300  175500-180000   00     111.72 1002.8    115.16     3.40     3.40
NORILSK    031028 300  180000-180500   00     110.53 1002.8    113.97     2.30     2.30
NORILSK    031028 300  180500-181000   00     110.45 1002.8    113.91     2.30     2.30
NORILSK    031028 300  181000-181500   00     109.77 1002.9    113.24     1.70     1.70
NORILSK    031028 300  181500-182000   00     108.22 1002.9    111.67     0.20     0.20
NORILSK    031028 300  182000-182500   00     111.50 1002.9    115.08     3.30     3.30
NORILSK    031028 300  182500-183000   00     109.50 1003.0    113.04     1.50     1.50
NORILSK    031028 300  183000-183500   00     112.84 1003.0    116.51     4.60     4.60
NORILSK    031028 300  183500-184000   00     112.08 1003.0    115.76     3.90     3.90
NORILSK    031028 300  184000-184500   00     110.78 1003.1    114.44     2.70     2.70
NORILSK    031028 300  184500-185000   00     110.41 1003.1    114.08     2.40     2.40
NORILSK    031028 300  185000-185500   00     111.39 1003.1    115.12     3.30     3.30
NORILSK    031028 300  185500-190000   00     111.28 1003.2    115.04     3.30     3.30
NORILSK    031028 300  190000-190500   00     110.35 1003.2    114.10     2.40     2.40
NORILSK    031028 300  190500-191000   00     112.15 1003.2    115.98     4.10     4.10
NORILSK    031028 300  191000-191500   00     111.63 1003.3    115.47     3.70     3.70
NORILSK    031028 300  191500-192000   00     109.79 1003.3    113.59     2.00     2.00
NORILSK    031028 300  192000-192500   00     109.20 1003.3    112.99     1.40     1.40
NORILSK    031028 300  192500-193000   00     111.45 1003.3    115.35     3.50     3.50
NORILSK    031028 300  193000-193500   00     110.83 1003.4    114.72     3.00     3.00
NORILSK    031028 300  193500-194000   00     110.65 1003.4    114.56     2.80     2.80
NORILSK    031028 300  194000-194500   00     110.66 1003.4    114.58     2.90     2.90
NORILSK    031028 300  194500-195000   00     109.92 1003.4    113.84     2.20     2.20
NORILSK    031028 300  195000-195500   00     111.66 1003.5    115.66     3.80     3.80
NORILSK    031028 300  195500-200000   00     109.13 1003.5    113.06     1.50     1.50
NORILSK    031028 300  200000-200500   00     110.38 1003.5    114.38     2.70     2.70
NORILSK    031028 300  200500-201000   00     110.30 1003.6    114.33     2.60     2.60
NORILSK    031028 300  201000-201500   00     112.09 1003.6    116.22     4.30     4.30
NORILSK    031028 300  201500-202000   00     110.14 1003.6    114.24     2.50     2.50
NORILSK    031028 300  202000-202500   00     110.88 1003.7    115.04     3.30     3.30
NORILSK    031028 300  202500-203000   00     110.91 1003.7    115.10     3.30     3.30
NORILSK    031028 300  203000-203500   00     108.14 1003.8    112.26     0.80     0.80
NORILSK    031028 300  203500-204000   00     107.83 1003.8    111.97     0.50     0.50
NORILSK    031028 300  204000-204500   00     109.31 1003.8    113.54     1.90     1.90
NORILSK    031028 300  204500-205000   00     109.71 1003.9    113.99     2.30     2.30
NORILSK    031028 300  205000-205500   00     110.52 1003.9    114.87     3.10     3.10
NORILSK    031028 300  205500-210000   00     108.86 1004.0    113.18     1.60     1.60
NORILSK    031028 300  210000-210500   00     111.39 1004.0    115.84     4.00     4.00
NORILSK    031028 300  210500-211000   00     110.81 1004.1    115.27     3.50     3.50
NORILSK    031028 300  211000-211500   00     110.22 1004.1    114.69     3.00     3.00
NORILSK    031028 300  211500-212000   00     109.67 1004.1    114.15     2.50     2.50
NORILSK    031028 300  212000-212500   00     109.20 1004.2    113.70     2.10     2.10
NORILSK    031028 300  212500-213000   00     109.24 1004.2    113.77     2.10     2.10
NORILSK    031028 300  213000-213500   00     111.27 1004.3    115.91     4.00     4.00
NORILSK    031028 300  213500-214000   00     110.46 1004.3    115.11     3.30     3.30
NORILSK    031028 300  214000-214500   00     108.11 1004.3    112.70     1.20     1.20
NORILSK    031028 300  214500-215000   00     109.10 1004.4    113.76     2.10     2.10
NORILSK    031028 300  215000-215500   00     110.86 1004.4    115.62     3.80     3.80
NORILSK    031028 300  215500-220000   00     109.60 1004.5    114.35     2.60     2.60
NORILSK    031028 300  220000-220500   00     107.74 1004.5    112.44     0.90     0.90
NORILSK    031028 300  220500-221000   00     108.87 1004.5    113.63     2.00     2.00
NORILSK    031028 300  221000-221500   00     107.27 1004.6    111.98     0.50     0.50
NORILSK    031028 300  221500-222000   00     110.68 1004.6    115.57     3.70     3.70
NORILSK    031028 300  222000-222500   00     109.31 1004.6    114.15     2.50     2.50
NORILSK    031028 300  222500-223000   00     108.26 1004.6    113.08     1.50     1.50
NORILSK    031028 300  223000-223500   00     109.30 1004.7    114.18     2.50     2.50
NORILSK    031028 300  223500-224000   00     109.46 1004.7    114.37     2.70     2.70
NORILSK    031028 300  224000-224500   00     108.96 1004.7    113.87     2.20     2.20
NORILSK    031028 300  224500-225000   00     107.73 1004.7    112.61     1.10     1.10
NORILSK    031028 300  225000-225500   00     109.37 1004.8    114.34     2.60     2.60
NORILSK    031028 300  225500-230000   00     111.11 1004.8    116.18     4.30     4.30
NORILSK    031028 300  230000-230500   00     109.40 1004.8    114.41     2.70     2.70
NORILSK    031028 300  230500-231000   00     108.79 1004.8    113.80     2.20     2.20
NORILSK    031028 300  231000-231500   00     109.49 1004.9    114.57     2.80     2.80
NORILSK    031028 300  231500-232000   00     108.16 1004.9    113.20     1.60     1.60
NORILSK    031028 300  232000-232500   00     109.06 1004.9    114.17     2.50     2.50
NORILSK    031028 300  232500-233000   00     110.29 1005.0    115.48     3.70     3.70
NORILSK    031028 300  233000-233500   00     109.37 1005.0    114.55     2.80     2.80
NORILSK    031028 300  233500-234000   00     111.23 1005.0    116.52     4.60     4.60
NORILSK    031028 300  234000-234500   00     108.10 1005.1    113.27     1.70     1.70
NORILSK    031028 300  234500-235000   00     108.84 1005.1    114.07     2.40     2.40
NORILSK    031028 300  235000-235500   00     110.02 1005.1    115.33     3.50     3.50
NORILSK    031028 300  235500-240000   00     109.93 1005.2    115.26     3.50     3.50
NORILSK    031029 300  000000-000500   00     111.04 1005.2    116.46     4.50     4.50
NORILSK    031029 300  000500-001000   00     109.00 1005.2    114.35     2.60     2.60
NORILSK    031029 300  001000-001500   00     108.81 1005.3    114.18     2.50     2.50
NORILSK    031029 300  001500-002000   00     110.06 1005.3    115.52     3.70     3.70
NORILSK    031029 300  002000-002500   00     109.31 1005.3    114.76     3.00     3.00
NORILSK    031029 300  002500-003000   00     110.34 1005.4    115.86     4.00     4.00
