APATITY  L LATITUDE    67.55     LONGITUDE     33.33     ALTITUDE    177 M
APATITY  L INSTRUMENT   18NM64    NEUTRON MONITOR	
APATITY  L STANDARD PRESSURE    1000    mB     COEFFICIENT   -0.74     % / mB
APATITY  L PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
APATITY  L PRE-INCREASE AVERAGE COUNTING RATE    162.19      COUNTS PER SECOND
APATITY  L TIME INTERVALS    300         3600     
APATITY  L SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mB)      C/S
APATITY  L 061213 300  094000-094500   00     215.34  974.2    166.44     2.60     2.60
APATITY  L 061213 300  094500-095000   00     214.72  974.3    165.99     2.30     2.30
APATITY  L 061213 300  095000-095500   00     216.12  974.3    167.08     3.00     3.00
APATITY  L 061213 300  095500-100000   00     214.64  974.3    165.92     2.30     2.30
APATITY  L 061213 300  100000-100500   00     213.82  974.2    165.21     1.90     1.90
APATITY  L 061213 300  100500-101000   00     214.66  974.3    165.95     2.30     2.30
APATITY  L 061213 300  101000-101500   00     215.54  974.2    166.52     2.70     2.70
APATITY  L 061213 300  101500-102000   00     216.02  974.2    166.92     2.90     2.90
APATITY  L 061213 300  102000-102500   00     213.68  974.2    165.13     1.80     1.80
APATITY  L 061213 300  102500-103000   00     213.22  974.3    164.88     1.70     1.70
APATITY  L 061213 300  103000-103500   00     212.92  974.3    164.72     1.60     1.60
APATITY  L 061213 300  103500-104000   00     214.72  974.3    166.06     2.40     2.40
APATITY  L 061213 300  104000-104500   00     213.42  974.3    164.98     1.70     1.70
APATITY  L 061213 300  104500-105000   00     215.46  974.3    166.60     2.70     2.70
APATITY  L 061213 300  105000-105500   00     215.14  974.3    166.34     2.60     2.60
APATITY  L 061213 300  105500-110000   00     213.64  974.3    165.17     1.80     1.80
APATITY  L 061213 300  110000-110500   00     214.28  974.2    165.61     2.10     2.10
APATITY  L 061213 300  110500-111000   00     215.88  974.3    166.93     2.90     2.90
APATITY  L 061213 300  111000-111500   00     215.12  974.3    166.36     2.60     2.60
APATITY  L 061213 300  111500-112000   00     215.60  974.3    166.74     2.80     2.80
APATITY  L 061213 300  112000-112500   00     214.20  974.2    165.57     2.10     2.10
APATITY  L 061213 300  112500-113000   00     215.78  974.3    166.81     2.80     2.80
APATITY  L 061213 300  113000-113500   00     213.26  974.3    164.95     1.70     1.70
APATITY  L 061213 300  113500-114000   00     213.70  974.4    165.40     2.00     2.00
APATITY  L 061213 300  114000-114500   00     212.92  974.4    164.79     1.60     1.60
APATITY  L 061213 300  114500-115000   00     211.28  974.4    163.55     0.80     0.80
APATITY  L 061213 300  115000-115500   00     213.18  974.3    164.91     1.70     1.70
APATITY  L 061213 300  115500-120000   00     213.58  974.3    165.26     1.90     1.90
APATITY  L 061213 300  120000-120500   00     210.90  974.4    163.29     0.70     0.70
APATITY  L 061213 300  120500-121000   00     215.08  974.5    166.60     2.70     2.70
APATITY  L 061213 300  121000-121500   00     213.88  974.5    165.70     2.20     2.20
APATITY  L 061213 300  121500-122000   00     213.10  974.5    165.05     1.80     1.80
APATITY  L 061213 300  122000-122500   00     212.02  974.4    164.19     1.20     1.20
APATITY  L 061213 300  122500-123000   00     214.58  974.5    166.24     2.50     2.50
APATITY  L 061213 300  123000-123500   00     212.24  974.5    164.43     1.40     1.40
APATITY  L 061213 300  123500-124000   00     213.22  974.5    165.22     1.90     1.90
APATITY  L 061213 300  124000-124500   00     211.94  974.5    164.26     1.30     1.30
APATITY  L 061213 300  124500-125000   00     213.00  974.6    165.16     1.80     1.80
APATITY  L 061213 300  125000-125500   00     212.94  974.6    165.16     1.80     1.80
APATITY  L 061213 300  125500-130000   00     212.52  974.6    164.82     1.60     1.60
APATITY  L 061213 300  130000-130500   00     212.58  974.6    164.84     1.60     1.60
APATITY  L 061213 300  130500-131000   00     210.76  974.6    163.50     0.80     0.80
APATITY  L 061213 300  131000-131500   00     210.52  974.6    163.35     0.70     0.70
APATITY  L 061213 300  131500-132000   00     212.44  974.6    164.76     1.60     1.60
APATITY  L 061213 300  132000-132500   00     210.66  974.5    163.31     0.70     0.70
APATITY  L 061213 300  132500-133000   00     212.64  974.5    164.77     1.60     1.60
APATITY  L 061213 300  133000-133500   00     211.12  974.4    163.48     0.80     0.80
APATITY  L 061213 300  133500-134000   00     211.48  974.5    163.85     1.00     1.00
APATITY  L 061213 300  134000-134500   00     211.30  974.5    163.82     1.00     1.00
APATITY  L 061213 300  134500-135000   00     212.34  974.6    164.65     1.50     1.50
APATITY  L 061213 300  135000-135500   00     212.76  974.6    165.03     1.80     1.80
APATITY  L 061213 300  135500-140000   00     209.58  974.7    162.68     0.30     0.30
APATITY  L 061213 300  140000-140500   00     211.32  974.7    164.01     1.10     1.10
