MEXICOCITY LATITUDE    19.33     LONGITUDE     260.82    ALTITUDE    2274 M
MEXICOCITY INSTRUMENT   IGY     NEUTRON MONITOR
MEXICOCITY STANDARD PRESSURE    779     MB     COEFFICIENT   -0.7125   % / MB
MEXICOCITY PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
MEXICOCITY PRE-INCREASE AVERAGE COUNTING RATE    196.83      COUNTS PER SECOND
MEXICOCITY TIME INTERVALS    300         3600     
MEXICOCITY SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
MEXICOCITY 000714 300  195000-195500   00     196.37  776.6    193.50    -1.70    -9999
MEXICOCITY 000714 300  195500-200000   00     196.93  776.5    193.90    -1.50    -9999
MEXICOCITY 000714 300  200000-200500   00     198.03  776.5    195.00    -0.90    -9999
MEXICOCITY 000714 300  200500-201000   00     197.43  776.4    194.27    -1.30    -9999
MEXICOCITY 000714 300  201000-201500   00     198.27  776.4    195.10    -0.90    -9999
MEXICOCITY 000714 300  201500-202000   00     197.60  776.3    194.30    -1.30    -9999
MEXICOCITY 000714 300  202000-202500   00     200.43  776.2    196.93     0.10    -9999
MEXICOCITY 000714 300  202500-203000   00     200.47  776.2    196.97     0.10    -9999
MEXICOCITY 000714 300  203000-203500   00     198.57  776.1    194.97    -0.90    -9999
MEXICOCITY 000714 300  203500-204000   00     196.97  776.0    193.27    -1.80    -9999
MEXICOCITY 000714 300  204000-204500   00     197.17  776.0    193.47    -1.70    -9999
MEXICOCITY 000714 300  204500-205000   00     200.67  776.0    196.90     0.00    -9999
MEXICOCITY 000714 300  205000-205500   00     198.40  775.9    194.53    -1.20    -9999
MEXICOCITY 000714 300  205500-210000   00     198.50  775.9    194.63    -1.10    -9999
MEXICOCITY 000714 300  210000-210500   00     200.40  775.8    196.33    -0.30    -9999
MEXICOCITY 000714 300  210500-211000   00     199.50  775.7    195.33    -0.80    -9999
MEXICOCITY 000714 300  211000-211500   00     199.03  775.7    194.87    -1.00    -9999
MEXICOCITY 000714 300  211500-212000   00     199.07  775.6    194.77    -1.00    -9999
MEXICOCITY 000714 300  212000-212500   00     199.60  775.6    195.30    -0.80    -9999
MEXICOCITY 000714 300  212500-213000   00     197.30  775.5    192.90    -2.00    -9999
MEXICOCITY 000714 300  213000-213500   00     199.40  775.5    194.97    -0.90    -9999
MEXICOCITY 000714 300  213500-214000   00     196.97  775.4    192.43    -2.20    -9999
MEXICOCITY 000714 300  214000-214500   00     200.10  775.4    195.50    -0.70    -9999
MEXICOCITY 000714 300  214500-215000   00     199.10  775.3    194.37    -1.20    -9999
MEXICOCITY 000714 300  215000-215500   00     197.53  775.2    192.70    -2.10    -9999
MEXICOCITY 000714 300  215500-220000   00     201.30  775.2    196.40    -0.20    -9999
MEXICOCITY 000714 300  220000-220500   00     199.03  775.1    194.03    -1.40    -9999
MEXICOCITY 000714 300  220500-221000   00     198.50  775.1    193.53    -1.70    -9999
MEXICOCITY 000714 300  221000-221500   00     199.90  775.0    194.73    -1.10    -9999
MEXICOCITY 000714 300  221500-222000   00     197.47  774.9    192.23    -2.30    -9999
MEXICOCITY 000714 300  222000-222500   00     201.10  774.9    195.77    -0.50    -9999
MEXICOCITY 000714 300  222500-223000   00     199.13  774.9    193.87    -1.50    -9999
MEXICOCITY 000714 300  223000-223500   00     199.10  774.8    193.70    -1.60    -9999
MEXICOCITY 000714 300  223500-224000   00     200.80  774.8    195.33    -0.80    -9999
MEXICOCITY 000714 300  224000-224500   00     197.63  774.7    192.13    -2.40    -9999
MEXICOCITY 000714 300  224500-225000   00     198.27  774.7    192.73    -2.10    -9999
MEXICOCITY 000714 300  225000-225500   00     201.90  774.7    196.27    -0.30    -9999
MEXICOCITY 000714 300  225500-230000   00     201.23  774.6    195.50    -0.70    -9999
MEXICOCITY 000714 300  230000-230500   00     199.87  774.5    194.03    -1.40    -9999
MEXICOCITY 000714 300  230500-231000   00     197.07  774.5    191.30    -2.80    -9999
MEXICOCITY 000714 300  231000-231500   00     201.03  774.5    195.17    -0.80    -9999
MEXICOCITY 000714 300  231500-232000   00     198.53  774.6    192.87    -2.00    -9999
MEXICOCITY 000714 300  232000-232500   00     197.90  774.5    192.10    -2.40    -9999
MEXICOCITY 000714 300  232500-233000   00     199.00  774.6    193.30    -1.80    -9999
MEXICOCITY 000714 300  233000-233500   00     200.77  774.5    194.90    -1.00    -9999
MEXICOCITY 000714 300  233500-234000   00     196.33  774.6    190.73    -3.10    -9999
MEXICOCITY 000714 300  234000-234500   00     201.63  774.6    195.87    -0.50    -9999
MEXICOCITY 000714 300  234500-235000   00     199.40  774.6    193.70    -1.60    -9999
MEXICOCITY 000714 300  235000-235500   00     199.23  774.7    193.67    -1.60    -9999
MEXICOCITY 000714 300  235500-240000   00     198.73  774.7    193.20    -1.80    -9999
MEXICOCITY 000715 3600 000000-010000   00     200.03  774.8    194.58    -1.10    -9999
MEXICOCITY 000715 3600 010000-020000   00     199.44  775.4    194.91    -1.00    -9999
MEXICOCITY 000715 3600 020000-030000   00     198.40  776.2    194.97    -0.90    -9999
MEXICOCITY 000715 3600 030000-040000   00     198.27  776.9    195.77    -0.50    -9999
MEXICOCITY 000715 3600 040000-050000   00     198.14  777.3    196.24    -0.30    -9999
MEXICOCITY 000715 3600 050000-060000   00     198.27  777.5    196.61    -0.10    -9999
MEXICOCITY 000715 3600 060000-070000   00     198.91  777.4    197.17     0.20    -9999
MEXICOCITY 000715 3600 070000-080000   00     198.94  777.1    196.75     0.00    -9999
MEXICOCITY 000715 3600 080000-090000   00     199.84  776.8    197.21     0.20    -9999
MEXICOCITY 000715 3600 090000-100000   00     200.95  776.5    197.91     0.50    -9999
MEXICOCITY 000715 3600 100000-110000   00     201.23  776.7    198.41     0.80    -9999
MEXICOCITY 000715 3600 110000-120000   00     200.69  776.8    198.08     0.60    -9999
MEXICOCITY 000715 3600 120000-130000   00     199.89  777.0    197.48     0.30    -9999
MEXICOCITY 000715 3600 130000-140000   00     200.32  777.3    198.37     0.80    -9999
MEXICOCITY 000715 3600 140000-150000   00     199.48  777.4    197.69     0.40    -9999
MEXICOCITY 000715 3600 150000-160000   00     197.42  777.2    195.33    -0.80    -9999
MEXICOCITY 000715 3600 160000-170000   00     199.16  776.8    196.48    -0.20    -9999
MEXICOCITY 000715 3600 170000-180000   00     197.96  776.4    194.80    -1.00    -9999
MEXICOCITY 000715 3600 180000-190000   00     197.28  775.8    193.34    -1.80    -9999
MEXICOCITY 000715 3600 190000-200000   00     197.43  775.1    192.51    -2.20    -9999
MEXICOCITY 000715 3600 200000-210000   00     198.53  774.4    192.59    -2.20    -9999
MEXICOCITY 000715 3600 210000-220000   00     198.00  773.7    191.14    -2.90    -9999
MEXICOCITY 000715 3600 220000-230000   00     196.70  773.1    189.09    -3.90    -9999
MEXICOCITY 000715 3600 230000-240000   00     193.82  773.1    186.31    -5.30    -9999
*
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2022-05-13 14:50:50 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE59/C059MXCO.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
