ROME       LATITUDE    41.86     LONGITUDE     12.47     ALTITUDE    0 M
ROME       INSTRUMENT   17-NM-64  NEUTRON MONITOR
ROME       STANDARD PRESSURE    1009.25 MB     COEFFICIENT   -0.698    % / MB
ROME       PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
ROME       PRE-INCREASE AVERAGE COUNTING RATE    150.78      COUNTS PER SECOND
ROME       TIME INTERVALS    300         3600     
ROME       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
ROME       061213 300  145500-150000   10     134.32 1025.5    150.47    -0.20    -9999
ROME       061213 300  150000-150500   10     135.75 1025.5    152.04     0.80    -9999
ROME       061213 300  150500-151000   10     134.58 1025.5    150.77     0.00    -9999
ROME       061213 300  151000-151500   10     135.63 1025.5    151.95     0.80    -9999
ROME       061213 300  151500-152000   10     136.40 1025.5    152.82     1.40    -9999
ROME       061213 300  152000-152500   10     134.28 1025.5    150.42    -0.20    -9999
ROME       061213 300  152500-153000   10     134.45 1025.5    150.61    -0.10    -9999
ROME       061213 300  153000-153500   10     135.47 1025.6    151.80     0.70    -9999
ROME       061213 300  153500-154000   10     134.71 1025.6    150.93     0.10    -9999
ROME       061213 300  154000-154500   10     135.28 1025.6    151.60     0.50    -9999
ROME       061213 300  154500-155000   10     134.78 1025.7    151.13     0.20    -9999
ROME       061213 300  155000-155500   10     135.72 1025.8    152.30     1.00    -9999
ROME       061213 300  155500-160000   10     135.70 1025.8    152.33     1.00    -9999
ROME       061213 300  160000-160500   10     134.87 1025.9    151.45     0.40    -9999
ROME       061213 300  160500-161000   10     136.19 1025.9    152.93     1.40    -9999
ROME       061213 300  161000-161500   10     134.70 1025.8    151.22     0.30    -9999
ROME       061213 300  161500-162000   10     135.31 1025.8    151.86     0.70    -9999
ROME       061213 300  162000-162500   10     135.00 1025.8    151.54     0.50    -9999
ROME       061213 300  162500-163000   10     135.34 1025.9    151.97     0.80    -9999
ROME       061213 300  163000-163500   10     135.65 1025.9    152.36     1.10    -9999
ROME       061213 300  163500-164000   10     134.83 1025.9    151.42     0.40    -9999
ROME       061213 300  164000-164500   10     135.56 1025.9    152.24     1.00    -9999
ROME       061213 300  164500-165000   10     134.62 1026.0    151.27     0.30    -9999
ROME       061213 300  165000-165500   10     135.02 1026.1    151.83     0.70    -9999
ROME       061213 300  165500-170000   10     134.74 1026.2    151.61     0.60    -9999
ROME       061213 300  170000-170500   10     133.87 1026.2    150.67    -0.10    -9999
ROME       061213 300  170500-171000   10     134.48 1026.2    151.37     0.40    -9999
ROME       061213 300  171000-171500   10     134.78 1026.3    151.77     0.70    -9999
ROME       061213 300  171500-172000   10     134.96 1026.4    152.08     0.90    -9999
ROME       061213 300  172000-172500   10     134.57 1026.4    151.71     0.60    -9999
ROME       061213 300  172500-173000   10     134.41 1026.5    151.54     0.50    -9999
ROME       061213 300  173000-173500   10     134.48 1026.5    151.71     0.60    -9999
ROME       061213 300  173500-174000   10     135.03 1026.7    152.46     1.10    -9999
ROME       061213 300  174000-174500   10     135.30 1026.8    152.88     1.40    -9999
ROME       061213 300  174500-175000   10     134.01 1026.8    151.51     0.50    -9999
ROME       061213 300  175000-175500   10     132.85 1026.8    150.21    -0.40    -9999
ROME       061213 300  175500-180000   10     135.04 1026.8    152.67     1.30    -9999
ROME       061213 300  180000-180500   10     132.57 1026.9    149.89    -0.60    -9999
ROME       061213 300  180500-181000   10     132.78 1026.9    150.14    -0.40    -9999
ROME       061213 300  181000-181500   10     134.25 1026.8    151.72     0.60    -9999
ROME       061213 300  181500-182000   10     132.23 1026.8    149.44    -0.90    -9999
ROME       061213 300  182000-182500   10     134.32 1026.8    151.78     0.70    -9999
ROME       061213 300  182500-183000   10     134.10 1026.8    151.58     0.50    -9999
ROME       061213 300  183000-183500   10     135.31 1026.9    153.00     1.50    -9999
ROME       061213 300  183500-184000   10     133.06 1026.9    150.45    -0.20    -9999
ROME       061213 300  184000-184500   10     134.05 1026.9    151.61     0.60    -9999
ROME       061213 300  184500-185000   10     134.38 1026.9    152.01     0.80    -9999
ROME       061213 300  185000-185500   10     133.88 1027.0    151.48     0.50    -9999
ROME       061213 300  185500-190000   10     133.46 1026.9    151.00     0.10    -9999
ROME       061213 300  190000-190500   10     134.15 1027.0    151.80     0.70    -9999
ROME       061213 300  190500-191000   10     133.99 1027.1    151.72     0.60    -9999
ROME       061213 300  191000-191500   10     133.08 1027.1    150.71     0.00    -9999
ROME       061213 300  191500-192000   10     131.14 1027.2    148.59    -1.50    -9999
ROME       061213 300  192000-192500   10     133.12 1027.2    150.91     0.10    -9999
ROME       061213 300  192500-193000   10     132.74 1027.3    150.55    -0.20    -9999
ROME       061213 300  193000-193500   10     132.80 1027.4    150.70    -0.10    -9999
ROME       061213 300  193500-194000   10     131.25 1027.4    148.97    -1.20    -9999
ROME       061213 300  194000-194500   10     131.24 1027.4    148.95    -1.20    -9999
ROME       061213 300  194500-195000   10     131.99 1027.4    149.83    -0.60    -9999
ROME       061213 300  195000-195500   10     131.68 1027.4    149.47    -0.90    -9999
ROME       061213 300  195500-200000   10     133.05 1027.4    151.02     0.20    -9999
ROME       061213 300  200000-200500   10     132.12 1027.5    150.01    -0.50    -9999
ROME       061213 300  200500-201000   10     133.69 1027.5    151.78     0.70    -9999
ROME       061213 300  201000-201500   10     132.45 1027.4    150.34    -0.30    -9999
ROME       061213 300  201500-202000   10     133.71 1027.4    151.75     0.60    -9999
ROME       061213 300  202000-202500   10     132.59 1027.4    150.44    -0.20    -9999
ROME       061213 300  202500-203000   10     132.12 1027.3    149.82    -0.60    -9999
ROME       061213 300  203000-203500   10     134.25 1027.3    152.27     1.00    -9999
ROME       061213 300  203500-204000   10     132.90 1027.4    150.80     0.00    -9999
ROME       061213 300  204000-204500   10     133.50 1027.5    151.59     0.50    -9999
ROME       061213 300  204500-205000   10     132.39 1027.5    150.39    -0.30    -9999
ROME       061213 300  205000-205500   10     132.68 1027.5    150.74     0.00    -9999
ROME       061213 300  205500-210000   10     132.94 1027.5    151.03     0.20    -9999
ROME       061213 300  210000-210500   10     132.67 1027.6    150.75     0.00    -9999
ROME       061213 300  210500-211000   10     134.15 1027.5    152.36     1.10    -9999
ROME       061213 300  211000-212100   10     132.48 1027.5    150.42    -0.20    -9999
ROME       061213 300  212000-212500   10     131.32 1027.4    149.08    -1.10    -9999
ROME       061213 300  212100-212000   10     132.57 1027.5    150.54    -0.20    -9999
ROME       061213 300  212500-213000   10     134.28 1027.5    152.48     1.10    -9999
ROME       061213 300  213000-213500   10     131.92 1027.5    149.86    -0.60    -9999
ROME       061213 300  213500-214000   10     132.36 1027.5    150.32    -0.30    -9999
ROME       061213 300  214000-214500   10     131.74 1027.5    149.63    -0.80    -9999
ROME       061213 300  214500-215000   10     133.03 1027.6    151.19     0.30    -9999
ROME       061213 300  215000-215500   10     131.88 1027.6    149.83    -0.60    -9999
ROME       061213 300  215500-220000   10     132.74 1027.5    150.80     0.00    -9999
ROME       061213 300  220000-220500   10     131.63 1027.6    149.60    -0.80    -9999
ROME       061213 300  220500-221000   10     133.65 1027.6    151.93     0.80    -9999
ROME       061213 300  221000-221500   10     132.06 1027.7    150.17    -0.40    -9999
ROME       061213 300  221500-222000   10     132.77 1027.7    151.02     0.20    -9999
ROME       061213 300  222000-222500   10     132.36 1027.7    150.54    -0.20    -9999
ROME       061213 300  222500-223000   10     133.34 1027.8    151.80     0.70    -9999
ROME       061213 300  223000-223500   10     132.63 1027.9    151.02     0.20    -9999
ROME       061213 300  223500-224000   10     133.27 1027.9    151.78     0.70    -9999
ROME       061213 300  224000-224500   10     132.94 1028.0    151.47     0.50    -9999
ROME       061213 300  224500-225000   10     131.66 1027.9    149.99    -0.50    -9999
ROME       061213 300  225000-225500   10     133.16 1027.9    151.71     0.60    -9999
ROME       061213 300  225500-230000   10     131.76 1028.0    150.15    -0.40    -9999
ROME       061213 300  230000-230500   10     132.64 1028.0    151.15     0.20    -9999
ROME       061213 300  230500-231000   10     132.57 1028.0    151.13     0.20    -9999
ROME       061213 300  231000-231500   10     133.92 1028.1    152.69     1.30    -9999
ROME       061213 300  231500-232000   10     132.60 1028.1    151.22     0.30    -9999
ROME       061213 300  232000-232500   10     133.29 1028.1    151.98     0.80    -9999
ROME       061213 300  232500-233000   10     131.33 1028.1    149.76    -0.70    -9999
ROME       061213 300  233000-233500   10     132.65 1028.1    151.31     0.40    -9999
ROME       061213 300  233500-234000   10     129.92 1028.1    148.20    -1.70    -9999
ROME       061213 300  234000-234500   10     133.37 1028.2    152.19     0.90    -9999
ROME       061213 300  234500-235000   10     132.86 1028.2    151.64     0.60    -9999
ROME       061213 300  235000-235500   10     130.98 1028.2    149.53    -0.80    -9999
ROME       061213 300  235500-240000   10     133.66 1028.3    152.61     1.20    -9999
*
COMMENT    ALERT FROM M. STORINI (HEAD IFSI-R.U.: SVIRCO OBSERVATORY & TPL)
COMMENT    PROMPT DATA PREPARED BY F. SIGNORETTI: 18-12-2006
COMMENT    DATA VERIFIED BY M. STORINI: 20-12-2006
COMMENT    FROM JANUARY 1, 2005 THE DETECTOR WAS UPGRADED TO 20 COUNTERS
COMMENT    GPS TIMER IN USE
COMMENT    TO ACKNOWLEDGE:IFSI-INAF/UNIRomaTre COLLABORATION FOR SVIRCO
COMMENT    CITATION: F. Signoretti, F. Re, M. Storini, 
COMMENT    SVIRCO Prompt Report: December 2006, Report INAF/IFSI-2007-1
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2023-02-24 11:29:29 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE70/C070ROME.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
