MEXICOCITY LATITUDE    19.33     LONGITUDE     260.82    ALTITUDE    2274 M
MEXICOCITY INSTRUMENT   6-NM-64  NEUTRON MONITOR
MEXICOCITY STANDARD PRESSURE    779     MB     COEFFICIENT   -0.7125   % / MB
MEXICOCITY PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
MEXICOCITY PRE-INCREASE AVERAGE COUNTING RATE    203.78      COUNTS PER SECOND
MEXICOCITY TIME INTERVALS    300         3600     
MEXICOCITY SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
MEXICOCITY 010415 300  145000-145500   00     208.07  774.7    202.27    -0.70    -9999
MEXICOCITY 010415 300  145500-150000   00     208.90  774.7    203.07    -0.30    -9999
MEXICOCITY 010415 300  150000-150500   00     209.50  774.8    203.80     0.00    -9999
MEXICOCITY 010415 300  150500-151000   00     211.77  774.8    206.00     1.10    -9999
MEXICOCITY 010415 300  151000-151500   00     209.83  774.8    204.13     0.20    -9999
MEXICOCITY 010415 300  151500-152000   00     210.80  774.8    205.07     0.60    -9999
MEXICOCITY 010415 300  152000-152500   00     210.50  774.7    204.63     0.40    -9999
MEXICOCITY 010415 300  152500-153000   00     209.30  774.7    203.47    -0.20    -9999
MEXICOCITY 010415 300  153000-153500   00     209.37  774.8    203.67    -0.10    -9999
MEXICOCITY 010415 300  153500-154000   00     208.67  774.8    203.00    -0.40    -9999
MEXICOCITY 010415 300  154000-154500   00     211.20  774.7    205.30     0.70    -9999
MEXICOCITY 010415 300  154500-155000   00     209.97  774.7    204.10     0.20    -9999
MEXICOCITY 010415 300  155000-155500   00     211.20  774.6    205.17     0.70    -9999
MEXICOCITY 010415 300  155500-160000   00     212.03  774.6    205.97     1.10    -9999
MEXICOCITY 010415 300  160000-160500   00     213.63  774.6    207.53     1.80    -9999
MEXICOCITY 010415 300  160500-161000   00     213.27  774.6    207.17     1.70    -9999
MEXICOCITY 010415 300  161000-161500   00     208.90  774.6    202.93    -0.40    -9999
MEXICOCITY 010415 300  161500-162000   00     208.97  774.6    203.00    -0.40    -9999
MEXICOCITY 010415 300  162000-162500   00     210.57  774.5    204.40     0.30    -9999
MEXICOCITY 010415 300  162500-163000   00     209.07  774.5    202.97    -0.40    -9999
MEXICOCITY 010415 300  163000-163500   00     209.80  774.4    203.53    -0.10    -9999
MEXICOCITY 010415 300  163500-164000   00     213.30  774.4    206.90     1.50    -9999
MEXICOCITY 010415 300  164000-164500   00     211.03  774.3    204.57     0.40    -9999
MEXICOCITY 010415 300  164500-165000   00     210.93  774.3    204.47     0.30    -9999
MEXICOCITY 010415 300  165000-165500   00     209.43  774.2    202.87    -0.40    -9999
MEXICOCITY 010415 300  165500-170000   00     213.23  774.2    206.57     1.40    -9999
MEXICOCITY 010415 300  170000-170500   00     210.77  774.2    204.17     0.20    -9999
MEXICOCITY 010415 300  170500-171000   00     212.53  774.2    205.87     1.00    -9999
MEXICOCITY 010415 300  171000-171500   00     210.27  774.2    203.67    -0.10    -9999
MEXICOCITY 010415 300  171500-172000   00     211.20  774.1    204.43     0.30    -9999
MEXICOCITY 010415 300  172000-172500   00     211.70  774.1    204.93     0.60    -9999
MEXICOCITY 010415 300  172500-173000   00     210.10  774.1    203.37    -0.20    -9999
MEXICOCITY 010415 300  173000-173500   00     211.03  774.0    204.13     0.20    -9999
