IRKUTSK    LATITUDE    52.47     LONGITUDE     104.03    ALTITUDE    433 M
IRKUTSK    INSTRUMENT   IGY     NEUTRON MONITOR
IRKUTSK    STANDARD PRESSURE    948.3   MB     COEFFICIENT   -0.71     % / MB
IRKUTSK    PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
IRKUTSK    PRE-INCREASE AVERAGE COUNTING RATE    188.20      COUNTS PER SECOND
IRKUTSK    TIME INTERVALS    300         3600     
IRKUTSK    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
IRKUTSK    000714 300  162500-163000   00     188.64  948.9    189.46     0.70    -9999
IRKUTSK    000714 300  163000-163500   00     188.97  948.9    189.77     0.80    -9999
IRKUTSK    000714 300  163500-164000   00     189.94  948.9    190.74     1.40    -9999
IRKUTSK    000714 300  164000-164500   00     189.16  948.9    189.95     0.90    -9999
IRKUTSK    000714 300  164500-165000   00     188.42  948.9    189.20     0.50    -9999
IRKUTSK    000714 300  165000-165500   00     188.52  948.9    189.30     0.60    -9999
IRKUTSK    000714 300  165500-170000   00     188.46  948.9    189.24     0.60    -9999
IRKUTSK    000714 300  170000-170500   00     187.83  948.9    188.64     0.20    -9999
IRKUTSK    000714 300  170500-171000   00     188.74  948.9    189.55     0.70    -9999
IRKUTSK    000714 300  171000-171500   00     189.82  948.9    190.63     1.30    -9999
IRKUTSK    000714 300  171500-172000   00     185.99  948.9    186.79    -0.70    -9999
IRKUTSK    000714 300  172000-172500   00     187.36  948.9    188.16     0.00    -9999
IRKUTSK    000714 300  172500-173000   00     188.06  948.9    188.86     0.40    -9999
IRKUTSK    000714 300  173000-173500   00     187.57  948.9    188.37     0.10    -9999
IRKUTSK    000714 300  173500-174000   00     189.67  948.9    190.48     1.20    -9999
IRKUTSK    000714 300  174000-174500   00     189.27  948.9    190.08     1.00    -9999
IRKUTSK    000714 300  174500-175000   00     187.45  948.9    188.26     0.00    -9999
IRKUTSK    000714 300  175000-175500   00     187.80  948.9    188.60     0.20    -9999
IRKUTSK    000714 300  175500-180000   00     186.33  948.9    187.13    -0.60    -9999
IRKUTSK    000714 300  180000-180500   00     189.15  948.9    189.96     0.90    -9999
IRKUTSK    000714 300  180500-181000   00     187.03  948.9    187.83    -0.20    -9999
IRKUTSK    000714 300  181000-181500   00     187.53  948.9    188.33     0.10    -9999
IRKUTSK    000714 300  181500-182000   00     187.37  948.9    188.17     0.00    -9999
IRKUTSK    000714 300  182000-182500   00     187.56  948.9    188.36     0.10    -9999
IRKUTSK    000714 300  182500-183000   00     185.77  948.9    186.57    -0.90    -9999
IRKUTSK    000714 300  183000-183500   00     188.45  948.9    189.26     0.60    -9999
IRKUTSK    000714 300  183500-184000   00     187.03  948.9    187.83    -0.20    -9999
IRKUTSK    000714 300  184000-184500   00     189.82  948.9    190.63     1.30    -9999
IRKUTSK    000714 300  184500-185000   00     189.01  948.9    189.82     0.90    -9999
IRKUTSK    000714 300  185000-185500   00     189.82  948.9    190.63     1.30    -9999
IRKUTSK    000714 300  185500-190000   00     189.06  948.9    189.87     0.90    -9999
IRKUTSK    000714 300  190000-190500   00     189.89  948.9    190.71     1.30    -9999
IRKUTSK    000714 300  190500-191000   00     187.94  948.9    188.75     0.30    -9999
IRKUTSK    000714 300  191000-191500   00     188.33  948.9    189.14     0.50    -9999
IRKUTSK    000714 300  191500-192000   00     188.14  948.9    188.95     0.40    -9999
IRKUTSK    000714 300  192000-192500   00     187.61  948.9    188.41     0.10    -9999
IRKUTSK    000714 300  192500-193000   00     188.56  948.9    189.37     0.60    -9999
IRKUTSK    000714 300  193000-193500   00     188.05  948.9    188.86     0.30    -9999
IRKUTSK    000714 300  193500-194000   00     189.67  948.9    190.48     1.20    -9999
IRKUTSK    000714 300  194000-194500   00     187.03  948.9    187.83    -0.20    -9999
IRKUTSK    000714 300  194500-195000   00     187.90  948.9    188.71     0.30    -9999
IRKUTSK    000714 300  195000-195500   00     187.00  948.9    187.81    -0.20    -9999
IRKUTSK    000714 300  195500-200000   00     187.43  948.9    188.23     0.00    -9999
IRKUTSK    000714 300  200000-200500   00     188.05  948.9    188.89     0.40    -9999
IRKUTSK    000714 300  200500-201000   00     188.04  948.9    188.87     0.40    -9999
IRKUTSK    000714 300  201000-201500   00     188.05  948.9    188.88     0.40    -9999
IRKUTSK    000714 300  201500-202000   00     186.58  948.9    187.40    -0.40    -9999
IRKUTSK    000714 300  202000-202500   00     187.92  948.9    188.74     0.30    -9999
IRKUTSK    000714 300  202500-203000   00     187.42  948.9    188.23     0.00    -9999
IRKUTSK    000714 300  203000-203500   00     188.24  948.9    189.04     0.40    -9999
IRKUTSK    000714 300  203500-204000   00     188.28  948.9    189.07     0.50    -9999
IRKUTSK    000714 300  204000-204500   00     187.59  948.9    188.36     0.10    -9999
IRKUTSK    000714 300  204500-205000   00     186.63  948.9    187.38    -0.40    -9999
IRKUTSK    000714 300  205000-205500   00     188.62  948.8    189.36     0.60    -9999
IRKUTSK    000714 300  205500-210000   00     186.41  948.8    187.12    -0.60    -9999
