TERREADELI LATITUDE    -66.65    LONGITUDE     140       ALTITUDE    32 M
TERREADELI INSTRUMENT   9-NM-64  NEUTRON MONITOR	
TERREADELI STANDARD PRESSURE    987     mb     COEFFICIENT   -0.7425   % / mb
TERREADELI PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
TERREADELI PRE-INCREASE AVERAGE COUNTING RATE    116.32      COUNTS PER SECOND
TERREADELI TIME INTERVALS    300         3600     
TERREADELI SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
TERREADELI 120517 300  123500-124000   00     116.73  984.1    114.63    -1.50    -9999
TERREADELI 120517 300  124000-124500   00     118.53  984.0    116.33     0.00    -9999
TERREADELI 120517 300  124500-125000   00     119.73  984.0    117.46     1.00    -9999
TERREADELI 120517 300  125000-125500   00     117.07  984.0    114.82    -1.30    -9999
TERREADELI 120517 300  125500-130000   00     117.87  984.0    115.60    -0.60    -9999
TERREADELI 120517 300  130000-130500   00     117.93  983.9    115.60    -0.60    -9999
TERREADELI 120517 300  130500-131000   00     119.33  983.9    116.95     0.50    -9999
TERREADELI 120517 300  131000-131500   00     118.40  983.7    115.92    -0.30    -9999
TERREADELI 120517 300  131500-132000   00     119.67  983.6    117.09     0.70    -9999
TERREADELI 120517 300  132000-132500   00     117.67  983.6    115.09    -1.10    -9999
TERREADELI 120517 300  132500-133000   00     118.60  983.7    116.11    -0.20    -9999
TERREADELI 120517 300  133000-133500   00     118.00  983.8    115.55    -0.70    -9999
TERREADELI 120517 300  133500-134000   00     117.73  983.7    115.24    -0.90    -9999
TERREADELI 120517 300  134000-134500   00     117.33  983.6    114.76    -1.30    -9999
TERREADELI 120517 300  134500-135000   00     118.60  983.4    115.86    -0.40    -9999
TERREADELI 120517 300  135000-135500   00     117.73  983.5    115.08    -1.10    -9999
TERREADELI 120517 300  135500-140000   00     118.53  983.5    115.84    -0.40    -9999
TERREADELI 120517 300  140000-140500   00     118.33  983.3    115.46    -0.70    -9999
TERREADELI 120517 300  140500-141000   00     118.27  983.1    115.22    -0.90    -9999
TERREADELI 120517 300  141000-141500   00     119.47  983.0    116.34     0.00    -9999
TERREADELI 120517 300  141500-142000   00     119.93  982.9    116.73     0.40    -9999
TERREADELI 120517 300  142000-142500   00     119.67  982.9    116.42     0.10    -9999
TERREADELI 120517 300  142500-143000   00     119.20  982.8    115.87    -0.40    -9999
TERREADELI 120517 300  143000-143500   00     118.40  982.6    114.98    -1.20    -9999
TERREADELI 120517 300  143500-144000   00     119.00  982.5    115.45    -0.70    -9999
TERREADELI 120517 300  144000-144500   00     120.07  982.4    116.39     0.10    -9999
TERREADELI 120517 300  144500-145000   00     119.33  982.4    115.66    -0.60    -9999
TERREADELI 120517 300  145000-145500   00     121.40  982.3    117.59     1.10    -9999
TERREADELI 120517 300  145500-150000   00     120.67  982.0    116.67     0.30    -9999
TERREADELI 120517 300  150000-150500   00     119.27  982.0    115.27    -0.90    -9999
