THULE      LATITUDE    76.6      LONGITUDE     -68.8     ALTITUDE    260 M
THULE      INSTRUMENT   9NM64    NEUTRON MONITOR     	
THULE      STANDARD PRESSURE    1013.6  mb     COEFFICIENT   -0.74     % / mb
THULE      PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
THULE      PRE-INCREASE AVERAGE COUNTING RATE     98.85      COUNTS PER SECOND
THULE      TIME INTERVALS    300         3600     
THULE      SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
THULE      010416 3600 080000-090000   00     100.28 1015.6    101.78     3.00    -9999
THULE      010416 3600 090000-100000   00     100.11 1015.6    101.61     2.80    -9999
THULE      010416 3600 100000-110000   00      99.86 1015.6    101.36     2.50    -9999
THULE      010416 3600 110000-120000   00     100.47 1015.3    101.77     3.00    -9999
THULE      010416 3600 120000-130000   00     100.53 1015.2    101.73     2.90    -9999
THULE      010416 3600 130000-140000   00     101.03 1014.9    102.03     3.20    -9999
THULE      010416 3600 140000-150000   00     100.81 1014.5    101.51     2.70    -9999
THULE      010416 3600 150000-160000   00     101.42 1014.3    101.92     3.10    -9999
THULE      010416 3600 160000-170000   00     101.61 1014.0    101.91     3.10    -9999
THULE      010416 3600 170000-180000   00     101.89 1013.6    101.89     3.10    -9999
THULE      010416 3600 180000-190000   00     102.00 1013.3    101.80     3.00    -9999
THULE      010416 3600 190000-200000   00     102.03 1012.9    101.52     2.70    -9999
THULE      010416 3600 200000-210000   00     102.47 1012.7    101.76     2.90    -9999
THULE      010416 3600 210000-220000   00     102.81 1012.5    101.99     3.20    -9999
THULE      010416 3600 220000-230000   00     103.42 1012.0    102.20     3.40    -9999
THULE      010416 3600 230000-240000   00     103.72 1011.6    102.19     3.40    -9999
*
*	
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2023-04-05 10:02:56 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE60/C060THUL_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
