ALMA-ATA-B LATITUDE    43.14     LONGITUDE     76.6      ALTITUDE    3340 M
ALMA-ATA-B INSTRUMENT   18NM64    NEUTRON MONITOR     
ALMA-ATA-B STANDARD PRESSURE    675     mb     COEFFICIENT   -0.72     % / mb
ALMA-ATA-B PRE-INCREASE BASELINE TIME INTERVAL    211028    130000-150000   UT
ALMA-ATA-B PRE-INCREASE AVERAGE COUNTING RATE  1,388.62      COUNTS PER SECOND
ALMA-ATA-B TIME INTERVALS    300         3600     
ALMA-ATA-B SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
ALMA-ATA-B 211028 300  175500-180000   00    1283.02  681.0   1379.52    -0.66    -9999
ALMA-ATA-B 211028 300  180000-180500   00    1283.88  681.0   1379.66    -0.65    -9999
ALMA-ATA-B 211028 300  180500-181000   00    1286.54  680.9   1382.12    -0.47    -9999
ALMA-ATA-B 211028 300  181000-181500   00    1291.22  680.9   1386.78    -0.13    -9999
ALMA-ATA-B 211028 300  181500-182000   00    1295.96  680.8   1391.50     0.21    -9999
ALMA-ATA-B 211028 300  182000-182500   00    1278.92  680.8   1372.76    -1.14    -9999
ALMA-ATA-B 211028 300  182500-183000   00    1290.94  680.8   1385.56    -0.22    -9999
ALMA-ATA-B 211028 300  183000-183500   00    1296.60  680.8   1391.54     0.21    -9999
ALMA-ATA-B 211028 300  183500-184000   00    1280.15  680.8   1373.60    -1.08    -9999
ALMA-ATA-B 211028 300  184000-184500   00    1288.98  680.7   1382.74    -0.42    -9999
ALMA-ATA-B 211028 300  184500-185000   00    1294.48  680.7   1388.28    -0.02    -9999
ALMA-ATA-B 211028 300  185000-185500   00    1290.26  680.7   1383.38    -0.38    -9999
ALMA-ATA-B 211028 300  185500-190000   00    1291.10  680.6   1384.12    -0.32    -9999
ALMA-ATA-B 211028 300  190000-190500   00    1296.62  680.7   1390.24     0.12    -9999
ALMA-ATA-B 211028 300  190500-191000   00    1298.40  680.7   1392.10     0.25    -9999
ALMA-ATA-B 211028 300  191000-191500   00    1293.26  680.6   1386.10    -0.18    -9999
ALMA-ATA-B 211028 300  191500-192000   00    1294.06  680.6   1386.78    -0.13    -9999
ALMA-ATA-B 211028 300  192000-192500   00    1294.18  680.6   1386.88    -0.13    -9999
ALMA-ATA-B 211028 300  192500-193000   00    1296.74  680.6   1389.76     0.08    -9999
ALMA-ATA-B 211028 300  193000-193500   00    1291.94  680.6   1384.92    -0.27    -9999
ALMA-ATA-B 211028 300  193500-194000   00    1285.28  680.6   1377.90    -0.77    -9999
ALMA-ATA-B 211028 300  194000-194500   00    1294.12  680.6   1387.34    -0.09    -9999
ALMA-ATA-B 211028 300  194500-195000   00    1285.28  680.6   1377.50    -0.80    -9999
ALMA-ATA-B 211028 300  195000-195500   00    1299.22  680.6   1392.34     0.27    -9999
ALMA-ATA-B 211028 300  195500-200000   00    1292.56  680.6   1385.50    -0.22    -9999
ALMA-ATA-B 211028 300  200000-200500   00    1293.92  680.6   1386.98    -0.12    -9999
ALMA-ATA-B 211028 300  200500-201000   00    1297.10  680.6   1390.44     0.13    -9999
ALMA-ATA-B 211028 300  201000-201500   00    1310.86  680.6   1404.96     1.18    -9999
ALMA-ATA-B 211028 300  201500-202000   00    1293.70  680.6   1386.82    -0.13    -9999
ALMA-ATA-B 211028 300  202000-202500   00    1294.30  680.6   1387.28    -0.10    -9999
ALMA-ATA-B 211028 300  202500-203000   00    1291.36  680.7   1384.72    -0.28    -9999
ALMA-ATA-B 211028 300  203000-203500   00    1297.70  680.7   1391.84     0.23    -9999
ALMA-ATA-B 211028 300  203500-204000   00    1295.70  680.7   1389.54     0.07    -9999
ALMA-ATA-B 211028 300  204000-204500   00    1306.06  680.7   1400.64     0.87    -9999
ALMA-ATA-B 211028 300  204500-205000   00    1291.98  680.7   1385.88    -0.20    -9999
ALMA-ATA-B 211028 300  205000-205500   00    1291.00  680.8   1385.26    -0.24    -9999
ALMA-ATA-B 211028 300  205500-210000   00    1295.74  680.8   1390.92     0.17    -9999
ALMA-ATA-B 211028 300  210000-210500   00    1291.38  680.8   1386.40    -0.16    -9999
ALMA-ATA-B 211028 300  210500-211000   00    1298.22  680.9   1394.00     0.39    -9999
ALMA-ATA-B 211028 300  211000-211500   00    1283.78  680.9   1378.88    -0.70    -9999
ALMA-ATA-B 211028 300  211500-212000   00    1299.64  680.9   1396.02     0.53    -9999
ALMA-ATA-B 211028 300  212000-212500   00    1292.16  680.9   1388.16    -0.03    -9999
ALMA-ATA-B 211028 300  212500-213000   00    1286.46  680.9   1381.98    -0.48    -9999
ALMA-ATA-B 211028 300  213000-213500   00    1287.08  680.8   1381.72    -0.50    -9999
ALMA-ATA-B 211028 300  213500-214000   00    1295.96  680.8   1391.00     0.17    -9999
ALMA-ATA-B 211028 300  214000-214500   00    1291.88  680.9   1387.34    -0.09    -9999
ALMA-ATA-B 211028 300  214500-215000   00    1298.26  680.8   1393.52     0.35    -9999
ALMA-ATA-B 211028 300  215000-215500   00    1301.78  680.8   1397.36     0.63    -9999
ALMA-ATA-B 211028 300  215500-220000   00    1299.34  680.8   1394.96     0.46    -9999
ALMA-ATA-B 211028 300  220000-220500   00    1305.66  680.8   1401.88     0.95    -9999
ALMA-ATA-B 211028 300  220500-221000   00    1296.64  680.9   1392.46     0.28    -9999
ALMA-ATA-B 211028 300  221000-221500   00    1301.74  680.9   1397.72     0.66    -9999
ALMA-ATA-B 211028 300  221500-222000   00    1299.18  680.9   1395.08     0.47    -9999
ALMA-ATA-B 211028 300  222000-222500   00    1295.80  680.9   1391.54     0.21    -9999
ALMA-ATA-B 211028 300  222500-223000   00    1304.04  680.8   1399.64     0.79    -9999
ALMA-ATA-B 211028 300  223000-223500   00    1296.36  680.9   1392.20     0.26    -9999
ALMA-ATA-B 211028 300  223500-224000   00    1298.98  680.9   1395.26     0.48    -9999
ALMA-ATA-B 211028 300  224000-224500   00    1296.54  680.8   1391.62     0.22    -9999
ALMA-ATA-B 211028 300  224500-225000   00    1308.36  680.8   1404.02     1.11    -9999
ALMA-ATA-B 211028 300  225000-225500   00    1297.80  680.7   1392.28     0.26    -9999
ALMA-ATA-B 211028 300  225500-230000   00    1299.38  680.8   1394.40     0.42    -9999
ALMA-ATA-B 211028 300  230000-230500   00    1302.52  680.8   1397.64     0.65    -9999
ALMA-ATA-B 211028 300  230500-231000   00    1304.36  680.8   1399.70     0.80    -9999
