APATITY  L LATITUDE    67.55     LONGITUDE     33.33     ALTITUDE    177 M
APATITY  L INSTRUMENT   18NM64    NEUTRON MONITOR	
APATITY  L STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.72     % / MB
APATITY  L PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
APATITY  L PRE-INCREASE AVERAGE COUNTING RATE    173.69      COUNTS PER SECOND
APATITY  L TIME INTERVALS    300         3600     
APATITY  L SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
APATITY  L 120517 300  063500-064000   00     173.96 1001.1    175.39     1.00    -9999
APATITY  L 120517 300  064000-064500   00     173.62 1001.1    175.02     0.80    -9999
APATITY  L 120517 300  064500-065000   00     173.06 1001.1    174.43     0.40    -9999
APATITY  L 120517 300  065000-065500   00     175.18 1001.1    176.55     1.60    -9999
APATITY  L 120517 300  065500-070000   00     172.80 1001.0    174.10     0.20    -9999
APATITY  L 120517 300  070000-070500   00     173.42 1001.1    174.77     0.60    -9999
APATITY  L 120517 300  070500-071000   00     172.44 1001.0    173.70     0.00    -9999
APATITY  L 120517 300  071000-071500   00     173.69 1001.1    175.03     0.80    -9999
APATITY  L 120517 300  071500-072000   00     173.32 1001.1    174.71     0.60    -9999
APATITY  L 120517 300  072000-072500   00     172.83 1001.1    174.18     0.30    -9999
APATITY  L 120517 300  072500-073000   00     174.25 1001.1    175.63     1.10    -9999
APATITY  L 120517 300  073000-073500   00     173.60 1001.1    174.94     0.70    -9999
APATITY  L 120517 300  073500-074000   00     174.58 1000.9    175.76     1.20    -9999
APATITY  L 120517 300  074000-074500   00     173.63 1001.0    174.86     0.70    -9999
APATITY  L 120517 300  074500-075000   00     172.36 1000.9    173.50    -0.10    -9999
APATITY  L 120517 300  075000-075500   00     173.17 1000.9    174.30     0.40    -9999
APATITY  L 120517 300  075500-080000   00     173.34 1000.9    174.51     0.50    -9999
APATITY  L 120517 300  080000-080500   00     172.89 1000.9    174.00     0.20    -9999
APATITY  L 120517 300  080500-081000   00     173.41 1000.8    174.36     0.40    -9999
APATITY  L 120517 300  081000-081500   00     175.53 1000.7    176.44     1.60    -9999
APATITY  L 120517 300  081500-082000   00     173.64 1000.7    174.50     0.50    -9999
APATITY  L 120517 300  082000-082500   00     174.75 1000.5    175.41     1.00    -9999
