KINGSTON   LATITUDE    -42.99    LONGITUDE     147.29    ALTITUDE    65 M
KINGSTON   INSTRUMENT   18NM64    NEUTRON MONITOR	
KINGSTON   STANDARD PRESSURE    1013    mb     COEFFICIENT   -0.71     % / mb
KINGSTON   PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
KINGSTON   PRE-INCREASE AVERAGE COUNTING RATE    207.41      COUNTS PER SECOND
KINGSTON   TIME INTERVALS    300         3600     
KINGSTON   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
KINGSTON   120517 300  080000-080500   00    -999.00 -999.0    206.43    -0.50    -0.58
KINGSTON   120517 300  080500-081000   00    -999.00 -999.0    206.32    -0.50    -0.57
KINGSTON   120517 300  081000-081500   00    -999.00 -999.0    206.77    -0.30    -0.35
KINGSTON   120517 300  081500-082000   00    -999.00 -999.0    208.28     0.40     0.36
KINGSTON   120517 300  082000-082500   00    -999.00 -999.0    210.53     1.50     1.47
KINGSTON   120517 300  082500-083000   00    -999.00 -999.0    207.05    -0.20    -0.21
KINGSTON   120517 300  083000-083500   00    -999.00 -999.0    207.75     0.20     0.21
KINGSTON   120517 300  083500-084000   00    -999.00 -999.0    206.87    -0.30    -0.28
KINGSTON   120517 300  084000-084500   00    -999.00 -999.0    208.23     0.40     0.44
KINGSTON   120517 300  084500-085000   00    -999.00 -999.0    207.85     0.20     0.25
KINGSTON   120517 300  085000-085500   00    -999.00 -999.0    208.23     0.40     0.47
KINGSTON   120517 300  085500-090000   00    -999.00 -999.0    208.55     0.50     0.59
KINGSTON   120517 300  090000-090500   00    -999.00 -999.0    208.43     0.50     0.60
KINGSTON   120517 300  090500-091000   00    -999.00 -999.0    206.70    -0.30    -9999
KINGSTON   120517 300  091000-091500   00    -999.00 -999.0    205.13    -1.10    -9999
KINGSTON   120517 300  091500-092000   00    -999.00 -999.0    208.47     0.50    -9999
KINGSTON   120517 300  092000-092500   00    -999.00 -999.0    206.55    -0.40    -9999
KINGSTON   120517 300  092500-093000   00    -999.00 -999.0    206.57    -0.40    -9999
KINGSTON   120517 300  093000-093500   00    -999.00 -999.0    205.15    -1.10    -9999
KINGSTON   120517 300  093500-094000   00    -999.00 -999.0    206.30    -0.50    -9999
KINGSTON   120517 300  094000-094500   00    -999.00 -999.0    207.08    -0.20    -9999
KINGSTON   120517 300  094500-095000   00    -999.00 -999.0    202.58    -2.30    -9999
KINGSTON   120517 300  095000-095500   00    -999.00 -999.0    207.27    -0.10    -9999
KINGSTON   120517 300  095500-100000   00    -999.00 -999.0    206.37    -0.50    -9999
KINGSTON   120517 300  100000-100500   00    -999.00 -999.0    210.15     1.30    -9999
KINGSTON   120517 300  100500-101000   00    -999.00 -999.0    207.72     0.10    -9999
KINGSTON   120517 300  101000-101500   00    -999.00 -999.0    208.28     0.40    -9999
KINGSTON   120517 300  101500-102000   00    -999.00 -999.0    205.60    -0.90    -9999
KINGSTON   120517 300  102000-102500   00    -999.00 -999.0    205.57    -0.90    -9999
KINGSTON   120517 300  102500-103000   00    -999.00 -999.0    206.75    -0.30    -9999
KINGSTON   120517 300  103000-103500   00    -999.00 -999.0    207.50     0.00    -9999
KINGSTON   120517 300  103500-104000   00    -999.00 -999.0    208.42     0.50    -9999
KINGSTON   120517 300  104000-104500   00    -999.00 -999.0    205.22    -1.10    -9999
KINGSTON   120517 300  104500-105000   00    -999.00 -999.0    206.92    -0.20    -9999
KINGSTON   120517 300  105000-105500   00    -999.00 -999.0    205.82    -0.80    -9999
KINGSTON   120517 300  105500-110000   00    -999.00 -999.0    203.05    -2.10    -9999
KINGSTON   120517 300  110000-110500   00    -999.00 -999.0    206.92    -0.20    -9999
KINGSTON   120517 300  110500-111000   00    -999.00 -999.0    206.25    -0.60    -9999
KINGSTON   120517 300  111000-111500   00    -999.00 -999.0    206.58    -0.40    -9999
KINGSTON   120517 300  111500-112000   00    -999.00 -999.0    203.75    -1.80    -9999
KINGSTON   120517 300  112000-112500   00    -999.00 -999.0    204.83    -1.20    -9999
KINGSTON   120517 300  112500-113000   00    -999.00 -999.0    207.47     0.00    -9999
KINGSTON   120517 300  113000-113500   00    -999.00 -999.0    207.85     0.20    -9999
