MOSCOW     LATITUDE    55.47     LONGITUDE     37.32     ALTITUDE    200 M
MOSCOW     INSTRUMENT   24NM64    NEUTRON MONITOR	
MOSCOW     STANDARD PRESSURE    991.5   MB     COEFFICIENT   -0.71     % / MB
MOSCOW     PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
MOSCOW     PRE-INCREASE AVERAGE COUNTING RATE    211.16      COUNTS PER SECOND
MOSCOW     TIME INTERVALS    300         3600     
MOSCOW     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
MOSCOW     010415 300  180000-180500   00     216.37  992.9    218.53     3.50     3.39
MOSCOW     010415 300  180500-181000   00     215.84  992.9    218.02     3.20     3.08
MOSCOW     010415 300  181000-181500   00     217.51  992.9    219.73     4.10     3.98
MOSCOW     010415 300  181500-182000   00     212.79  992.9    215.00     1.80     1.67
MOSCOW     010415 300  182000-182500   00     216.43  993.0    218.70     3.60     3.47
MOSCOW     010415 300  182500-183000   00     215.11  993.0    217.40     2.90     2.76
MOSCOW     010415 300  183000-183500   00     213.88  993.0    216.19     2.40     2.26
MOSCOW     010415 300  183500-184000   00     213.60  993.0    215.94     2.30     2.15
MOSCOW     010415 300  184000-184500   00     212.87  993.0    215.24     1.90     1.75
MOSCOW     010415 300  184500-185000   00     213.02  993.1    215.42     2.00     1.84
MOSCOW     010415 300  185000-185500   00     214.52  993.1    216.98     2.80     2.64
MOSCOW     010415 300  185500-190000   00     215.49  993.1    217.99     3.20     3.03
MOSCOW     010415 300  190000-190500   00     212.12  993.2    214.64     1.60     1.43
MOSCOW     010415 300  190500-191000   00     212.24  993.2    214.80     1.70     1.52
MOSCOW     010415 300  191000-191500   00     213.37  993.2    215.99     2.30     2.12
MOSCOW     010415 300  191500-192000   00     214.94  993.2    217.61     3.00     2.81
MOSCOW     010415 300  192000-192500   00     214.10  993.3    216.80     2.70     2.51
MOSCOW     010415 300  192500-193000   00     211.94  993.3    214.65     1.70     1.50
MOSCOW     010415 300  193000-193500   00     214.11  993.3    216.89     2.70     2.50
MOSCOW     010415 300  193500-194000   00     213.15  993.3    215.96     2.30     2.09
MOSCOW     010415 300  194000-194500   00     213.42  993.4    216.26     2.40     2.19
MOSCOW     010415 300  194500-195000   00     212.06  993.4    214.93     1.80     1.58
MOSCOW     010415 300  195000-195500   00     213.15  993.4    216.07     2.30     2.08
MOSCOW     010415 300  195500-200000   00     211.99  993.4    214.92     1.80     1.57
MOSCOW     010415 300  200000-200500   00     214.66  993.4    217.65     3.10     2.86
MOSCOW     010415 300  200500-201000   00     209.47  993.5    212.44     0.60     0.36
MOSCOW     010415 300  201000-201500   00     209.84  993.5    212.85     0.80     0.55
MOSCOW     010415 300  201500-202000   00     211.83  993.5    214.91     1.80     1.55
MOSCOW     010415 300  202000-202500   00     209.13  993.5    212.21     0.50     0.24
MOSCOW     010415 300  202500-203000   00     210.10  993.6    213.24     0.90     0.64
MOSCOW     010415 300  203000-203500   00     212.07  993.6    215.28     2.00     1.73
MOSCOW     010415 300  203500-204000   00     210.27  993.6    213.50     1.10     0.82
