ALMA-ATA-B LATITUDE    43.14     LONGITUDE     76.6      ALTITUDE    3340 M
ALMA-ATA-B INSTRUMENT   18NM64    NEUTRON MONITOR     
ALMA-ATA-B STANDARD PRESSURE    675.7   MB     COEFFICIENT   -0.74     % / MB
ALMA-ATA-B PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
ALMA-ATA-B PRE-INCREASE AVERAGE COUNTING RATE    126.07      COUNTS PER SECOND
ALMA-ATA-B TIME INTERVALS    300         3600     
ALMA-ATA-B SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
ALMA-ATA-B 061213 3600 140000-150000   00     122.73  678.1    124.93    -0.90    -9999
ALMA-ATA-B 061213 3600 150000-160000   00     122.80  678.1    125.00    -0.85    -9999
ALMA-ATA-B 061213 3600 160000-170000   00     122.21  678.3    124.59    -1.18    -9999
ALMA-ATA-B 061213 3600 170000-180000   00     122.50  678.5    125.06    -0.80    -9999
ALMA-ATA-B 061213 3600 180000-190000   00     121.95  678.7    124.68    -1.10    -9999
ALMA-ATA-B 061213 3600 190000-200000   00     122.08  678.9    125.01    -0.84    -9999
ALMA-ATA-B 061213 3600 200000-210000   00     121.69  679.1    124.79    -1.02    -9999
ALMA-ATA-B 061213 3600 210000-220000   00     121.69  679.1    124.80    -1.01    -9999
ALMA-ATA-B 061213 3600 220000-230000   00     121.79  679.3    125.08    -0.79    -9999
ALMA-ATA-B 061213 3600 230000-240000   00     121.36  679.5    124.82    -0.99    -9999
*
Comment: The Clock of Regisrator is fast on +0 sec;
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2023-02-24 11:29:29 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE70/C070AATB.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
