CAPE SHMID LATITUDE    68.92     LONGITUDE     -179.47   ALTITUDE    0 M
CAPE SHMID INSTRUMENT   12NM64    NEUTRON MONITOR
CAPE SHMID STANDARD PRESSURE    1009.7  MB     COEFFICIENT   -0.72     % / MB
CAPE SHMID PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
CAPE SHMID PRE-INCREASE AVERAGE COUNTING RATE     84.04      COUNTS PER SECOND
CAPE SHMID TIME INTERVALS    300         3600     
CAPE SHMID SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
CAPE SHMID 010415 300  212500-213000   00      89.14 1010.2     89.44     6.40     3.92
CAPE SHMID 010415 300  213000-213500   00      89.73 1010.2     90.06     7.20     4.70
CAPE SHMID 010415 300  213500-214000   00      88.89 1010.2     89.23     6.20     3.68
CAPE SHMID 010415 300  214000-214500   00      88.08 1010.3     88.43     5.20     2.67
CAPE SHMID 010415 300  214500-215000   00      86.88 1010.3     87.25     3.80     1.25
CAPE SHMID 010415 300  215000-215500   00      88.28 1010.3     88.67     5.50     2.93
CAPE SHMID 010415 300  215500-220000   00      87.97 1010.3     88.38     5.20     2.61
CAPE SHMID 010415 300  220000-220500   00      88.74 1010.4     89.16     6.10     3.50
CAPE SHMID 010415 300  220500-221000   00      87.78 1010.4     88.21     5.00     2.38
CAPE SHMID 010415 300  221000-221500   00      87.19 1010.4     87.63     4.30     1.66
CAPE SHMID 010415 300  221500-222000   00      89.40 1010.4     89.87     6.90     4.25
CAPE SHMID 010415 300  222000-222500   00      87.87 1010.5     88.35     5.10     2.43
CAPE SHMID 010415 300  222500-223000   00      88.63 1010.5     89.12     6.10     3.41
CAPE SHMID 010415 300  223000-223500   00      89.59 1010.5     90.11     7.20     4.50
CAPE SHMID 010415 300  223500-224000   00      87.32 1010.5     87.84     4.50     1.78
CAPE SHMID 010415 300  224000-224500   00      88.24 1010.6     88.78     5.70     2.97
CAPE SHMID 010415 300  224500-225000   00      89.09 1010.6     89.65     6.70     3.95
CAPE SHMID 010415 300  225000-225500   00      87.06 1010.6     87.63     4.30     1.53
CAPE SHMID 010415 300  225500-230000   00      87.34 1010.6     87.93     4.60     1.82
CAPE SHMID 010415 300  230000-230500   00      87.50 1010.7     88.10     4.80     2.00
CAPE SHMID 010415 300  230500-231000   00      86.04 1010.7     86.65     3.10     0.28
CAPE SHMID 010415 300  231000-231500   00      88.79 1010.7     89.44     6.40     3.57
CAPE SHMID 010415 300  231500-232000   00      86.33 1010.7     86.97     3.50     0.65
CAPE SHMID 010415 300  232000-232500   00      87.05 1010.8     87.71     4.40     1.54
CAPE SHMID 010415 300  232500-233000   00      88.19 1010.8     88.88     5.80     2.92
CAPE SHMID 010415 300  233000-233500   00      88.05 1010.8     88.75     5.60     2.71
CAPE SHMID 010415 300  233500-234000   00      88.41 1010.8     89.13     6.00     3.09
CAPE SHMID 010415 300  234000-234500   00      88.05 1010.9     88.78     5.60     2.68
CAPE SHMID 010415 300  234500-235000   00      87.95 1010.9     88.70     5.60     2.66
CAPE SHMID 010415 300  235000-235500   00      87.68 1010.9     88.44     5.20     2.24
CAPE SHMID 010415 300  235500-240000   00      87.20 1010.9     87.98     4.70     1.73
CAPE SHMID 010416 3600 000000-010000   00      87.96 1011.1     88.85     5.70     2.62
CAPE SHMID 010416 3600 010000-020000   00      87.46 1011.5     88.60     5.40     2.15
CAPE SHMID 010416 3600 020000-030000   00      87.12 1012.1     88.64     5.50     2.09
CAPE SHMID 010416 3600 030000-040000   00      85.30 1012.6     87.10     3.60     0.04
CAPE SHMID 010416 3600 040000-050000   00      85.08 1013.2     87.25     3.80     0.10
CAPE SHMID 010416 3600 050000-060000   00      84.66 1013.7     87.14     3.70    -0.13
CAPE SHMID 010416 3600 060000-070000   00      84.28 1014.2     87.05     3.60    -9999
CAPE SHMID 010416 3600 070000-080000   00      83.86 1015.0     87.12     3.70    -9999
CAPE SHMID 010416 3600 080000-090000   00      83.41 1015.8     87.15     3.70    -9999
CAPE SHMID 010416 3600 090000-100000   00      82.76 1016.5     86.92     3.40    -9999
CAPE SHMID 010416 3600 100000-110000   00      82.05 1017.0     86.48     2.90    -9999
CAPE SHMID 010416 3600 110000-120000   00      81.66 1017.5     86.38     2.80    -9999
CAPE SHMID 010416 3600 120000-130000   00      81.38 1018.2     86.51     2.90    -9999
CAPE SHMID 010416 3600 130000-140000   00      80.77 1019.0     86.37     2.80    -9999
CAPE SHMID 010416 3600 140000-150000   00      81.07 1019.7     87.13     3.70    -9999
CAPE SHMID 010416 3600 150000-160000   00      80.59 1020.5     87.11     3.70    -9999
CAPE SHMID 010416 3600 160000-170000   00      80.09 1021.1     86.94     3.50    -9999
CAPE SHMID 010416 3600 170000-180000   00      79.70 1021.9     87.02     3.50    -9999
CAPE SHMID 010416 3600 180000-190000   00      79.30 1022.6     87.02     3.50    -9999
CAPE SHMID 010416 3600 190000-200000   00      79.22 1023.4     87.43     4.00    -9999
CAPE SHMID 010416 3600 200000-210000   00      78.66 1024.1     87.26     3.80    -9999
CAPE SHMID 010416 3600 210000-220000   00      78.26 1024.7     87.19     3.80    -9999
CAPE SHMID 010416 3600 220000-230000   00      78.35 1025.2     87.60     4.20    -9999
CAPE SHMID 010416 3600 230000-240000   00      78.08 1025.6     87.55     4.20    -9999
*
*	
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2023-04-05 10:02:56 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE60/C060CAPS_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
