JUNGFRAU1  LATITUDE    46.55     LONGITUDE     7.98      ALTITUDE    3570 M
JUNGFRAU1  INSTRUMENT   IGY     NEUTRON MONITOR
JUNGFRAU1  STANDARD PRESSURE    641.06  MB     COEFFICIENT   -0.72     % / MB
JUNGFRAU1  PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
JUNGFRAU1  PRE-INCREASE AVERAGE COUNTING RATE    352.70      COUNTS PER SECOND
JUNGFRAU1  TIME INTERVALS    300         3600     
JUNGFRAU1  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
JUNGFRAU1  120517 300  081000-081500   00     305.53  664.1    355.95     0.90    -9999
JUNGFRAU1  120517 300  081500-082000   00     307.03  664.1    357.57     1.40    -9999
JUNGFRAU1  120517 300  082000-082500   00     305.06  664.1    355.43     0.80    -9999
JUNGFRAU1  120517 300  082500-083000   00     307.34  664.1    357.89     1.50    -9999
JUNGFRAU1  120517 300  083000-083500   00     304.18  664.2    354.41     0.50    -9999
JUNGFRAU1  120517 300  083500-084000   00     307.37  664.1    358.05     1.50    -9999
JUNGFRAU1  120517 300  084000-084500   00     309.31  664.1    360.35     2.20    -9999
JUNGFRAU1  120517 300  084500-085000   00     308.66  664.1    359.60     2.00    -9999
JUNGFRAU1  120517 300  085000-085500   00     305.76  664.2    356.32     1.00    -9999
JUNGFRAU1  120517 300  085500-090000   00     306.54  664.1    357.04     1.20    -9999
JUNGFRAU1  120517 300  090000-090500   00     305.66  664.3    356.37     1.00    -9999
JUNGFRAU1  120517 300  090500-091000   00     304.40  664.3    354.96     0.60    -9999
JUNGFRAU1  120517 300  091000-091500   00     307.94  664.4    359.34     1.90    -9999
JUNGFRAU1  120517 300  091500-092000   00     305.44  664.4    356.54     1.10    -9999
JUNGFRAU1  120517 300  092000-092500   00     309.82  664.5    361.85     2.60    -9999
JUNGFRAU1  120517 300  092500-093000   00     307.02  664.5    358.54     1.70    -9999
JUNGFRAU1  120517 300  093000-093500   00     302.36  664.5    353.22     0.10    -9999
JUNGFRAU1  120517 300  093500-094000   00     306.87  664.6    358.62     1.70    -9999
JUNGFRAU1  120517 300  094000-094500   00     305.19  664.6    356.63     1.10    -9999
JUNGFRAU1  120517 300  094500-095000   00     308.81  664.6    360.96     2.30    -9999
JUNGFRAU1  120517 300  095000-095500   00     309.22  664.6    361.49     2.50    -9999
JUNGFRAU1  120517 300  095500-100000   00     304.30  664.6    355.77     0.90    -9999
JUNGFRAU1  120517 300  100000-100500   00     307.53  664.7    359.78     2.00    -9999
JUNGFRAU1  120517 300  100500-101000   00     302.05  664.7    353.41     0.20    -9999
JUNGFRAU1  120517 300  101000-101500   00     307.70  664.8    360.12     2.10    -9999
JUNGFRAU1  120517 300  101500-102000   00     305.20  664.8    357.31     1.30    -9999
JUNGFRAU1  120517 300  102000-102500   00     306.07  664.9    358.44     1.60    -9999
JUNGFRAU1  120517 300  102500-103000   00     307.90  664.8    360.47     2.20    -9999
JUNGFRAU1  120517 300  103000-103500   00     305.33  664.9    357.60     1.40    -9999
JUNGFRAU1  120517 300  103500-104000   00     303.24  664.9    355.10     0.70    -9999
JUNGFRAU1  120517 300  104000-104500   00     304.02  664.8    355.98     0.90    -9999
JUNGFRAU1  120517 300  104500-105000   00     307.96  664.8    360.49     2.20    -9999
JUNGFRAU1  120517 300  105000-105500   00     303.89  664.8    355.63     0.80    -9999
JUNGFRAU1  120517 300  105500-110000   00     305.18  664.8    357.24     1.30    -9999
JUNGFRAU1  120517 300  110000-110500   00     306.87  664.8    359.12     1.80    -9999
JUNGFRAU1  120517 300  110500-111000   00     306.13  664.8    358.41     1.60    -9999
JUNGFRAU1  120517 300  111000-111500   00     306.71  664.9    359.25     1.90    -9999
JUNGFRAU1  120517 300  111500-112000   00     308.57  664.9    361.37     2.50    -9999
JUNGFRAU1  120517 300  112000-112500   00     304.92  664.8    357.01     1.20    -9999
JUNGFRAU1  120517 300  112500-113000   00     308.82  664.8    361.50     2.50    -9999
JUNGFRAU1  120517 300  113000-113500   00     302.86  664.8    354.54     0.50    -9999
JUNGFRAU1  120517 300  113500-114000   00     304.59  664.8    356.51     1.10    -9999
JUNGFRAU1  120517 300  114000-114500   00     304.64  664.8    356.60     1.10    -9999
JUNGFRAU1  120517 300  114500-115000   00     305.25  664.8    357.32     1.30    -9999
