SOUTH POLE LATITUDE    -90       LONGITUDE     0         ALTITUDE    2820 M
SOUTH POLE INSTRUMENT   3NM64    NEUTRON MONITOR     	
SOUTH POLE STANDARD PRESSURE    680     mb     COEFFICIENT   -0.69     % / mb
SOUTH POLE PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
SOUTH POLE PRE-INCREASE AVERAGE COUNTING RATE    301.39      COUNTS PER SECOND
SOUTH POLE TIME INTERVALS    300         3600     
SOUTH POLE SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
SOUTH POLE 120517 300  043500-044000   00     302.15  682.8    308.59     2.40     2.29
SOUTH POLE 120517 300  044000-044500   00     299.51  682.8    305.80     1.50     1.38
SOUTH POLE 120517 300  044500-045000   00     297.86  682.8    304.11     0.90     0.78
SOUTH POLE 120517 300  045000-045500   00     298.47  682.8    304.74     1.10     0.98
SOUTH POLE 120517 300  045500-050000   00     298.38  682.7    304.60     1.10     0.98
SOUTH POLE 120517 300  050000-050500   00     297.25  682.7    303.41     0.70     0.57
SOUTH POLE 120517 300  050500-051000   00     298.50  682.7    304.70     1.10     0.97
SOUTH POLE 120517 300  051000-051500   00     296.14  682.7    302.22     0.30     0.17
SOUTH POLE 120517 300  051500-052000   00     297.94  682.7    304.04     0.90     0.77
SOUTH POLE 120517 300  052000-052500   00     299.39  682.6    305.40     1.30     1.16
SOUTH POLE 120517 300  052500-053000   00     298.70  682.5    304.51     1.00     0.86
SOUTH POLE 120517 300  053000-053500   00     299.09  682.5    304.81     1.10     0.96
SOUTH POLE 120517 300  053500-054000   00     298.54  682.5    304.15     0.90     0.75
SOUTH POLE 120517 300  054000-054500   00     295.96  682.5    301.56     0.10    -0.05
SOUTH POLE 120517 300  054500-055000   00     298.65  682.5    304.38     1.00     0.85
SOUTH POLE 120517 300  055000-055500   00     297.27  682.6    303.09     0.60     0.45
SOUTH POLE 120517 300  055500-060000   00     300.67  682.6    306.62     1.70     1.54
SOUTH POLE 120517 300  060000-060500   00     298.13  682.6    303.94     0.80     0.64
SOUTH POLE 120517 300  060500-061000   00     297.74  682.5    303.51     0.70     0.54
SOUTH POLE 120517 300  061000-061500   00     296.21  682.5    301.92     0.20     0.04
SOUTH POLE 120517 300  061500-062000   00     296.74  682.5    302.50     0.40     0.23
SOUTH POLE 120517 300  062000-062500   00     298.32  682.6    304.13     0.90     0.73
SOUTH POLE 120517 300  062500-063000   00     297.42  682.6    303.30     0.60     0.43
SOUTH POLE 120517 300  063000-063500   00     297.92  682.6    303.79     0.80     0.63
SOUTH POLE 120517 300  063500-064000   00     296.66  682.5    302.40     0.30     0.12
SOUTH POLE 120517 300  064000-064500   00     295.58  682.5    301.24     0.00    -0.18
