TIXIE BAY  LATITUDE    71.6      LONGITUDE     128.9     ALTITUDE    0 M
TIXIE BAY  INSTRUMENT   18NM64    NEUTRON MONITOR     	
TIXIE BAY  STANDARD PRESSURE    1000    mb     COEFFICIENT   -0.72     % / mb
TIXIE BAY  PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
TIXIE BAY  PRE-INCREASE AVERAGE COUNTING RATE     99.34      COUNTS PER SECOND
TIXIE BAY  TIME INTERVALS    300         3600     
TIXIE BAY  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
TIXIE BAY  120517 300  065500-070000   00     114.72  994.0    101.47     2.10     2.10
TIXIE BAY  120517 300  070000-070500   00     112.83  994.1     99.84     0.50     0.50
TIXIE BAY  120517 300  070500-071000   00     114.16  994.2    101.04     1.70     1.70
TIXIE BAY  120517 300  071000-071500   00     113.41  994.2    100.45     1.10     1.10
TIXIE BAY  120517 300  071500-072000   00     112.85  994.4    100.05     0.70     0.70
TIXIE BAY  120517 300  072000-072500   00     111.52  994.5     98.93    -0.40    -0.40
TIXIE BAY  120517 300  072500-073000   00     111.63  994.6     99.12    -0.20    -0.20
TIXIE BAY  120517 300  073000-073500   00     112.69  994.7    100.16     0.80     0.80
TIXIE BAY  120517 300  073500-074000   00     112.67  994.8    100.21     0.90     0.90
TIXIE BAY  120517 300  074000-074500   00     113.65  994.9    101.12     1.80     1.80
TIXIE BAY  120517 300  074500-075000   00     114.00  994.9    101.49     2.20     2.20
TIXIE BAY  120517 300  075000-075500   00     113.44  995.0    101.04     1.70     1.70
TIXIE BAY  120517 300  075500-080000   00     112.35  995.1    100.11     0.80     0.80
TIXIE BAY  120517 300  080000-080500   00     112.75  995.2    100.53     1.20    -9999
TIXIE BAY  120517 300  080500-081000   00     110.03  995.2     98.13    -1.20    -9999
TIXIE BAY  120517 300  081000-081500   00     110.83  995.3     98.91    -0.40    -9999
TIXIE BAY  120517 300  081500-082000   00     112.13  995.3    100.13     0.80    -9999
TIXIE BAY  120517 300  082000-082500   00     111.65  995.4     99.76     0.40    -9999
TIXIE BAY  120517 300  082500-083000   00     109.63  995.5     98.00    -1.30    -9999
TIXIE BAY  120517 300  083000-083500   00     111.73  995.5     99.87     0.50    -9999
TIXIE BAY  120517 300  083500-084000   00     111.52  995.6     99.76     0.40    -9999
TIXIE BAY  120517 300  084000-084500   00     111.76  995.6     99.97     0.60    -9999
TIXIE BAY  120517 300  084500-085000   00     110.64  995.7     99.04    -0.30    -9999
TIXIE BAY  120517 300  085000-085500   00     112.48  995.7    100.67     1.30    -9999
TIXIE BAY  120517 300  085500-090000   00     110.03  995.8     98.53    -0.80    -9999
TIXIE BAY  120517 300  090000-090500   00     111.15  995.9     99.60     0.30    -9999
TIXIE BAY  120517 300  090500-091000   00     111.92  995.9    100.35     1.00    -9999
TIXIE BAY  120517 300  091000-091500   00     109.71  996.0     98.40    -0.90    -9999
TIXIE BAY  120517 300  091500-092000   00     110.67  996.1     99.31     0.00    -9999
TIXIE BAY  120517 300  092000-092500   00     110.05  996.1     98.80    -0.50    -9999
TIXIE BAY  120517 300  092500-093000   00     110.56  996.3     99.41     0.10    -9999
TIXIE BAY  120517 300  093000-093500   00     110.99  996.4     99.84     0.50    -9999
TIXIE BAY  120517 300  093500-094000   00     111.47  996.5    100.32     1.00    -9999
TIXIE BAY  120517 300  094000-094500   00     109.73  996.5     98.83    -0.50    -9999
TIXIE BAY  120517 300  094500-095000   00     109.17  996.6     98.37    -1.00    -9999
TIXIE BAY  120517 300  095000-095500   00     110.03  996.7     99.23    -0.10    -9999
TIXIE BAY  120517 300  095500-100000   00     111.17  996.8    100.32     1.00    -9999
TIXIE BAY  120517 300  100000-100500   00     110.29  997.0     99.63     0.30    -9999
TIXIE BAY  120517 300  100500-101000   00     110.37  997.1     99.76     0.40    -9999
TIXIE BAY  120517 300  101000-101500   00     110.16  997.1     99.63     0.30    -9999
TIXIE BAY  120517 300  101500-102000   00     110.45  997.2     99.92     0.60    -9999
TIXIE BAY  120517 300  102000-102500   00     108.96  997.2     98.59    -0.80    -9999
TIXIE BAY  120517 300  102500-103000   00     110.16  997.3     99.71     0.40    -9999
TIXIE BAY  120517 300  103000-103500   00     109.23  997.3     98.88    -0.50    -9999
TIXIE BAY  120517 300  103500-104000   00     110.37  997.3     99.95     0.60    -9999
TIXIE BAY  120517 300  104000-104500   00     109.28  997.4     98.99    -0.40    -9999
TIXIE BAY  120517 300  104500-105000   00     107.79  997.5     97.71    -1.60    -9999
TIXIE BAY  120517 300  105000-105500   00     109.17  997.5     99.01    -0.30    -9999
TIXIE BAY  120517 300  105500-110000   00     109.57  997.6     99.41     0.10    -9999
TIXIE BAY  120517 300  110000-110500   00     109.52  997.7     99.49     0.20    -9999
TIXIE BAY  120517 300  110500-111000   00     110.37  997.8    100.32     1.00    -9999
TIXIE BAY  120517 300  111000-111500   00     107.95  997.8     98.13    -1.20    -9999
TIXIE BAY  120517 300  111500-112000   00     109.41  997.9     99.49     0.20    -9999
TIXIE BAY  120517 300  112000-112500   00     107.44  998.0     97.73    -1.60    -9999
TIXIE BAY  120517 300  112500-113000   00     108.77  998.0     98.99    -0.40    -9999
TIXIE BAY  120517 300  113000-113500   00     109.55  998.0     99.68     0.30    -9999
TIXIE BAY  120517 300  113500-114000   00     108.64  998.0     98.91    -0.40    -9999
TIXIE BAY  120517 300  114000-114500   00     107.76  998.1     98.16    -1.20    -9999
TIXIE BAY  120517 300  114500-115000   00     109.25  998.2     99.52     0.20    -9999
TIXIE BAY  120517 300  115000-115500   00     108.75  998.3     99.20    -0.10    -9999
TIXIE BAY  120517 300  115500-120000   00     108.13  998.4     98.72    -0.60    -9999
TIXIE BAY  120517 300  120000-120500   00     108.05  998.5     98.75    -0.60    -9999
TIXIE BAY  120517 300  120500-121000   00     107.95  998.7     98.75    -0.60    -9999
TIXIE BAY  120517 300  121000-121500   00     106.43  998.7     97.36    -2.00    -9999
TIXIE BAY  120517 300  121500-122000   00     108.11  998.8     98.93    -0.40    -9999
TIXIE BAY  120517 300  122000-122500   00     107.55  998.8     98.40    -0.90    -9999
TIXIE BAY  120517 300  122500-123000   00     106.99  998.8     97.95    -1.40    -9999
TIXIE BAY  120517 300  123000-123500   00     108.37  998.8     99.20    -0.10    -9999
TIXIE BAY  120517 300  123500-124000   00     107.60  998.8     98.51    -0.80    -9999
TIXIE BAY  120517 300  124000-124500   00     108.32  998.9     99.20    -0.10    -9999
TIXIE BAY  120517 300  124500-125000   00     108.16  999.0     99.17    -0.20    -9999
TIXIE BAY  120517 300  125000-125500   00     108.24  999.1     99.25    -0.10    -9999
TIXIE BAY  120517 300  125500-130000   00     107.81  999.0     98.83    -0.50    -9999
TIXIE BAY  120517 300  130000-130500   00     109.28  999.0    100.24     0.90    -9999
TIXIE BAY  120517 300  130500-131000   00     107.33  999.1     98.43    -0.90    -9999
