NORILSK    LATITUDE    69.26     LONGITUDE     88.05     ALTITUDE    0 M
NORILSK    INSTRUMENT   18NM64    NEUTRON MONITOR     	
NORILSK    STANDARD PRESSURE    1017.1  MB     COEFFICIENT   -0.71     % / MB
NORILSK    PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
NORILSK    PRE-INCREASE AVERAGE COUNTING RATE     97.66      COUNTS PER SECOND
NORILSK    TIME INTERVALS    300         3600     
NORILSK    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
NORILSK    010415 300  201500-202000   00     105.22 1012.5    101.80     4.20     2.58
NORILSK    010415 300  202000-202500   00     104.98 1012.4    101.54     4.00     2.36
NORILSK    010415 300  202500-203000   00     104.00 1012.3    100.55     3.00     1.35
NORILSK    010415 300  203000-203500   00     103.58 1012.3    100.11     2.50     0.83
NORILSK    010415 300  203500-204000   00     105.02 1012.2    101.46     3.90     2.22
NORILSK    010415 300  204000-204500   00     102.72 1012.2     99.19     1.60    -0.10
NORILSK    010415 300  204500-205000   00     103.66 1012.1    100.06     2.50     0.79
NORILSK    010415 300  205000-205500   00     103.77 1012.1    100.13     2.50     0.77
NORILSK    010415 300  205500-210000   00     104.34 1012.0    100.64     3.00     1.26
NORILSK    010415 300  210000-210500   00     105.36 1012.0    101.58     4.00     2.25
NORILSK    010415 300  210500-211000   00     102.34 1011.9     98.62     1.00    -0.77
NORILSK    010415 300  211000-211500   00     103.80 1011.8     99.99     2.40     0.62
NORILSK    010415 300  211500-212000   00     104.63 1011.8    100.75     3.20     1.40
NORILSK    010415 300  212000-212500   00     103.66 1011.7     99.78     2.20     0.39
NORILSK    010415 300  212500-213000   00     105.31 1011.7    101.32     3.80     1.97
NORILSK    010415 300  213000-213500   00     105.21 1011.6    101.17     3.60     1.76
NORILSK    010415 300  213500-214000   00     105.54 1011.5    101.45     3.90     2.04
NORILSK    010415 300  214000-214500   00     106.42 1011.5    102.25     4.70     2.83
NORILSK    010415 300  214500-215000   00     105.40 1011.4    101.22     3.70     1.82
NORILSK    010415 300  215000-215500   00     105.18 1011.3    100.96     3.40     1.50
NORILSK    010415 300  215500-220000   00     104.68 1011.3    100.44     2.90     0.99
NORILSK    010415 300  220000-220500   00     106.77 1011.2    102.37     4.80     2.87
NORILSK    010415 300  220500-221000   00     102.21 1011.1     97.95     0.30    -1.64
NORILSK    010415 300  221000-221500   00     103.78 1011.0     99.42     1.80    -0.16
NORILSK    010415 300  221500-222000   00     103.33 1011.0     98.94     1.30    -0.67
NORILSK    010415 300  222000-222500   00     105.77 1010.9    101.23     3.70     1.72
NORILSK    010415 300  222500-223000   00     104.77 1010.9    100.23     2.60     0.60
NORILSK    010415 300  223000-223500   00     105.17 1010.8    100.56     3.00     0.99
NORILSK    010415 300  223500-224000   00     105.69 1010.7    101.01     3.50     1.47
NORILSK    010415 300  224000-224500   00     105.73 1010.7    101.01     3.40     1.36
NORILSK    010415 300  224500-225000   00     105.09 1010.6    100.36     2.80     0.75
NORILSK    010415 300  225000-225500   00     105.27 1010.5    100.49     2.90     0.83
NORILSK    010415 300  225500-230000   00     104.40 1010.5     99.61     2.00    -0.08
NORILSK    010415 300  230000-230500   00     105.67 1010.4    100.79     3.20     1.10
NORILSK    010415 300  230500-231000   00     104.31 1010.4     99.46     1.80    -9999
NORILSK    010415 300  231000-231500   00     105.47 1010.3    100.52     2.90    -9999
NORILSK    010415 300  231500-232000   00     105.31 1010.3    100.32     2.70    -9999
NORILSK    010415 300  232000-232500   00     105.97 1010.2    100.91     3.30    -9999
NORILSK    010415 300  232500-233000   00     103.81 1010.2     98.81     1.20    -9999
NORILSK    010415 300  233000-233500   00     104.76 1010.1     99.68     2.10    -9999
NORILSK    010415 300  233500-234000   00     105.82 1010.0    100.64     3.10    -9999
NORILSK    010415 300  234000-234500   00     103.87 1010.0     98.75     1.10    -9999
NORILSK    010415 300  234500-235000   00     106.90 1009.9    101.59     4.00    -9999
NORILSK    010415 300  235000-235500   00     103.10 1009.9     97.94     0.30    -9999
NORILSK    010415 300  235500-240000   00     106.12 1009.8    100.76     3.20    -9999
NORILSK    010416 3600 000000-010000   00     105.22 1009.4     99.62     2.00    -9999
NORILSK    010416 3600 010000-020000   00     106.54 1008.6    100.30     2.70    -9999
NORILSK    010416 3600 020000-030000   00     106.87 1008.0    100.19     2.60    -9999
NORILSK    010416 3600 030000-040000   00     107.26 1007.7    100.34     2.70    -9999
NORILSK    010416 3600 040000-050000   00     107.60 1007.3    100.37     2.80    -9999
NORILSK    010416 3600 050000-060000   00     107.71 1007.0    100.25     2.70    -9999
NORILSK    010416 3600 060000-070000   00     107.49 1006.6     99.77     2.20    -9999
NORILSK    010416 3600 070000-080000   00     107.64 1006.6     99.91     2.30    -9999
NORILSK    010416 3600 080000-090000   00     107.38 1006.8     99.80     2.20    -9999
NORILSK    010416 3600 090000-100000   00     107.38 1007.1    100.02     2.40    -9999
NORILSK    010416 3600 100000-110000   00     107.90 1007.4    100.72     3.10    -9999
NORILSK    010416 3600 110000-120000   00     106.90 1007.5     99.85     2.20    -9999
NORILSK    010416 3600 120000-130000   00     106.77 1007.6     99.81     2.20    -9999
NORILSK    010416 3600 130000-140000   00     106.79 1007.5     99.76     2.20    -9999
NORILSK    010416 3600 140000-150000   00     105.66 1007.4     98.63     1.00    -9999
NORILSK    010416 3600 150000-160000   00     105.66 1007.3     98.56     0.90    -9999
NORILSK    010416 3600 160000-170000   00     104.94 1007.6     98.09     0.40    -9999
NORILSK    010416 3600 170000-180000   00     104.98 1007.8     98.28     0.60    -9999
NORILSK    010416 3600 180000-190000   00     104.75 1007.9     98.13     0.50    -9999
NORILSK    010416 3600 190000-200000   00     105.07 1008.2     98.63     1.00    -9999
NORILSK    010416 3600 200000-210000   00     105.03 1008.2     98.60     1.00    -9999
NORILSK    010416 3600 210000-220000   00     105.12 1008.4     98.82     1.20    -9999
NORILSK    010416 3600 220000-230000   00     105.01 1008.5     98.79     1.20    -9999
NORILSK    010416 3600 230000-240000   00     104.98 1008.7     98.90     1.30    -9999
*
*	
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2023-04-05 10:02:56 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE60/C060NRLK_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
