NOVOSIBIRS LATITUDE    54.8      LONGITUDE     83        ALTITUDE    0 M
NOVOSIBIRS INSTRUMENT   12-NM-64  NEUTRON MONITOR
NOVOSIBIRS STANDARD PRESSURE    985.5   MB     COEFFICIENT   -0.72     % / MB
NOVOSIBIRS PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
NOVOSIBIRS PRE-INCREASE AVERAGE COUNTING RATE    163.77      COUNTS PER SECOND
NOVOSIBIRS TIME INTERVALS    300         3600     
NOVOSIBIRS SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
NOVOSIBIRS 000714 300  181500-182000   00     164.27  985.5    164.28     0.30    -9999
NOVOSIBIRS 000714 300  182000-182500   00     163.41  985.5    163.42    -0.20    -9999
NOVOSIBIRS 000714 300  182500-183000   00     162.99  985.5    162.99    -0.50    -9999
NOVOSIBIRS 000714 300  183000-183500   00     163.84  985.5    163.84     0.00    -9999
NOVOSIBIRS 000714 300  183500-184000   00     161.71  985.5    161.70    -1.30    -9999
NOVOSIBIRS 000714 300  184000-184500   00     162.56  985.5    162.55    -0.70    -9999
NOVOSIBIRS 000714 300  184500-185000   00     164.69  985.5    164.67     0.60    -9999
NOVOSIBIRS 000714 300  185000-185500   00     164.27  985.5    164.24     0.30    -9999
NOVOSIBIRS 000714 300  185500-190000   00     162.13  985.5    162.09    -1.00    -9999
NOVOSIBIRS 000714 300  190000-190500   00     161.71  985.4    161.60    -1.30    -9999
NOVOSIBIRS 000714 300  190500-191000   00     164.27  985.4    164.15     0.20    -9999
NOVOSIBIRS 000714 300  191000-191500   00     164.27  985.4    164.15     0.20    -9999
NOVOSIBIRS 000714 300  191500-192000   00     165.12  985.4    165.00     0.70    -9999
NOVOSIBIRS 000714 300  192000-192500   00     163.84  985.4    163.72     0.00    -9999
NOVOSIBIRS 000714 300  192500-193000   00     164.27  985.4    164.15     0.20    -9999
NOVOSIBIRS 000714 300  193000-193500   00     163.84  985.4    163.72     0.00    -9999
NOVOSIBIRS 000714 300  193500-194000   00     163.84  985.4    163.73     0.00    -9999
NOVOSIBIRS 000714 300  194000-194500   00     162.13  985.4    162.04    -1.10    -9999
NOVOSIBIRS 000714 300  194500-195000   00     163.41  985.4    163.33    -0.30    -9999
NOVOSIBIRS 000714 300  195000-195500   00     163.84  985.4    163.77     0.00    -9999
NOVOSIBIRS 000714 300  195500-200000   00     162.56  985.5    162.51    -0.80    -9999
NOVOSIBIRS 000714 300  200000-200500   00     165.55  985.6    165.63     1.10    -9999
NOVOSIBIRS 000714 300  200500-201000   00     162.56  985.6    162.66    -0.70    -9999
NOVOSIBIRS 000714 300  201000-201500   00     163.41  985.6    163.52    -0.20    -9999
NOVOSIBIRS 000714 300  201500-202000   00     166.40  985.6    166.52     1.70    -9999
NOVOSIBIRS 000714 300  202000-202500   00     164.27  985.6    164.39     0.40    -9999
NOVOSIBIRS 000714 300  202500-203000   00     163.41  985.6    163.53    -0.10    -9999
NOVOSIBIRS 000714 300  203000-203500   00     160.85  985.6    160.97    -1.70    -9999
NOVOSIBIRS 000714 300  203500-204000   00     163.84  985.6    163.95     0.10    -9999
NOVOSIBIRS 000714 300  204000-204500   00     159.57  985.6    159.66    -2.50    -9999
NOVOSIBIRS 000714 300  204500-205000   00     162.13  985.6    162.21    -1.00    -9999
NOVOSIBIRS 000714 300  205000-205500   00     162.13  985.5    162.19    -1.00    -9999
NOVOSIBIRS 000714 300  205500-210000   00     164.69  985.5    164.72     0.60    -9999
NOVOSIBIRS 000714 300  210000-210500   00     162.56  985.4    162.40    -0.80    -9999
NOVOSIBIRS 000714 300  210500-211000   00     161.28  985.3    161.10    -1.60    -9999
NOVOSIBIRS 000714 300  211000-211500   00     161.71  985.3    161.50    -1.40    -9999
NOVOSIBIRS 000714 300  211500-212000   00     164.27  985.3    164.05     0.20    -9999
NOVOSIBIRS 000714 300  212000-212500   00     164.69  985.3    164.46     0.40    -9999
