SANAE8     LATITUDE    -71.67    LONGITUDE     -2.85     ALTITUDE    856 M
SANAE8     INSTRUMENT   4NM80    NEUTRON MONITOR	
SANAE8     STANDARD PRESSURE    892     mb     COEFFICIENT   -0.757    % / mb
SANAE8     PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
SANAE8     PRE-INCREASE AVERAGE COUNTING RATE      5.98      COUNTS PER SECOND
SANAE8     TIME INTERVALS    300         3600     
SANAE8     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
SANAE8     031029 300  024500-025000   00       6.30  890.2      6.22     3.90     1.63
SANAE8     031029 300  025000-025500   00       6.50  890.2      6.42     7.20     4.92
SANAE8     031029 300  025500-030000   00       6.73  890.2      6.63    10.90     8.61
SANAE8     031029 300  030000-030500   00       6.60  890.2      6.51     8.80     6.50
SANAE8     031029 300  030500-031000   00       6.52  890.2      6.43     7.50     5.19
SANAE8     031029 300  031000-031500   00       6.53  890.2      6.44     7.60     5.28
SANAE8     031029 300  031500-032000   00       6.54  890.1      6.45     7.80     5.47
SANAE8     031029 300  032000-032500   00       6.52  890.1      6.42     7.40     5.06
SANAE8     031029 300  032500-033000   00       6.72  890.1      6.62    10.60     8.25
SANAE8     031029 300  033000-033500   00       6.29  890.1      6.20     3.60     1.24
SANAE8     031029 300  033500-034000   00       6.73  890.1      6.64    10.90     8.53
SANAE8     031029 300  034000-034500   00       6.52  890.1      6.43     7.40     5.02
SANAE8     031029 300  034500-035000   00       6.71  890.0      6.61    10.50     8.11
SANAE8     031029 300  035000-035500   00       6.68  890.0      6.58    10.00     7.60
SANAE8     031029 300  035500-040000   00       6.60  890.0      6.50     8.70     6.29
SANAE8     031029 300  040000-040500   00       6.55  890.0      6.45     7.70     5.28
SANAE8     031029 300  040500-041000   00       6.58  890.0      6.48     8.20     5.77
SANAE8     031029 300  041000-041500   00       6.65  889.9      6.55     9.50     7.06
SANAE8     031029 300  041500-042000   00       6.59  889.9      6.48     8.30     5.85
SANAE8     031029 300  042000-042500   00       6.56  889.9      6.46     8.00     5.54
SANAE8     031029 300  042500-043000   00       6.68  889.9      6.57     9.90     7.43
SANAE8     031029 300  043000-043500   00       6.50  889.8      6.40     6.90     4.42
SANAE8     031029 300  043500-044000   00       6.31  889.8      6.21     3.70     1.21
SANAE8     031029 300  044000-044500   00       6.51  889.8      6.40     7.00     4.50
SANAE8     031029 300  044500-045000   00       6.75  889.8      6.64    10.90     8.39
SANAE8     031029 300  045000-045500   00       6.64  889.7      6.53     9.10     6.58
SANAE8     031029 300  045500-050000   00       6.48  889.7      6.37     6.40     3.87
SANAE8     031029 300  050000-050500   00       6.49  889.7      6.38     6.70     4.16
SANAE8     031029 300  050500-051000   00       6.47  889.7      6.36     6.20     3.65
SANAE8     031029 300  051000-051500   00       6.66  889.7      6.54     9.40     6.84
SANAE8     031029 300  051500-052000   00       6.51  889.8      6.40     6.90     4.33
SANAE8     031029 300  052000-052500   00       6.50  889.8      6.40     6.90     4.32
SANAE8     031029 300  052500-053000   00       6.76  889.8      6.65    11.10     8.51
SANAE8     031029 300  053000-053500   00       6.69  889.8      6.58    10.00     7.40
SANAE8     031029 300  053500-054000   00       6.38  889.8      6.28     5.00     2.39
SANAE8     031029 300  054000-054500   00       6.70  889.8      6.60    10.20     7.58
SANAE8     031029 300  054500-055000   00       6.95  889.9      6.84    14.30    11.67
SANAE8     031029 300  055000-055500   00       6.48  889.9      6.37     6.50     3.86
SANAE8     031029 300  055500-060000   00       6.80  889.9      6.70    11.90     9.25
SANAE8     031029 300  060000-060500   00       6.63  889.9      6.53     9.10     6.44
SANAE8     031029 300  060500-061000   00       6.64  889.9      6.53     9.20     6.53
SANAE8     031029 300  061000-061500   00       6.19  890.0      6.10     1.90    -0.78
SANAE8     031029 300  061500-062000   00       6.20  890.0      6.11     2.10    -0.59
SANAE8     031029 300  062000-062500   00       6.34  890.0      6.25     4.40     1.70
SANAE8     031029 300  062500-063000   00       6.35  890.1      6.26     4.60     1.89
SANAE8     031029 300  063000-063500   00       6.38  890.1      6.29     5.20     2.48
SANAE8     031029 300  063500-064000   00       6.39  890.1      6.30     5.40     2.67
SANAE8     031029 300  064000-064500   00       6.00  890.2      5.92    -1.10    -3.84
SANAE8     031029 300  064500-065000   00       6.22  890.2      6.14     2.60    -0.15
SANAE8     031029 300  065000-065500   00       6.21  890.2      6.13     2.50    -0.26
SANAE8     031029 300  065500-070000   00       6.44  890.3      6.36     6.30     3.53
SANAE8     031029 300  070000-070500   00       6.33  890.3      6.25     4.40     1.62
SANAE8     031029 300  070500-071000   00       6.21  890.3      6.13     2.40    -0.39
SANAE8     031029 300  071000-071500   00       6.32  890.3      6.23     4.20     1.40
SANAE8     031029 300  071500-072000   00       6.36  890.2      6.27     4.90     2.09
SANAE8     031029 300  072000-072500   00       6.44  890.2      6.36     6.20     3.38
SANAE8     031029 300  072500-073000   00       6.21  890.2      6.13     2.40    -0.43
SANAE8     031029 300  073000-073500   00       6.22  890.2      6.13     2.50    -0.34
SANAE8     031029 300  073500-074000   00       6.40  890.2      6.31     5.50     2.65
SANAE8     031029 300  074000-074500   00       6.18  890.2      6.09     1.90    -0.96
SANAE8     031029 300  074500-075000   00       6.18  890.1      6.10     1.90    -0.97
SANAE8     031029 300  075000-075500   00       6.17  890.1      6.08     1.60    -1.28
SANAE8     031029 300  075500-080000   00       6.36  890.1      6.27     4.80     1.91
SANAE8     031029 300  080000-080500   00       6.28  890.1      6.19     3.50     0.60
SANAE8     031029 300  080500-081000   00       6.25  890.1      6.16     3.00    -9999
SANAE8     031029 300  081000-081500   00       6.24  890.1      6.15     2.80    -9999
SANAE8     031029 300  081500-082000   00       6.15  890.1      6.06     1.30    -9999
SANAE8     031029 300  082000-082500   00       6.16  890.1      6.07     1.40    -9999
SANAE8     031029 300  082500-083000   00       6.29  890.1      6.21     3.70    -9999
SANAE8     031029 300  083000-083500   00       6.24  890.1      6.16     2.90    -9999
SANAE8     031029 300  083500-084000   00       6.11  890.1      6.03     0.70    -9999
SANAE8     031029 300  084000-084500   00       6.15  890.1      6.07     1.40    -9999
SANAE8     031029 300  084500-085000   00       6.11  890.1      6.02     0.60    -9999
SANAE8     031029 300  085000-085500   00       6.30  890.1      6.20     3.70    -9999
SANAE8     031029 300  085500-090000   00       6.22  890.1      6.13     2.50    -9999
SANAE8     031029 300  090000-090500   00       6.17  890.1      6.08     1.70    -9999
SANAE8     031029 300  090500-091000   00       6.14  890.1      6.05     1.10    -9999
SANAE8     031029 300  091000-091500   00       6.55  890.1      6.46     7.90    -9999
SANAE8     031029 300  091500-092000   00       6.24  890.0      6.15     2.80    -9999
SANAE8     031029 300  092000-092500   00       6.32  890.0      6.23     4.10    -9999
SANAE8     031029 300  092500-093000   00       6.13  890.0      6.04     0.90    -9999
SANAE8     031029 300  093000-093500   00       6.18  890.0      6.09     1.70    -9999
SANAE8     031029 300  093500-094000   00       6.25  890.0      6.16     2.90    -9999
SANAE8     031029 300  094000-094500   00       6.16  890.0      6.07     1.30    -9999
SANAE8     031029 300  094500-095000   00       6.28  889.9      6.18     3.30    -9999
SANAE8     031029 300  095000-095500   00       6.46  889.9      6.36     6.30    -9999
SANAE8     031029 300  095500-100000   00       6.25  889.9      6.15     2.80    -9999
SANAE8     031029 300  100000-100500   00       5.94  889.9      5.85    -2.20    -9999
