JUNGFRAU   LATITUDE    46.55     LONGITUDE     7.98      ALTITUDE    3475 M
JUNGFRAU   INSTRUMENT   3-NM-64  NEUTRON MONITOR	
JUNGFRAU   STANDARD PRESSURE    642.5   MB     COEFFICIENT   -0.72     % / MB
JUNGFRAU   PRE-INCREASE BASELINE TIME INTERVAL    211028    130000-150000   UT
JUNGFRAU   PRE-INCREASE AVERAGE COUNTING RATE    165.13      COUNTS PER SECOND
JUNGFRAU   TIME INTERVALS    300         3600     
JUNGFRAU   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
JUNGFRAU   211028 300  205000-205500   00     168.02  658.1    161.40    -2.26    -9999
JUNGFRAU   211028 300  205500-210000   00     169.95  658.0    163.18    -1.18    -9999
JUNGFRAU   211028 300  210000-210500   00     170.46  658.0    163.72    -0.86    -9999
JUNGFRAU   211028 300  210500-211000   00     170.54  657.8    163.64    -0.90    -9999
JUNGFRAU   211028 300  211000-211500   00     170.12  657.8    163.23    -1.15    -9999
JUNGFRAU   211028 300  211500-212000   00     168.96  657.9    162.14    -1.81    -9999
JUNGFRAU   211028 300  212000-212500   00     170.35  657.9    163.45    -1.02    -9999
JUNGFRAU   211028 300  212500-213000   00     169.58  657.9    162.67    -1.49    -9999
JUNGFRAU   211028 300  213000-213500   00     169.20  657.8    162.27    -1.73    -9999
JUNGFRAU   211028 300  213500-214000   00     171.23  657.8    164.24    -0.54    -9999
JUNGFRAU   211028 300  214000-214500   00     169.75  657.8    162.84    -1.38    -9999
JUNGFRAU   211028 300  214500-215000   00     168.97  657.7    161.91    -1.95    -9999
JUNGFRAU   211028 300  215000-215500   00     171.55  657.7    164.39    -0.45    -9999
JUNGFRAU   211028 300  215500-220000   00     169.64  657.6    162.48    -1.60    -9999
JUNGFRAU   211028 300  220000-220500   00     170.77  657.6    163.53    -0.97    -9999
JUNGFRAU   211028 300  220500-221000   00     171.31  657.5    163.77    -0.83    -9999
JUNGFRAU   211028 300  221000-221500   00     169.92  657.5    162.68    -1.48    -9999
JUNGFRAU   211028 300  221500-222000   00     170.73  657.4    163.26    -1.13    -9999
JUNGFRAU   211028 300  222000-222500   00     172.41  657.3    164.76    -0.22    -9999
JUNGFRAU   211028 300  222500-223000   00     170.98  657.4    163.41    -1.04    -9999
JUNGFRAU   211028 300  223000-223500   00     169.71  657.4    162.26    -1.74    -9999
JUNGFRAU   211028 300  223500-224000   00     172.01  657.2    164.25    -0.54    -9999
JUNGFRAU   211028 300  224000-224500   00     171.82  657.1    163.90    -0.74    -9999
JUNGFRAU   211028 300  224500-225000   00     171.31  657.1    163.48    -1.00    -9999
JUNGFRAU   211028 300  225000-225500   00     171.93  657.1    163.89    -0.75    -9999
JUNGFRAU   211028 300  225500-230000   00     170.24  657.0    162.34    -1.69    -9999
JUNGFRAU   211028 300  230000-230500   00     172.58  657.1    164.57    -0.34    -9999
JUNGFRAU   211028 300  230500-231000   00     171.19  657.1    163.30    -1.11    -9999
JUNGFRAU   211028 300  231000-231500   00     171.38  657.1    163.51    -0.98    -9999
JUNGFRAU   211028 300  231500-232000   00     170.66  657.1    162.83    -1.39    -9999
JUNGFRAU   211028 300  232000-232500   00     170.91  657.0    162.95    -1.32    -9999
JUNGFRAU   211028 300  232500-233000   00     171.41  656.9    163.25    -1.14    -9999
JUNGFRAU   211028 300  233000-233500   00     171.82  656.9    163.58    -0.94    -9999
JUNGFRAU   211028 300  233500-234000   00     169.49  657.0    161.48    -2.21    -9999
JUNGFRAU   211028 300  234000-234500   00     170.55  656.9    162.44    -1.63    -9999
JUNGFRAU   211028 300  234500-235000   00     172.07  656.9    163.92    -0.73    -9999
JUNGFRAU   211028 300  235000-235500   00     172.59  656.9    164.42    -0.43    -9999
JUNGFRAU   211028 300  235500-000000   00     170.70  656.9    162.57    -1.55    -9999
JUNGFRAU   211029 3600 000000-010000   00     172.48  656.7    164.02    -0.67    -9999
JUNGFRAU   211029 3600 010000-020000   00     172.19  656.5    163.64    -0.91    -9999
JUNGFRAU   211029 3600 020000-030000   00     173.83  656.1    164.73    -0.24    -9999
JUNGFRAU   211029 3600 030000-040000   00     173.41  655.8    163.96    -0.71    -9999
JUNGFRAU   211029 3600 040000-050000   00     174.49  655.5    164.61    -0.31    -9999
JUNGFRAU   211029 3600 050000-060000   00     174.92  655.2    164.59    -0.33    -9999
JUNGFRAU   211029 3600 060000-070000   00     175.88  655.1    165.37     0.14    -9999
JUNGFRAU   211029 3600 070000-080000   00     175.53  655.3    165.31     0.11    -9999
JUNGFRAU   211029 3600 080000-090000   00     175.31  655.5    165.29     0.09    -9999
JUNGFRAU   211029 3600 090000-100000   00     174.60  655.6    164.75    -0.23    -9999
JUNGFRAU   211029 3600 100000-110000   00     175.24  655.4    165.17     0.03    -9999
JUNGFRAU   211029 3600 110000-120000   00     175.39  655.2    165.03    -0.06    -9999
JUNGFRAU   211029 3600 120000-130000   00     176.06  654.9    165.32     0.11    -9999
JUNGFRAU   211029 3600 130000-140000   00     176.30  654.7    165.34     0.13    -9999
JUNGFRAU   211029 3600 140000-150000   00     176.29  654.7    165.35     0.14    -9999
JUNGFRAU   211029 3600 150000-160000   00     176.51  655.0    165.88     0.45    -9999
JUNGFRAU   211029 3600 160000-170000   00     176.24  654.8    165.39     0.15    -9999
JUNGFRAU   211029 3600 170000-180000   00     176.16  654.8    165.35     0.13    -9999
JUNGFRAU   211029 3600 180000-190000   00     175.28  655.0    164.73    -0.24    -9999
JUNGFRAU   211029 3600 190000-200000   00     175.39  654.9    164.64    -0.30    -9999
JUNGFRAU   211029 3600 200000-210000   00     175.76  654.9    165.04    -0.05    -9999
JUNGFRAU   211029 3600 210000-220000   00     175.38  654.7    164.41    -0.43    -9999
JUNGFRAU   211029 3600 220000-230000   00     176.74  654.2    165.21     0.05    -9999
JUNGFRAU   211029 3600 230000-000000   00     177.65  653.4    165.07    -0.04    -9999
*
COMMENT  FILE COMPOSED BY ILYA USOSKIN OF THE UNIVERSITY OF OULU
COMMENT  DATA OBTAINED FROM NMDB (30.10.2021)
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2023-03-30 17:39:06 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE73/C073JUNG_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
