TSUMEB     LATITUDE    -19.2     LONGITUDE     17.6      ALTITUDE    1240 M
TSUMEB     INSTRUMENT   18NM64    NEUTRON MONITOR     
TSUMEB     STANDARD PRESSURE    660     MMHG   COEFFICIENT   0.935     % / MMHG
TSUMEB     PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
TSUMEB     PRE-INCREASE AVERAGE COUNTING RATE    348.81      COUNTS PER SECOND
TSUMEB     TIME INTERVALS    300         3600     
TSUMEB     SCALE FACTORS     1.066       1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
TSUMEB     061213 300  080000-080500   00     348.54  660.2    349.19     0.10    -9999
TSUMEB     061213 300  080500-081000   00     350.99  660.2    351.52     0.80    -9999
TSUMEB     061213 300  081000-081500   00     351.38  660.2    351.90     0.90    -9999
TSUMEB     061213 300  081500-082000   00     352.55  660.1    352.88     1.20    -9999
TSUMEB     061213 300  082000-082500   00     348.48  660.1    348.80     0.00    -9999
TSUMEB     061213 300  082500-083000   00     349.09  660.1    349.41     0.20    -9999
TSUMEB     061213 300  083000-083500   00     351.58  660.0    351.71     0.80    -9999
TSUMEB     061213 300  083500-084000   00     351.17  660.0    351.17     0.70    -9999
TSUMEB     061213 300  084000-084500   00     351.26  660.0    351.26     0.70    -9999
TSUMEB     061213 300  084500-085000   00     351.85  660.0    351.85     0.90    -9999
TSUMEB     061213 300  085000-085500   00     349.72  659.9    349.39     0.10    -9999
TSUMEB     061213 300  085500-090000   00     350.78  659.8    350.26     0.40    -9999
TSUMEB     061213 300  090000-090500   00     352.96  659.8    352.30     1.00    -9999
TSUMEB     061213 300  090500-091000   00     352.09  659.7    351.17     0.70    -9999
TSUMEB     061213 300  091000-091500   00     354.61  659.8    353.82     1.40    -9999
TSUMEB     061213 300  091500-092000   00     350.17  659.7    349.25     0.10    -9999
TSUMEB     061213 300  092000-092500   00     353.43  659.7    352.31     1.00    -9999
TSUMEB     061213 300  092500-093000   00     350.41  659.6    349.10     0.10    -9999
TSUMEB     061213 300  093000-093500   00     355.43  659.6    354.04     1.50    -9999
TSUMEB     061213 300  093500-094000   00     351.73  659.5    350.09     0.30    -9999
TSUMEB     061213 300  094000-094500   00     354.68  659.4    352.76     1.10    -9999
TSUMEB     061213 300  094500-095000   00     353.41  659.4    351.43     0.70    -9999
TSUMEB     061213 300  095000-095500   00     351.89  659.3    349.54     0.20    -9999
TSUMEB     061213 300  095500-100000   00     351.95  659.3    349.65     0.20    -9999
TSUMEB     061213 300  100000-100500   00     353.26  659.3    350.89     0.60    -9999
TSUMEB     061213 300  100500-101000   00     356.69  659.2    354.10     1.50    -9999
TSUMEB     061213 300  101000-101500   00     354.53  659.1    351.62     0.80    -9999
TSUMEB     061213 300  101500-102000   00     355.23  659.1    352.25     1.00    -9999
TSUMEB     061213 300  102000-102500   00     354.71  659.1    351.67     0.80    -9999
TSUMEB     061213 300  102500-103000   00     352.23  659.0    349.08     0.10    -9999
TSUMEB     061213 300  103000-103500   00     354.87  659.0    351.57     0.80    -9999
TSUMEB     061213 300  103500-104000   00     355.68  659.0    352.37     1.00    -9999
TSUMEB     061213 300  104000-104500   00     356.58  658.9    353.00     1.20    -9999
TSUMEB     061213 300  104500-105000   00     355.29  658.9    351.52     0.80    -9999
TSUMEB     061213 300  105000-105500   00     355.36  658.8    351.33     0.70    -9999
TSUMEB     061213 300  105500-110000   00     357.32  658.7    353.14     1.20    -9999
TSUMEB     061213 300  110000-110500   00     355.52  658.7    351.16     0.70    -9999
TSUMEB     061213 300  110500-111000   00     356.69  658.6    352.05     0.90    -9999
TSUMEB     061213 300  111000-111500   00     353.72  658.5    348.86     0.00    -9999
TSUMEB     061213 300  111500-112000   00     356.16  658.5    351.20     0.70    -9999
TSUMEB     061213 300  112000-112500   00     353.73  658.4    348.54    -0.10    -9999
TSUMEB     061213 300  112500-113000   00     355.65  658.4    350.30     0.40    -9999
TSUMEB     061213 300  113000-113500   00     354.45  658.3    348.74     0.00    -9999
TSUMEB     061213 300  113500-114000   00     357.32  658.2    351.36     0.70    -9999
TSUMEB     061213 300  114000-114500   00     356.85  658.2    350.83     0.60    -9999
TSUMEB     061213 300  114500-115000   00     356.11  658.1    349.71     0.30    -9999
TSUMEB     061213 300  115000-115500   00     359.50  658.0    352.84     1.20    -9999
TSUMEB     061213 300  115500-120000   00     357.85  658.0    351.09     0.60    -9999
TSUMEB     061213 300  120000-120500   00     356.09  657.9    349.23     0.10    -9999
TSUMEB     061213 300  120500-121000   00     359.47  657.8    352.28     1.00    -9999
TSUMEB     061213 300  121000-121500   00     353.64  657.8    346.37    -0.70    -9999
TSUMEB     061213 300  121500-122000   00     355.48  657.7    347.98    -0.20    -9999
TSUMEB     061213 300  122000-122500   00     359.13  657.7    351.49     0.80    -9999
TSUMEB     061213 300  122500-123000   00     361.33  657.6    353.44     1.30    -9999
TSUMEB     061213 300  123000-123500   00     359.04  657.6    350.95     0.60    -9999
TSUMEB     061213 300  123500-124000   00     360.23  657.5    351.91     0.90    -9999
TSUMEB     061213 300  124000-124500   00     358.83  657.4    350.34     0.50    -9999
TSUMEB     061213 300  124500-125000   00     361.09  657.4    352.28     1.00    -9999
TSUMEB     061213 300  125000-125500   00     362.29  657.3    353.33     1.30    -9999
TSUMEB     061213 300  125500-130000   00     361.43  657.2    352.22     1.00    -9999
TSUMEB     061213 300  130000-130500   00     358.61  657.2    349.35     0.20    -9999
TSUMEB     061213 300  130500-131000   00     360.69  657.2    351.37     0.70    -9999
TSUMEB     061213 300  131000-131500   00     363.60  657.1    354.01     1.50    -9999
TSUMEB     061213 300  131500-132000   00     359.06  657.1    349.45     0.20    -9999
TSUMEB     061213 300  132000-132500   00     358.01  657.1    348.37    -0.10    -9999
TSUMEB     061213 300  132500-133000   00     361.40  657.0    351.47     0.80    -9999
TSUMEB     061213 300  133000-133500   00     359.15  657.0    349.21     0.10    -9999
TSUMEB     061213 300  133500-134000   00     361.72  657.0    351.58     0.80    -9999
TSUMEB     061213 300  134000-134500   00     362.26  656.9    351.85     0.90    -9999
TSUMEB     061213 300  134500-135000   00     360.11  656.9    349.76     0.30    -9999
TSUMEB     061213 300  135000-135500   00     358.90  656.8    348.32    -0.10    -9999
TSUMEB     061213 300  135500-140000   00     365.75  656.8    354.97     1.80    -9999
TSUMEB     061213 300  140000-140500   00     362.25  656.8    351.57     0.80    -9999
TSUMEB     061213 300  140500-141000   00     361.82  656.7    350.82     0.60    -9999
TSUMEB     061213 300  141000-141500   00     362.17  656.6    350.96     0.60    -9999
TSUMEB     061213 300  141500-142000   00     360.43  656.6    349.16     0.10    -9999
TSUMEB     061213 300  142000-142500   00     361.71  656.6    350.32     0.40    -9999
TSUMEB     061213 300  142500-143000   00     359.00  656.5    347.44    -0.40    -9999
TSUMEB     061213 300  143000-143500   00     361.89  656.4    349.98     0.30    -9999
TSUMEB     061213 300  143500-144000   00     363.70  656.4    351.79     0.80    -9999
TSUMEB     061213 300  144000-144500   00     361.69  656.4    349.78     0.30    -9999
TSUMEB     061213 300  144500-145000   00     363.84  656.4    351.80     0.90    -9999
TSUMEB     061213 300  145000-145500   00     362.68  656.4    350.67     0.50    -9999
TSUMEB     061213 300  145500-150000   00     356.65  656.4    344.85    -1.10    -9999
TSUMEB     061213 300  150000-150500   00     361.45  656.3    349.30     0.20    -9999
TSUMEB     061213 300  150500-151000   00     366.34  656.4    354.22     1.60    -9999
TSUMEB     061213 300  151000-151500   00     362.93  656.4    350.91     0.60    -9999
TSUMEB     061213 300  151500-152000   00     361.98  656.3    349.81     0.30    -9999
TSUMEB     061213 300  152000-152500   00     360.93  656.3    348.66    -0.10    -9999
TSUMEB     061213 300  152500-153000   00     362.65  656.3    350.32     0.40    -9999
TSUMEB     061213 300  153000-153500   00     360.46  656.3    348.20    -0.20    -9999
TSUMEB     061213 300  153500-154000   00     364.05  656.3    351.74     0.80    -9999
TSUMEB     061213 300  154000-154500   00     363.21  656.3    350.86     0.60    -9999
TSUMEB     061213 300  154500-155000   00     360.32  656.3    348.20    -0.20    -9999
TSUMEB     061213 300  155000-155500   00     362.88  656.4    350.87     0.60    -9999
TSUMEB     061213 300  155500-160000   00     362.87  656.3    350.66     0.50    -9999
TSUMEB     061213 300  160000-160500   00     363.12  656.4    351.10     0.70    -9999
TSUMEB     061213 300  160500-161000   00     361.37  656.4    349.41     0.10    -9999
TSUMEB     061213 300  161000-161500   00     362.18  656.4    350.20     0.40    -9999
TSUMEB     061213 300  161500-162000   00     364.45  656.4    352.38     1.00    -9999
TSUMEB     061213 300  162000-162500   00     364.61  656.4    352.54     1.10    -9999
TSUMEB     061213 300  162500-163000   00     363.16  656.5    351.33     0.70    -9999
TSUMEB     061213 300  163000-163500   00     361.42  656.5    349.79     0.30    -9999
TSUMEB     061213 300  163500-164000   00     364.36  656.5    352.76     1.10    -9999
TSUMEB     061213 300  164000-164500   00     362.44  656.6    351.10     0.70    -9999
TSUMEB     061213 300  164500-165000   00     360.88  656.6    349.72     0.30    -9999
TSUMEB     061213 300  165000-165500   00     362.28  656.7    351.27     0.70    -9999
TSUMEB     061213 300  165500-170000   00     358.95  656.7    348.17    -0.20    -9999
TSUMEB     061213 300  170000-170500   00     361.00  656.8    350.36     0.50    -9999
TSUMEB     061213 300  170500-171000   00     359.94  656.8    349.33     0.10    -9999
TSUMEB     061213 300  171000-171500   00     359.11  656.9    348.78     0.00    -9999
TSUMEB     061213 300  171500-172000   00     357.70  656.9    347.55    -0.40    -9999
TSUMEB     061213 300  172000-172500   00     358.85  657.0    348.92     0.00    -9999
TSUMEB     061213 300  172500-173000   00     361.59  657.0    351.59     0.80    -9999
TSUMEB     061213 300  173000-173500   00     357.71  657.1    348.14    -0.20    -9999
TSUMEB     061213 300  173500-174000   00     356.90  657.1    347.35    -0.40    -9999
