SOUTH POLE LATITUDE    -90       LONGITUDE     0         ALTITUDE    2820 M
SOUTH POLE INSTRUMENT   IGY     NEUTRON MONITOR	
SOUTH POLE STANDARD PRESSURE    510     MMHG   COEFFICIENT   -1        % / MMHG
SOUTH POLE PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
SOUTH POLE PRE-INCREASE AVERAGE COUNTING RATE    236.96      COUNTS PER SECOND
SOUTH POLE TIME INTERVALS    300         3600     
SOUTH POLE SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
SOUTH POLE 000714 300  235000-235500   00     222.34  518.2    241.40     1.80     1.47
SOUTH POLE 000714 300  235500-240000   00     223.69  518.2    242.85     2.40     2.07
SOUTH POLE 000715 3600 000000-010000   00     221.39  518.2    240.31     1.30     0.95
SOUTH POLE 000715 3600 010000-020000   00     220.75  518.4    240.08     1.30     0.91
SOUTH POLE 000715 3600 020000-030000   00     218.67  518.9    239.03     0.80     0.37
SOUTH POLE 000715 3600 030000-040000   00     217.92  519.1    238.69     0.70     0.24
SOUTH POLE 000715 3600 040000-050000   00     216.83  519.4    238.19     0.50     0.00
SOUTH POLE 000715 3600 050000-060000   00     215.56  519.5    237.03     0.00    -9999
SOUTH POLE 000715 3600 060000-070000   00     214.58  519.7    236.44    -0.30    -9999
SOUTH POLE 000715 3600 070000-080000   00     213.67  520.0    236.14    -0.40    -9999
SOUTH POLE 000715 3600 080000-090000   00     215.00  520.3    238.33     0.50    -9999
SOUTH POLE 000715 3600 090000-100000   00     215.36  520.3    238.75     0.70    -9999
SOUTH POLE 000715 3600 100000-110000   00     213.86  520.4    237.31     0.10    -9999
SOUTH POLE 000715 3600 110000-120000   00     212.17  520.8    236.36    -0.30    -9999
SOUTH POLE 000715 3600 120000-130000   00     211.31  520.8    235.42    -0.70    -9999
SOUTH POLE 000715 3600 130000-140000   00     210.08  521.0    234.50    -1.10    -9999
SOUTH POLE 000715 3600 140000-150000   00     208.89  521.2    233.64    -1.50    -9999
SOUTH POLE 000715 3600 150000-160000   00     208.81  521.3    233.78    -1.40    -9999
SOUTH POLE 000715 3600 160000-170000   00     203.78  521.4    228.39    -3.70    -9999
SOUTH POLE 000715 3600 170000-180000   00     202.19  521.5    226.83    -4.30    -9999
SOUTH POLE 000715 3600 180000-190000   00     202.03  521.7    227.11    -4.20    -9999
SOUTH POLE 000715 3600 190000-200000   00     199.58  521.8    224.58    -5.30    -9999
SOUTH POLE 000715 3600 200000-210000   00     193.78  521.9    218.25    -8.00    -9999
SOUTH POLE 000715 3600 210000-220000   00     190.11  521.7    213.69    -9.90    -9999
SOUTH POLE 000715 3600 220000-230000   00     185.81  521.7    208.89   -11.90    -9999
SOUTH POLE 000715 3600 230000-240000   00     185.69  521.6    208.56   -12.00    -9999
*
*	
COMMENT    PRELIMINARY DATA ROGER PYLE, BARTOL RESEARCH INSTITUTE, 12 AUG 2000	
COMMENT    PREINCREASE RATE VERIFIED AND CORRECTED (IU)	
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2022-05-13 14:50:50 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE59/C059SOPO_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
