YAKUTSK    LATITUDE    62.02     LONGITUDE     129.72    ALTITUDE    105 M
YAKUTSK    INSTRUMENT   18NM64    NEUTRON MONITOR     	
YAKUTSK    STANDARD PRESSURE    991.6   mb     COEFFICIENT   -0.72     % / mb
YAKUTSK    PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
YAKUTSK    PRE-INCREASE AVERAGE COUNTING RATE     10.97      COUNTS PER SECOND
YAKUTSK    TIME INTERVALS    300         3600     
YAKUTSK    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
YAKUTSK    031028 300  203500-204000   00      11.12  995.9     11.46     4.50     4.50
YAKUTSK    031028 300  204000-204500   00      11.18  995.9     11.53     5.20     5.20
YAKUTSK    031028 300  204500-205000   00      11.08  995.9     11.43     4.20     4.20
YAKUTSK    031028 300  205000-205500   00      11.12  995.9     11.47     4.50     4.50
YAKUTSK    031028 300  205500-210000   00      11.00  995.9     11.35     3.50     3.50
YAKUTSK    031028 300  210000-210500   00      11.15  995.9     11.50     4.90     4.90
YAKUTSK    031028 300  210500-211000   00      11.03  995.9     11.38     3.80     3.80
YAKUTSK    031028 300  211000-211500   00      11.13  995.9     11.49     4.70     4.70
YAKUTSK    031028 300  211500-212000   00      11.12  996.0     11.47     4.60     4.60
YAKUTSK    031028 300  212000-212500   00      11.02  996.0     11.37     3.70     3.70
YAKUTSK    031028 300  212500-213000   00      11.13  996.0     11.49     4.80     4.80
YAKUTSK    031028 300  213000-213500   00      10.90  996.0     11.25     2.60     2.60
YAKUTSK    031028 300  213500-214000   00      11.00  996.0     11.36     3.50     3.50
YAKUTSK    031028 300  214000-214500   00      11.05  996.0     11.41     4.00     4.00
YAKUTSK    031028 300  214500-215000   00      11.05  996.1     11.41     4.00     4.00
YAKUTSK    031028 300  215000-215500   00      10.93  996.1     11.29     3.00     3.00
YAKUTSK    031028 300  215500-220000   00      11.12  996.1     11.48     4.70     4.70
YAKUTSK    031028 300  220000-220500   00      11.08  996.1     11.45     4.40     4.40
YAKUTSK    031028 300  220500-221000   00      10.98  996.1     11.35     3.50     3.50
YAKUTSK    031028 300  221000-221500   00      11.13  996.1     11.50     4.90     4.90
YAKUTSK    031028 300  221500-222000   00      11.10  996.1     11.47     4.60     4.60
YAKUTSK    031028 300  222000-222500   00      11.02  996.1     11.38     3.80     3.80
YAKUTSK    031028 300  222500-223000   00      11.08  996.1     11.45     4.40     4.40
YAKUTSK    031028 300  223000-223500   00      11.18  996.2     11.56     5.40     5.40
YAKUTSK    031028 300  223500-224000   00      11.08  996.2     11.45     4.40     4.40
YAKUTSK    031028 300  224000-224500   00      11.23  996.2     11.61     5.90     5.90
YAKUTSK    031028 300  224500-225000   00      10.97  996.2     11.33     3.40     3.40
YAKUTSK    031028 300  225000-225500   00      11.10  996.2     11.47     4.60     4.60
YAKUTSK    031028 300  225500-230000   00      10.82  996.2     11.18     1.90     1.90
YAKUTSK    031028 300  230000-230500   00      11.12  996.2     11.49     4.80     4.80
YAKUTSK    031028 300  230500-231000   00      11.00  996.2     11.37     3.70     3.70
YAKUTSK    031028 300  231000-231500   00      11.07  996.3     11.45     4.40     4.40
YAKUTSK    031028 300  231500-232000   00      11.03  996.3     11.41     4.10     4.10
YAKUTSK    031028 300  232000-232500   00      11.15  996.3     11.54     5.20     5.20
YAKUTSK    031028 300  232500-233000   00      11.07  996.4     11.45     4.40     4.40
YAKUTSK    031028 300  233000-233500   00      11.10  996.4     11.49     4.80     4.80
YAKUTSK    031028 300  233500-234000   00      11.05  996.4     11.44     4.30     4.30
YAKUTSK    031028 300  234000-234500   00      11.10  996.5     11.50     4.80     4.80
YAKUTSK    031028 300  234500-235000   00      11.12  996.5     11.52     5.00     5.00
YAKUTSK    031028 300  235000-235500   00      11.03  996.5     11.43     4.30     4.30
YAKUTSK    031028 300  235500-240000   00      10.88  996.6     11.28     2.90     2.90
YAKUTSK    031029 300  000000-000500   00      11.20  996.6     11.61     5.90     5.90
YAKUTSK    031029 300  000500-001000   00      10.95  996.7     11.36     3.60     3.60
YAKUTSK    031029 300  001000-001500   00      11.12  996.7     11.53     5.20     5.20
YAKUTSK    031029 300  001500-002000   00      10.92  996.7     11.33     3.30     3.30
YAKUTSK    031029 300  002000-002500   00      10.87  996.8     11.28     2.90     2.90
YAKUTSK    031029 300  002500-003000   00      11.07  996.8     11.49     4.80     4.80
YAKUTSK    031029 300  003000-003500   00      11.03  996.9     11.46     4.50     4.50
YAKUTSK    031029 300  003500-004000   00      11.02  996.9     11.45     4.40     4.40
YAKUTSK    031029 300  004000-004500   00      11.10  997.0     11.54     5.20     5.20
YAKUTSK    031029 300  004500-005000   00      11.00  997.0     11.44     4.30     4.30
YAKUTSK    031029 300  005000-005500   00      10.95  997.0     11.39     3.80     3.80
YAKUTSK    031029 300  005500-010000   00      10.98  997.1     11.42     4.20     4.20
YAKUTSK    031029 300  010000-010500   00      10.88  997.1     11.32     3.30     3.30
YAKUTSK    031029 300  010500-011000   00      11.00  997.2     11.45     4.40     4.40
YAKUTSK    031029 300  011000-011500   00      10.83  997.2     11.28     2.90     2.90
YAKUTSK    031029 300  011500-012000   00      11.00  997.3     11.46     4.50     4.50
YAKUTSK    031029 300  012000-012500   00      11.02  997.3     11.48     4.70     4.70
YAKUTSK    031029 300  012500-013000   00      11.08  997.4     11.55     5.40     5.40
YAKUTSK    031029 300  013000-013500   00      10.93  997.4     11.40     4.00     4.00
YAKUTSK    031029 300  013500-014000   00      11.03  997.5     11.51     5.00     5.00
YAKUTSK    031029 300  014000-014500   00      11.08  997.5     11.57     5.50     5.50
YAKUTSK    031029 300  014500-015000   00      10.87  997.6     11.34     3.40     3.40
YAKUTSK    031029 300  015000-015500   00      11.07  997.6     11.56     5.40     5.40
YAKUTSK    031029 300  015500-020000   00      10.75  997.7     11.23     2.40     2.40
YAKUTSK    031029 300  020000-020500   00      10.98  997.7     11.48     4.70     4.70
YAKUTSK    031029 300  020500-021000   00      11.00  997.8     11.50     4.90     4.90
YAKUTSK    031029 300  021000-021500   00      10.82  997.8     11.31     3.10     3.10
YAKUTSK    031029 300  021500-022000   00      10.98  997.8     11.49     4.80     4.80
YAKUTSK    031029 300  022000-022500   00      10.92  997.9     11.42     4.20     4.20
YAKUTSK    031029 300  022500-023000   00      10.85  997.9     11.36     3.50     3.50
YAKUTSK    031029 300  023000-023500   00      11.00  998.0     11.52     5.00     5.00
YAKUTSK    031029 300  023500-024000   00      10.95  998.0     11.47     4.60     4.60
YAKUTSK    031029 300  024000-024500   00      10.93  998.0     11.45     4.40     4.40
YAKUTSK    031029 300  024500-025000   00      11.08  998.1     11.61     5.90     5.90
YAKUTSK    031029 300  025000-025500   00      10.87  998.1     11.39     3.90     3.90
YAKUTSK    031029 300  025500-030000   00      10.97  998.2     11.50     4.80     4.80
YAKUTSK    031029 300  030000-030500   00      11.00  998.2     11.54     5.20     5.20
YAKUTSK    031029 300  030500-031000   00      10.90  998.2     11.43     4.30     4.30
YAKUTSK    031029 300  031000-031500   00      10.98  998.3     11.52     5.10     5.10
YAKUTSK    031029 300  031500-032000   00      10.90  998.3     11.44     4.30     4.30
YAKUTSK    031029 300  032000-032500   00      10.83  998.3     11.37     3.70     3.70
YAKUTSK    031029 300  032500-033000   00      10.87  998.4     11.41     4.00     4.00
YAKUTSK    031029 300  033000-033500   00      10.97  998.4     11.52     5.00     5.00
YAKUTSK    031029 300  033500-034000   00      11.03  998.4     11.59     5.70     5.70
YAKUTSK    031029 300  034000-034500   00      10.95  998.5     11.51     4.90     4.90
YAKUTSK    031029 300  034500-035000   00      11.17  998.5     11.74     7.00     7.00
YAKUTSK    031029 300  035000-035500   00      10.75  998.5     11.30     3.10     3.10
YAKUTSK    031029 300  035500-040000   00      10.70  998.6     11.25     2.60     2.60
YAKUTSK    031029 300  040000-040500   00      10.92  998.6     11.48     4.70     4.70
YAKUTSK    031029 300  040500-041000   00      10.77  998.6     11.33     3.30     3.30
