MAGADAN    LATITUDE    60.1      LONGITUDE     151       ALTITUDE    0 M
MAGADAN    INSTRUMENT   18NM64    NEUTRON MONITOR     	
MAGADAN    STANDARD PRESSURE    972.7   mb     COEFFICIENT   -0.74     % / mb
MAGADAN    PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
MAGADAN    PRE-INCREASE AVERAGE COUNTING RATE    141.33      COUNTS PER SECOND
MAGADAN    TIME INTERVALS    300         3600     
MAGADAN    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
MAGADAN    010415 300  161000-161500   00     154.45  977.3    159.77    13.00    11.83
MAGADAN    010415 300  161500-162000   00     153.28  977.4    158.65    12.20    11.00
MAGADAN    010415 300  162000-162500   00     153.49  977.4    158.97    12.50    11.28
MAGADAN    010415 300  162500-163000   00     153.55  977.5    159.12    12.60    11.35
MAGADAN    010415 300  163000-163500   00     150.99  977.6    156.57    10.80     9.53
MAGADAN    010415 300  163500-164000   00     150.24  977.7    155.91    10.30     9.01
MAGADAN    010415 300  164000-164500   00     146.77  977.8    152.42     7.90     6.58
MAGADAN    010415 300  164500-165000   00     148.05  977.9    153.87     8.90     7.56
MAGADAN    010415 300  165000-165500   00     147.68  978.0    153.60     8.70     7.33
MAGADAN    010415 300  165500-170000   00     146.88  978.1    152.89     8.20     6.81
MAGADAN    010415 300  170000-170500   00     144.58  978.3    150.73     6.70     5.29
MAGADAN    010415 300  170500-171000   00     146.29  978.4    152.64     8.00     6.56
MAGADAN    010415 300  171000-171500   00     146.13  978.6    152.60     8.00     6.54
MAGADAN    010415 300  171500-172000   00     143.95  978.7    150.45     6.50     5.02
MAGADAN    010415 300  172000-172500   00     144.69  978.8    151.36     7.10     5.59
MAGADAN    010415 300  172500-173000   00     144.58  978.9    151.37     7.10     5.57
MAGADAN    010415 300  173000-173500   00     141.92  979.0    148.70     5.20     3.65
MAGADAN    010415 300  173500-174000   00     142.93  979.1    149.89     6.10     4.52
MAGADAN    010415 300  174000-174500   00     143.25  979.2    150.35     6.40     4.80
MAGADAN    010415 300  174500-175000   00     142.72  979.3    149.91     6.10     4.48
MAGADAN    010415 300  175000-175500   00     142.66  979.5    149.98     6.10     4.45
MAGADAN    010415 300  175500-180000   00     140.75  979.6    148.08     4.80     3.13
MAGADAN    010415 300  180000-180500   00     140.80  979.6    148.18     4.90     3.21
MAGADAN    010415 300  180500-181000   00     141.71  979.7    149.26     5.60     3.89
MAGADAN    010415 300  181000-181500   00     138.67  979.8    146.18     3.40     1.66
MAGADAN    010415 300  181500-182000   00     140.59  979.9    148.33     5.00     3.24
MAGADAN    010415 300  182000-182500   00     139.84  980.1    147.68     4.50     2.72
MAGADAN    010415 300  182500-183000   00     139.47  980.2    147.41     4.30     2.50
MAGADAN    010415 300  183000-183500   00     138.03  980.3    146.02     3.30     1.47
MAGADAN    010415 300  183500-184000   00     138.99  980.4    147.18     4.10     2.25
MAGADAN    010415 300  184000-184500   00     139.15  980.6    147.49     4.40     2.53
MAGADAN    010415 300  184500-185000   00     137.49  980.7    145.88     3.20     1.31
MAGADAN    010415 300  185000-185500   00     138.72  980.8    147.33     4.30     2.38
MAGADAN    010415 300  185500-190000   00     138.56  981.0    147.31     4.20     2.26
MAGADAN    010415 300  190000-190500   00     136.00  981.3    144.88     2.50     0.54
MAGADAN    010415 300  190500-191000   00     138.67  981.4    147.88     4.60     2.62
MAGADAN    010415 300  191000-191500   00     135.41  981.5    144.55     2.30     0.30
MAGADAN    010415 300  191500-192000   00     135.95  981.7    145.26     2.80     0.77
MAGADAN    010415 300  192000-192500   00     137.12  981.8    146.65     3.80     1.75
MAGADAN    010415 300  192500-193000   00     137.33  981.9    147.01     4.00     1.93
MAGADAN    010415 300  193000-193500   00     138.03  982.0    147.87     4.60     2.51
MAGADAN    010415 300  193500-194000   00     136.05  982.1    145.88     3.20     1.09
MAGADAN    010415 300  194000-194500   00     134.83  982.2    144.67     2.40     0.27
MAGADAN    010415 300  194500-195000   00     136.11  982.3    146.16     3.40     1.24
MAGADAN    010415 300  195000-195500   00     133.81  982.4    143.79     1.80    -0.38
MAGADAN    010415 300  195500-200000   00     136.21  982.5    146.47     3.60     1.40
MAGADAN    010415 300  200000-200500   00     136.32  982.6    146.71     3.80     1.58
MAGADAN    010415 300  200500-201000   00     135.36  982.7    145.76     3.10     0.86
MAGADAN    010415 300  201000-201500   00     137.33  982.8    147.96     4.70     2.44
MAGADAN    010415 300  201500-202000   00     133.39  982.8    143.78     1.70    -0.58
MAGADAN    010415 300  202000-202500   00     136.26  982.9    146.95     4.00     1.70
MAGADAN    010415 300  202500-203000   00     134.93  983.0    145.57     3.00     0.67
MAGADAN    010415 300  203000-203500   00     135.20  983.0    145.91     3.20     0.85
MAGADAN    010415 300  203500-204000   00     135.31  983.0    146.07     3.30     0.93
MAGADAN    010415 300  204000-204500   00     133.71  983.1    144.38     2.20    -0.19
MAGADAN    010415 300  204500-205000   00     134.13  983.1    144.88     2.50     0.09
MAGADAN    010415 300  205000-205500   00     133.92  983.1    144.67     2.30    -0.13
MAGADAN    010415 300  205500-210000   00     136.37  983.2    147.34     4.30     1.85
MAGADAN    010415 300  210000-210500   00     134.29  982.9    144.86     2.50     0.03
MAGADAN    010415 300  210500-211000   00     134.77  983.0    145.39     2.90    -9999
MAGADAN    010415 300  211000-211500   00     134.29  983.0    144.90     2.50    -9999
MAGADAN    010415 300  211500-212000   00     133.81  983.0    144.40     2.20    -9999
MAGADAN    010415 300  212000-212500   00     134.83  983.0    145.53     3.00    -9999
MAGADAN    010415 300  212500-213000   00     136.00  983.1    146.84     3.90    -9999
MAGADAN    010415 300  213000-213500   00     135.31  983.1    146.14     3.40    -9999
MAGADAN    010415 300  213500-214000   00     134.03  983.2    144.81     2.50    -9999
MAGADAN    010415 300  214000-214500   00     133.39  983.2    144.17     2.00    -9999
MAGADAN    010415 300  214500-215000   00     135.20  983.3    146.20     3.40    -9999
MAGADAN    010415 300  215000-215500   00     136.53  983.3    147.72     4.50    -9999
MAGADAN    010415 300  215500-220000   00     134.29  983.4    145.37     2.90    -9999
MAGADAN    010415 300  220000-220500   00     133.60  983.7    144.90     2.50    -9999
MAGADAN    010415 300  220500-221000   00     132.96  983.8    144.29     2.10    -9999
MAGADAN    010415 300  221000-221500   00     133.01  983.8    144.43     2.20    -9999
MAGADAN    010415 300  221500-222000   00     133.49  983.9    145.03     2.60    -9999
MAGADAN    010415 300  222000-222500   00     133.12  984.0    144.70     2.40    -9999
MAGADAN    010415 300  222500-223000   00     132.64  984.0    144.25     2.10    -9999
MAGADAN    010415 300  223000-223500   00     133.87  984.1    145.66     3.10    -9999
MAGADAN    010415 300  223500-224000   00     133.76  984.2    145.61     3.00    -9999
MAGADAN    010415 300  224000-224500   00     134.35  984.2    146.31     3.50    -9999
MAGADAN    010415 300  224500-225000   00     132.85  984.3    144.74     2.40    -9999
MAGADAN    010415 300  225000-225500   00     131.52  984.3    143.34     1.40    -9999
MAGADAN    010415 300  225500-230000   00     132.64  984.4    144.61     2.30    -9999
MAGADAN    010415 300  230000-230500   00     131.41  984.4    143.25     1.40    -9999
MAGADAN    010415 300  230500-231000   00     134.24  984.4    146.38     3.60    -9999
MAGADAN    010415 300  231000-231500   00     133.50  984.4    145.61     3.00    -9999
MAGADAN    010415 300  231500-232000   00     133.44  984.5    145.59     3.00    -9999
MAGADAN    010415 300  232000-232500   00     132.75  984.5    144.88     2.50    -9999
MAGADAN    010415 300  232500-233000   00     133.71  984.6    145.97     3.30    -9999
MAGADAN    010415 300  233000-233500   00     132.80  984.6    145.03     2.60    -9999
MAGADAN    010415 300  233500-234000   00     133.28  984.6    145.60     3.00    -9999
MAGADAN    010415 300  234000-234500   00     133.28  984.7    145.64     3.10    -9999
MAGADAN    010415 300  234500-235000   00     132.96  984.7    145.34     2.80    -9999
MAGADAN    010415 300  235000-235500   00     133.33  984.8    145.79     3.20    -9999
MAGADAN    010415 300  235500-240000   00     132.58  984.8    145.02     2.60    -9999
MAGADAN    010416 3600 000000-010000   00     133.39  985.1    146.21     3.50    -9999
MAGADAN    010416 3600 010000-020000   00     133.07  985.1    145.85     3.20    -9999
MAGADAN    010416 3600 020000-030000   00     132.69  985.0    145.34     2.80    -9999
MAGADAN    010416 3600 030000-040000   00     132.48  984.8    144.89     2.50    -9999
MAGADAN    010416 3600 040000-050000   00     131.91  985.1    144.59     2.30    -9999
MAGADAN    010416 3600 050000-060000   00     132.60  985.4    145.67     3.10    -9999
MAGADAN    010416 3600 060000-070000   00     132.43  985.2    145.26     2.80    -9999
MAGADAN    010416 3600 070000-080000   00     132.76  985.0    145.42     2.90    -9999
MAGADAN    010416 3600 080000-090000   00     132.44  984.6    144.64     2.30    -9999
MAGADAN    010416 3600 090000-100000   00     131.59  984.8    143.92     1.80    -9999
MAGADAN    010416 3600 100000-110000   00     131.64  984.8    143.98     1.90    -9999
MAGADAN    010416 3600 110000-120000   00     131.84  984.7    144.08     1.90    -9999
MAGADAN    010416 3600 120000-130000   00     132.09  984.4    144.03     1.90    -9999
MAGADAN    010416 3600 130000-140000   00     132.25  984.4    144.21     2.00    -9999
MAGADAN    010416 3600 140000-150000   00     131.95  984.1    143.56     1.60    -9999
MAGADAN    010416 3600 150000-160000   00     133.35  983.7    144.66     2.40    -9999
MAGADAN    010416 3600 160000-170000   00     132.91  983.5    143.96     1.90    -9999
MAGADAN    010416 3600 170000-180000   00     132.98  983.2    143.72     1.70    -9999
MAGADAN    010416 3600 180000-190000   00     133.32  983.0    143.87     1.80    -9999
MAGADAN    010416 3600 190000-200000   00     133.97  982.5    144.05     1.90    -9999
MAGADAN    010416 3600 200000-210000   00     133.69  982.3    143.53     1.60    -9999
MAGADAN    010416 3600 210000-220000   00     134.42  982.0    143.99     1.90    -9999
MAGADAN    010416 3600 220000-230000   00     135.73  981.4    144.76     2.40    -9999
MAGADAN    010416 3600 230000-240000   00     135.80  981.0    144.41     2.20    -9999
*
*	
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2023-04-05 10:02:56 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE60/C060MGDN_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
