EREVAN3    LATITUDE    40.5      LONGITUDE     44.17     ALTITUDE    3200 M
EREVAN3    INSTRUMENT   18NM64    NEUTRON MONITOR     
EREVAN3    STANDARD PRESSURE    684.9   mb     COEFFICIENT   -0.73     % / mb
EREVAN3    PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
EREVAN3    PRE-INCREASE AVERAGE COUNTING RATE     52.91      COUNTS PER SECOND
EREVAN3    TIME INTERVALS    300         3600     
EREVAN3    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
EREVAN3    031029 300  010000-010500   00      53.49  683.1     52.79    -0.20    -9999
EREVAN3    031029 300  010500-011000   00      53.62  683.1     52.93     0.00    -9999
EREVAN3    031029 300  011000-011500   00      53.75  683.1     53.06     0.30    -9999
EREVAN3    031029 300  011500-012000   00      53.47  683.2     52.79    -0.20    -9999
EREVAN3    031029 300  012000-012500   00      53.70  683.2     53.03     0.20    -9999
EREVAN3    031029 300  012500-013000   00      53.48  683.2     52.82    -0.20    -9999
EREVAN3    031029 300  013000-013500   00      53.44  683.2     52.79    -0.30    -9999
EREVAN3    031029 300  013500-014000   00      53.71  683.2     53.06     0.30    -9999
EREVAN3    031029 300  014000-014500   00      53.71  683.2     53.06     0.30    -9999
EREVAN3    031029 300  014500-015000   00      53.82  683.3     53.18     0.50    -9999
EREVAN3    031029 300  015000-015500   00      54.20  683.3     53.56     1.20    -9999
EREVAN3    031029 300  015500-020000   00      53.77  683.3     53.14     0.50    -9999
EREVAN3    031029 300  020000-020500   00      53.72  683.3     53.11     0.40    -9999
EREVAN3    031029 300  020500-021000   00      53.80  683.4     53.20     0.50    -9999
EREVAN3    031029 300  021000-021500   00      53.60  683.4     53.02     0.20    -9999
EREVAN3    031029 300  021500-022000   00      53.71  683.5     53.15     0.40    -9999
EREVAN3    031029 300  022000-022500   00      53.40  683.5     52.87    -0.10    -9999
EREVAN3    031029 300  022500-023000   00      53.43  683.6     52.92     0.00    -9999
EREVAN3    031029 300  023000-023500   00      53.51  683.6     53.01     0.20    -9999
EREVAN3    031029 300  023500-024000   00      53.28  683.7     52.81    -0.20    -9999
EREVAN3    031029 300  024000-024500   00      53.66  683.7     53.20     0.50    -9999
EREVAN3    031029 300  024500-025000   00      53.48  683.8     53.04     0.20    -9999
EREVAN3    031029 300  025000-025500   00      53.42  683.8     53.00     0.20    -9999
EREVAN3    031029 300  025500-030000   00      53.78  683.9     53.38     0.90    -9999
EREVAN3    031029 300  030000-030500   00      53.61  683.9     53.23     0.60    -9999
EREVAN3    031029 300  030500-031000   00      53.36  684.0     52.99     0.20    -9999
EREVAN3    031029 300  031000-031500   00      53.57  684.0     53.22     0.60    -9999
EREVAN3    031029 300  031500-032000   00      53.38  684.0     53.05     0.30    -9999
EREVAN3    031029 300  032000-032500   00      53.28  684.1     52.96     0.10    -9999
EREVAN3    031029 300  032500-033000   00      53.35  684.1     53.05     0.30    -9999
EREVAN3    031029 300  033000-033500   00      52.89  684.2     52.61    -0.50    -9999
EREVAN3    031029 300  033500-034000   00      52.99  684.2     52.73    -0.40    -9999
EREVAN3    031029 300  034000-034500   00      52.86  684.3     52.61    -0.60    -9999
EREVAN3    031029 300  034500-035000   00      52.96  684.3     52.73    -0.30    -9999
EREVAN3    031029 300  035000-035500   00      52.96  684.3     52.74    -0.30    -9999
EREVAN3    031029 300  035500-040000   00      52.82  684.4     52.61    -0.50    -9999
EREVAN3    031029 300  040000-040500   00      53.28  684.4     53.10     0.40    -9999
EREVAN3    031029 300  040500-041000   00      53.41  684.5     53.27     0.70    -9999
EREVAN3    031029 300  041000-041500   00      53.33  684.6     53.22     0.60    -9999
EREVAN3    031029 300  041500-042000   00      53.49  684.7     53.42     1.00    -9999
EREVAN3    031029 300  042000-042500   00      53.29  684.8     53.26     0.70    -9999
EREVAN3    031029 300  042500-043000   00      53.36  684.9     53.36     0.90    -9999
EREVAN3    031029 300  043000-043500   00      53.43  685.0     53.46     1.00    -9999
EREVAN3    031029 300  043500-044000   00      53.53  685.1     53.60     1.30    -9999
EREVAN3    031029 300  044000-044500   00      53.46  685.2     53.57     1.20    -9999
EREVAN3    031029 300  044500-045000   00      53.31  685.3     53.45     1.00    -9999
EREVAN3    031029 300  045000-045500   00      53.71  685.4     53.89     1.90    -9999
EREVAN3    031029 300  045500-050000   00      53.75  685.4     53.97     2.00    -9999
EREVAN3    031029 300  050000-050500   00      53.67  685.5     53.91     1.90    -9999
EREVAN3    031029 300  050500-051000   00      53.74  685.5     53.99     2.10    -9999
EREVAN3    031029 300  051000-051500   00      53.71  685.6     53.97     2.00    -9999
EREVAN3    031029 300  051500-052000   00      53.69  685.6     53.97     2.00    -9999
EREVAN3    031029 300  052000-052500   00      53.18  685.6     53.47     1.10    -9999
EREVAN3    031029 300  052500-053000   00      53.75  685.7     54.05     2.20    -9999
EREVAN3    031029 300  053000-053500   00      53.34  685.7     53.65     1.40    -9999
EREVAN3    031029 300  053500-054000   00      53.69  685.7     54.03     2.10    -9999
EREVAN3    031029 300  054000-054500   00      53.78  685.8     54.12     2.30    -9999
EREVAN3    031029 300  054500-055000   00      53.70  685.8     54.06     2.20    -9999
EREVAN3    031029 300  055000-055500   00      53.94  685.8     54.31     2.60    -9999
EREVAN3    031029 300  055500-060000   00      53.85  685.9     54.24     2.50    -9999
EREVAN3    031029 300  060000-060500   00      53.67  685.9     54.06     2.20    -9999
EREVAN3    031029 300  060500-061000   00      53.63  685.9     54.04     2.10    -9999
EREVAN3    031029 300  061000-061500   00      53.01  685.9     53.41     1.00    -9999
EREVAN3    031029 300  061500-062000   00      53.51  686.0     53.93     1.90    -9999
EREVAN3    031029 300  062000-062500   00      53.00  686.0     53.42     1.00    -9999
EREVAN3    031029 300  062500-063000   00      52.52  686.0     52.94     0.10    -9999
EREVAN3    031029 300  063000-063500   00      52.25  686.0     52.68    -0.50    -9999
EREVAN3    031029 300  063500-064000   00      51.94  686.0     52.37    -1.00    -9999
EREVAN3    031029 300  064000-064500   00      51.90  686.0     52.33    -1.10    -9999
EREVAN3    031029 300  064500-065000   00      52.62  686.1     53.06     0.30    -9999
EREVAN3    031029 300  065000-065500   00      53.05  686.1     53.50     1.10    -9999
EREVAN3    031029 300  065500-070000   00      53.43  686.1     53.89     1.90    -9999
EREVAN3    031029 300  070000-070500   00      52.99  686.1     53.46     1.00    -9999
EREVAN3    031029 300  070500-071000   00      52.75  686.1     53.21     0.60    -9999
EREVAN3    031029 300  071000-071500   00      52.37  686.1     52.82    -0.20    -9999
EREVAN3    031029 300  071500-072000   00      52.79  686.1     53.25     0.60    -9999
EREVAN3    031029 300  072000-072500   00      52.66  686.1     53.11     0.40    -9999
EREVAN3    031029 300  072500-073000   00      52.42  686.1     52.86    -0.10    -9999
EREVAN3    031029 300  073000-073500   00      52.58  686.0     53.01     0.20    -9999
EREVAN3    031029 300  073500-074000   00      52.55  686.0     52.99     0.10    -9999
EREVAN3    031029 300  074000-074500   00      52.16  686.0     52.59    -0.60    -9999
EREVAN3    031029 300  074500-075000   00      51.97  686.0     52.39    -1.00    -9999
