ALMA-ATA-B LATITUDE    43.14     LONGITUDE     76.6      ALTITUDE    3340 M
ALMA-ATA-B INSTRUMENT   18-NM-64  NEUTRON MONITOR
ALMA-ATA-B STANDARD PRESSURE    679.3   MB     COEFFICIENT   -0.72     % / MB
ALMA-ATA-B PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
ALMA-ATA-B PRE-INCREASE AVERAGE COUNTING RATE  1,138.36      COUNTS PER SECOND
ALMA-ATA-B TIME INTERVALS    60          3600     
ALMA-ATA-B SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
ALMA-ATA-B 000714 60   092000-092100   00    1122.53  679.3   1122.26    -1.40    -9999
ALMA-ATA-B 000714 60   092100-092200   00    1146.40  679.3   1146.15     0.70    -9999
ALMA-ATA-B 000714 60   092200-092300   00    1144.80  679.3   1144.59     0.50    -9999
ALMA-ATA-B 000714 60   092300-092400   00    1138.80  679.3   1138.62     0.00    -9999
ALMA-ATA-B 000714 60   092400-092500   00    1148.67  679.3   1148.51     0.90    -9999
ALMA-ATA-B 000714 60   092500-092600   00    1122.80  679.3   1122.67    -1.40    -9999
ALMA-ATA-B 000714 60   092600-092700   00    1134.13  679.3   1134.03    -0.40    -9999
ALMA-ATA-B 000714 60   092700-092800   00    1144.27  679.3   1144.19     0.50    -9999
ALMA-ATA-B 000714 60   092800-092900   00    1129.07  679.3   1129.01    -0.80    -9999
ALMA-ATA-B 000714 60   092900-093000   00    1129.87  679.3   1129.83    -0.70    -9999
ALMA-ATA-B 000714 60   093000-093100   00    1124.67  679.3   1124.64    -1.20    -9999
ALMA-ATA-B 000714 60   093100-093200   00    1131.87  679.3   1131.86    -0.60    -9999
ALMA-ATA-B 000714 60   093200-093300   00    1149.47  679.3   1149.47     1.00    -9999
ALMA-ATA-B 000714 60   093300-093400   00    1152.40  679.3   1152.42     1.20    -9999
ALMA-ATA-B 000714 60   093400-093500   00    1144.80  679.3   1144.83     0.60    -9999
ALMA-ATA-B 000714 60   093500-093600   00    1149.73  679.3   1149.77     1.00    -9999
ALMA-ATA-B 000714 60   093600-093700   00    1139.07  679.3   1139.11     0.10    -9999
ALMA-ATA-B 000714 60   093700-093800   00    1144.80  679.3   1144.85     0.60    -9999
ALMA-ATA-B 000714 60   093800-093900   00    1127.87  679.3   1127.92    -0.90    -9999
ALMA-ATA-B 000714 60   093900-094000   00    1142.53  679.3   1142.58     0.40    -9999
ALMA-ATA-B 000714 60   094000-094100   00    1135.60  679.3   1135.65    -0.20    -9999
ALMA-ATA-B 000714 60   094100-094200   00    1135.47  679.3   1135.51    -0.20    -9999
ALMA-ATA-B 000714 60   094200-094300   00    1150.27  679.3   1150.31     1.10    -9999
ALMA-ATA-B 000714 60   094300-094400   00    1136.93  679.3   1136.97    -0.10    -9999
ALMA-ATA-B 000714 60   094400-094500   00    1130.13  679.3   1130.16    -0.70    -9999
ALMA-ATA-B 000714 60   094500-094600   00    1132.27  679.3   1132.29    -0.50    -9999
ALMA-ATA-B 000714 60   094600-094700   00    1130.40  679.3   1130.41    -0.70    -9999
ALMA-ATA-B 000714 60   094700-094800   00    1133.20  679.3   1133.19    -0.50    -9999
ALMA-ATA-B 000714 60   094800-094900   00    1146.13  679.3   1146.11     0.70    -9999
ALMA-ATA-B 000714 60   094900-095000   00    1133.87  679.3   1133.83    -0.40    -9999
ALMA-ATA-B 000714 60   095000-095100   00    1149.47  679.3   1149.41     1.00    -9999
ALMA-ATA-B 000714 60   095100-095200   00    1136.53  679.3   1136.45    -0.20    -9999
ALMA-ATA-B 000714 60   095200-095300   00    1142.93  679.3   1142.83     0.40    -9999
ALMA-ATA-B 000714 60   095300-095400   00    1146.40  679.3   1146.27     0.70    -9999
ALMA-ATA-B 000714 60   095400-095500   00    1139.73  679.3   1139.58     0.10    -9999
ALMA-ATA-B 000714 60   095500-095600   00    1131.47  679.3   1131.29    -0.60    -9999
ALMA-ATA-B 000714 60   095600-095700   00    1142.40  679.3   1142.19     0.30    -9999
ALMA-ATA-B 000714 60   095700-095800   00    1130.67  679.3   1130.42    -0.70    -9999
ALMA-ATA-B 000714 60   095800-095900   00    1136.67  679.3   1136.39    -0.20    -9999
ALMA-ATA-B 000714 60   095900-100000   00    1153.73  679.3   1153.42     1.30    -9999
ALMA-ATA-B 000714 60   100000-100100   00    1124.80  679.1   1123.55    -1.30    -9999
ALMA-ATA-B 000714 60   100100-100200   00    1124.80  679.1   1123.51    -1.30    -9999
ALMA-ATA-B 000714 60   100200-100300   00    1145.73  679.1   1144.37     0.50    -9999
ALMA-ATA-B 000714 60   100300-100400   00    1148.53  679.1   1147.13     0.80    -9999
ALMA-ATA-B 000714 60   100400-100500   00    1113.33  679.1   1111.93    -2.30    -9999
ALMA-ATA-B 000714 60   100500-100600   00    1126.27  679.1   1124.81    -1.20    -9999
ALMA-ATA-B 000714 60   100600-100700   00    1140.67  679.1   1139.15     0.10    -9999
ALMA-ATA-B 000714 60   100700-100800   00    1143.20  679.1   1141.64     0.30    -9999
ALMA-ATA-B 000714 60   100800-100900   00    1152.80  679.1   1151.19     1.10    -9999
ALMA-ATA-B 000714 60   100900-101000   00    1156.00  679.1   1154.34     1.40    -9999
ALMA-ATA-B 000714 60   101000-101100   00    1150.13  679.1   1148.45     0.90    -9999
ALMA-ATA-B 000714 60   101100-101200   00    1137.87  679.1   1136.16    -0.20    -9999
ALMA-ATA-B 000714 60   101200-101300   00    1132.53  679.1   1130.79    -0.70    -9999
ALMA-ATA-B 000714 60   101300-101400   00    1124.80  679.1   1123.03    -1.30    -9999
ALMA-ATA-B 000714 60   101400-101500   00    1152.27  679.1   1150.42     1.10    -9999
ALMA-ATA-B 000714 60   101500-101600   00    1148.40  679.1   1146.52     0.70    -9999
ALMA-ATA-B 000714 60   101600-101700   00    1136.00  679.1   1134.10    -0.40    -9999
ALMA-ATA-B 000714 60   101700-101800   00    1165.20  679.1   1163.22     2.20    -9999
ALMA-ATA-B 000714 60   101800-101900   00    1145.47  679.1   1143.48     0.50    -9999
ALMA-ATA-B 000714 60   101900-102000   00    1138.53  679.1   1136.52    -0.20    -9999
ALMA-ATA-B 000714 60   102000-102100   00    1150.27  679.0   1148.20     0.90    -9999
ALMA-ATA-B 000714 60   102100-102200   00    1121.33  679.0   1119.28    -1.70    -9999
ALMA-ATA-B 000714 60   102200-102300   00    1140.53  679.0   1138.41     0.00    -9999
ALMA-ATA-B 000714 60   102300-102400   00    1146.27  679.0   1144.09     0.50    -9999
ALMA-ATA-B 000714 60   102400-102500   00    1146.93  679.0   1144.72     0.60    -9999
ALMA-ATA-B 000714 60   102500-102600   00    1136.80  679.0   1134.57    -0.30    -9999
ALMA-ATA-B 000714 60   102600-102700   00    1143.60  679.0   1141.32     0.30    -9999
ALMA-ATA-B 000714 60   102700-102800   00    1138.40  679.0   1136.10    -0.20    -9999
ALMA-ATA-B 000714 60   102800-102900   00    1123.20  679.0   1120.90    -1.50    -9999
ALMA-ATA-B 000714 60   102900-103000   00    1142.67  679.0   1140.29     0.20    -9999
ALMA-ATA-B 000714 60   103000-103100   00    1155.33  679.0   1152.89     1.30    -9999
ALMA-ATA-B 000714 60   103100-103200   00    1138.67  679.0   1136.23    -0.20    -9999
ALMA-ATA-B 000714 60   103200-103300   00    1140.80  679.0   1138.32     0.00    -9999
ALMA-ATA-B 000714 60   103300-103400   00    1140.93  679.0   1138.42     0.00    -9999
ALMA-ATA-B 000714 60   103400-103500   00    1138.40  679.0   1135.86    -0.20    -9999
ALMA-ATA-B 000714 60   103500-103600   00    1128.27  679.0   1125.72    -1.10    -9999
ALMA-ATA-B 000714 60   103600-103700   00    1130.40  679.0   1127.81    -0.90    -9999
ALMA-ATA-B 000714 60   103700-103800   00    1165.20  679.0   1162.50     2.10    -9999
ALMA-ATA-B 000714 60   103800-103900   00    1148.27  679.0   1145.57     0.60    -9999
ALMA-ATA-B 000714 60   103900-104000   00    1133.07  679.0   1130.37    -0.70    -9999
ALMA-ATA-B 000714 60   104000-104100   00    1145.60  679.0   1142.84     0.40    -9999
ALMA-ATA-B 000714 60   104100-104200   00    1141.60  679.0   1138.82     0.00    -9999
ALMA-ATA-B 000714 60   104200-104300   00    1141.33  679.0   1138.52     0.00    -9999
