THULE      LATITUDE    76.58     LONGITUDE     291.58    ALTITUDE    260 M
THULE      INSTRUMENT   IGY     NEUTRON MONITOR                           
THULE      STANDARD PRESSURE    754     MMHG   COEFFICIENT   -0.99     % / MMHG
THULE      PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
THULE      PRE-INCREASE AVERAGE COUNTING RATE    104.19      COUNTS PER SECOND
THULE      TIME INTERVALS    300         3600     
THULE      SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
THULE      000714 300  203500-204000   00     110.69  751.0    107.48     3.20     3.18
THULE      000714 300  204000-204500   00     108.97  751.1    105.86     1.60     1.58
THULE      000714 300  204500-205000   00     108.97  751.2    105.93     1.70     1.68
THULE      000714 300  205000-205500   00     107.68  751.2    104.68     0.50     0.48
THULE      000714 300  205500-210000   00     109.40  751.2    106.36     2.10     2.07
THULE      000714 300  210000-210500   00     108.97  751.2    106.04     1.80     1.77
THULE      000714 300  210500-211000   00     108.54  751.2    105.63     1.40     1.37
THULE      000714 300  211000-211500   00     109.82  751.4    106.98     2.70     2.67
THULE      000714 300  211500-212000   00     108.54  751.4    105.73     1.50     1.46
THULE      000714 300  212000-212500   00     108.11  751.4    105.31     1.10     1.06
THULE      000714 300  212500-213000   00     107.25  751.4    104.48     0.30     0.26
THULE      000714 300  213000-213500   00     108.11  751.5    105.42     1.20     1.16
THULE      000714 300  213500-214000   00     108.11  751.5    105.42     1.20     1.15
THULE      000714 300  214000-214500   00     108.11  751.5    105.48     1.30     1.25
THULE      000714 300  214500-215000   00     108.54  751.5    105.94     1.70     1.65
THULE      000714 300  215000-215500   00     107.68  751.5    105.10     0.90     0.85
THULE      000714 300  215500-220000   00     109.83  751.6    107.24     2.90     2.84
THULE      000714 300  220000-220500   00     108.11  751.7    105.63     1.40     1.34
THULE      000714 300  220500-221000   00     108.11  751.7    105.63     1.40     1.34
THULE      000714 300  221000-221500   00     110.26  751.7    107.76     3.40     3.33
THULE      000714 300  221500-222000   00     107.68  751.7    105.29     1.10     1.03
THULE      000714 300  222000-222500   00     106.40  751.7    104.05    -0.10    -0.17
THULE      000714 300  222500-223000   00     108.54  751.8    106.19     1.90     1.82
THULE      000714 300  223000-223500   00     107.68  751.9    105.41     1.20     1.12
THULE      000714 300  223500-224000   00     107.68  751.9    105.41     1.20     1.12
THULE      000714 300  224000-224500   00     107.68  752.0    105.52     1.30     1.22
THULE      000714 300  224500-225000   00     108.11  752.0    105.94     1.70     1.61
THULE      000714 300  225000-225500   00     108.11  752.0    105.94     1.70     1.61
THULE      000714 300  225500-230000   00     108.97  752.0    106.78     2.50     2.41
THULE      000714 300  230000-230500   00     107.25  752.0    105.10     0.90     0.80
THULE      000714 300  230500-231000   00     109.40  752.0    107.25     2.90     2.80
THULE      000714 300  231000-231500   00     108.54  752.0    106.46     2.20     2.10
THULE      000714 300  231500-232000   00     108.11  752.0    106.04     1.80     1.69
THULE      000714 300  232000-232500   00     107.68  752.0    105.62     1.30     1.19
THULE      000714 300  232500-233000   00     107.25  752.1    105.25     1.00     0.89
THULE      000714 300  233000-233500   00     108.11  752.2    106.15     1.90     1.78
THULE      000714 300  233500-234000   00     107.25  752.2    105.31     1.10     0.98
THULE      000714 300  234000-234500   00     104.68  752.2    102.78    -1.40    -1.53
THULE      000714 300  234500-235000   00     105.97  752.2    104.05    -0.10    -0.23
THULE      000714 300  235000-235500   00     108.97  752.3    107.10     2.80     2.67
THULE      000714 300  235500-240000   00     108.11  752.3    106.25     2.00     1.86
THULE      000715 3600 000000-010000   00     106.72  752.4    105.00     0.80     0.64
THULE      000715 3600 010000-020000   00     106.39  752.7    104.97     0.70     0.48
THULE      000715 3600 020000-030000   00     105.58  753.0    104.47     0.30     0.03
THULE      000715 3600 030000-040000   00     105.39  753.2    104.50     0.30    -9999
THULE      000715 3600 040000-050000   00     105.28  753.4    104.61     0.40    -9999
THULE      000715 3600 050000-060000   00     105.17  753.5    104.72     0.50    -9999
THULE      000715 3600 060000-070000   00     105.53  753.7    105.28     1.00    -9999
THULE      000715 3600 070000-080000   00     104.50  754.0    104.44     0.20    -9999
THULE      000715 3600 080000-090000   00     104.75  754.0    104.69     0.50    -9999
THULE      000715 3600 090000-100000   00     104.91  753.9    104.75     0.50    -9999
THULE      000715 3600 100000-110000   00     105.00  753.9    104.83     0.60    -9999
THULE      000715 3600 110000-120000   00     105.08  754.0    105.03     0.80    -9999
THULE      000715 3600 120000-130000   00     103.97  753.9    103.81    -0.40    -9999
THULE      000715 3600 130000-140000   00     103.89  753.7    103.64    -0.50    -9999
THULE      000715 3600 140000-150000   00     103.58  753.7    103.31    -0.90    -9999
THULE      000715 3600 150000-160000   00     103.33  753.5    102.86    -1.30    -9999
THULE      000715 3600 160000-170000   00     102.86  753.7    102.50    -1.60    -9999
THULE      000715 3600 170000-180000   00     102.81  753.5    102.36    -1.80    -9999
THULE      000715 3600 180000-190000   00     102.22  753.4    101.56    -2.50    -9999
THULE      000715 3600 190000-200000   00     101.61  753.0    100.64    -3.40    -9999
THULE      000715 3600 200000-210000   00      97.06  752.7     95.86    -8.00    -9999
THULE      000715 3600 210000-220000   00      98.25  752.5     96.83    -7.10    -9999
THULE      000715 3600 220000-230000   00      96.53  752.5     95.06    -8.80    -9999
THULE      000715 3600 230000-240000   00      96.81  752.4     95.25    -8.60    -9999
*
*	
COMMENT    PRELIMINARY DATA ... ROGER PYLE, BARTOL RESEARCH INSTITUTE, 15 AUG 2000	
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2022-05-13 14:50:50 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE59/C059THUL_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
