EREVAN     LATITUDE    40.5      LONGITUDE     44.17     ALTITUDE    2000 M
EREVAN     INSTRUMENT   18NM64    NEUTRON MONITOR     
EREVAN     STANDARD PRESSURE    792.8   mb     COEFFICIENT   -0.71     % / mb
EREVAN     PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
EREVAN     PRE-INCREASE AVERAGE COUNTING RATE     22.79      COUNTS PER SECOND
EREVAN     TIME INTERVALS    300         3600     
EREVAN     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
EREVAN     031028 300  183000-183500   00      23.07  789.9     22.60    -0.80    -9999
EREVAN     031028 300  183500-184000   00      23.19  789.9     22.71    -0.40    -9999
EREVAN     031028 300  184000-184500   00      23.21  789.8     22.72    -0.30    -9999
EREVAN     031028 300  184500-185000   00      23.28  789.8     22.79     0.00    -9999
EREVAN     031028 300  185000-185500   00      23.22  789.8     22.73    -0.30    -9999
EREVAN     031028 300  185500-190000   00      23.15  789.7     22.65    -0.60    -9999
EREVAN     031028 300  190000-190500   00      23.18  789.7     22.67    -0.50    -9999
EREVAN     031028 300  190500-191000   00      22.97  789.7     22.46    -1.40    -9999
EREVAN     031028 300  191000-191500   00      23.29  789.6     22.77    -0.10    -9999
EREVAN     031028 300  191500-192000   00      23.18  789.6     22.65    -0.60    -9999
EREVAN     031028 300  192000-192500   00      23.28  789.6     22.75    -0.20    -9999
EREVAN     031028 300  192500-193000   00      23.03  789.5     22.50    -1.30    -9999
EREVAN     031028 300  193000-193500   00      23.04  789.5     22.50    -1.30    -9999
EREVAN     031028 300  193500-194000   00      23.19  789.5     22.64    -0.70    -9999
EREVAN     031028 300  194000-194500   00      23.03  789.4     22.49    -1.30    -9999
EREVAN     031028 300  194500-195000   00      23.10  789.4     22.54    -1.10    -9999
EREVAN     031028 300  195000-195500   00      23.09  789.4     22.53    -1.10    -9999
EREVAN     031028 300  195500-200000   00      23.33  789.3     22.76    -0.10    -9999
EREVAN     031028 300  200000-200500   00      23.17  789.3     22.60    -0.80    -9999
EREVAN     031028 300  200500-201000   00      23.25  789.4     22.69    -0.40    -9999
EREVAN     031028 300  201000-201500   00      23.07  789.4     22.52    -1.20    -9999
EREVAN     031028 300  201500-202000   00      23.15  789.4     22.60    -0.80    -9999
EREVAN     031028 300  202000-202500   00      23.15  789.5     22.61    -0.80    -9999
EREVAN     031028 300  202500-203000   00      23.00  789.5     22.47    -1.40    -9999
EREVAN     031028 300  203000-203500   00      23.25  789.6     22.72    -0.30    -9999
EREVAN     031028 300  203500-204000   00      23.29  789.6     22.77    -0.10    -9999
EREVAN     031028 300  204000-204500   00      23.41  789.7     22.89     0.40    -9999
EREVAN     031028 300  204500-205000   00      23.15  789.7     22.64    -0.70    -9999
EREVAN     031028 300  205000-205500   00      23.14  789.7     22.65    -0.60    -9999
EREVAN     031028 300  205500-210000   00      23.20  789.8     22.71    -0.30    -9999
EREVAN     031028 300  210000-210500   00      23.22  789.8     22.73    -0.30    -9999
EREVAN     031028 300  210500-211000   00      23.16  789.8     22.67    -0.50    -9999
EREVAN     031028 300  211000-211500   00      23.20  789.8     22.71    -0.40    -9999
EREVAN     031028 300  211500-212000   00      23.23  789.8     22.74    -0.20    -9999
EREVAN     031028 300  212000-212500   00      23.21  789.8     22.72    -0.30    -9999
EREVAN     031028 300  212500-213000   00      23.29  789.8     22.79     0.00    -9999
EREVAN     031028 300  213000-213500   00      23.06  789.7     22.57    -1.00    -9999
EREVAN     031028 300  213500-214000   00      23.17  789.7     22.67    -0.50    -9999
EREVAN     031028 300  214000-214500   00      23.18  789.7     22.68    -0.50    -9999
EREVAN     031028 300  214500-215000   00      23.09  789.7     22.59    -0.90    -9999
EREVAN     031028 300  215000-215500   00      23.18  789.7     22.68    -0.50    -9999
EREVAN     031028 300  215500-220000   00      23.30  789.7     22.79     0.00    -9999
EREVAN     031028 300  220000-220500   00      23.13  789.7     22.63    -0.70    -9999
EREVAN     031028 300  220500-221000   00      23.29  789.8     22.79     0.00    -9999
EREVAN     031028 300  221000-221500   00      23.08  789.8     22.60    -0.80    -9999
EREVAN     031028 300  221500-222000   00      23.34  789.8     22.85     0.30    -9999
EREVAN     031028 300  222000-222500   00      23.24  789.9     22.76    -0.10    -9999
EREVAN     031028 300  222500-223000   00      23.12  789.9     22.65    -0.60    -9999
EREVAN     031028 300  223000-223500   00      23.10  790.0     22.64    -0.70    -9999
EREVAN     031028 300  223500-224000   00      23.08  790.0     22.62    -0.70    -9999
EREVAN     031028 300  224000-224500   00      23.09  790.0     22.65    -0.60    -9999
EREVAN     031028 300  224500-225000   00      23.13  790.1     22.69    -0.40    -9999
EREVAN     031028 300  225000-225500   00      23.14  790.1     22.70    -0.40    -9999
EREVAN     031028 300  225500-230000   00      23.11  790.2     22.68    -0.50    -9999
EREVAN     031028 300  230000-230500   00      23.21  790.2     22.79     0.00    -9999
EREVAN     031028 300  230500-231000   00      23.14  790.2     22.71    -0.30    -9999
EREVAN     031028 300  231000-231500   00      23.06  790.2     22.64    -0.70    -9999
EREVAN     031028 300  231500-232000   00      23.08  790.2     22.65    -0.60    -9999
EREVAN     031028 300  232000-232500   00      23.09  790.2     22.67    -0.50    -9999
EREVAN     031028 300  232500-233000   00      23.05  790.2     22.62    -0.70    -9999
EREVAN     031028 300  233000-233500   00      23.31  790.1     22.88     0.40    -9999
EREVAN     031028 300  233500-234000   00      23.20  790.1     22.77    -0.10    -9999
EREVAN     031028 300  234000-234500   00      23.30  790.1     22.87     0.40    -9999
EREVAN     031028 300  234500-235000   00      23.15  790.1     22.72    -0.30    -9999
EREVAN     031028 300  235000-235500   00      23.38  790.1     22.94     0.60    -9999
EREVAN     031028 300  235500-240000   00      22.95  790.1     22.52    -1.20    -9999
EREVAN     031029 300  000000-000500   00      23.16  790.1     22.72    -0.30    -9999
EREVAN     031029 300  000500-001000   00      23.22  790.1     22.78     0.00    -9999
EREVAN     031029 300  001000-001500   00      23.10  790.1     22.67    -0.50    -9999
EREVAN     031029 300  001500-002000   00      22.95  790.2     22.52    -1.20    -9999
EREVAN     031029 300  002000-002500   00      23.20  790.2     22.77    -0.10    -9999
EREVAN     031029 300  002500-003000   00      23.22  790.2     22.80     0.00    -9999
EREVAN     031029 300  003000-003500   00      23.22  790.2     22.80     0.00    -9999
EREVAN     031029 300  003500-004000   00      23.39  790.2     22.96     0.80    -9999
EREVAN     031029 300  004000-004500   00      23.18  790.2     22.76    -0.10    -9999
EREVAN     031029 300  004500-005000   00      23.24  790.3     22.82     0.10    -9999
EREVAN     031029 300  005000-005500   00      23.33  790.3     22.91     0.50    -9999
EREVAN     031029 300  005500-010000   00      23.31  790.3     22.90     0.50    -9999
EREVAN     031029 300  010000-010500   00      23.29  790.3     22.88     0.40    -9999
EREVAN     031029 300  010500-011000   00      23.20  790.4     22.80     0.10    -9999
EREVAN     031029 300  011000-011500   00      23.38  790.4     22.98     0.80    -9999
EREVAN     031029 300  011500-012000   00      23.19  790.4     22.81     0.10    -9999
EREVAN     031029 300  012000-012500   00      23.33  790.5     22.95     0.70    -9999
EREVAN     031029 300  012500-013000   00      23.43  790.5     23.06     1.20    -9999
EREVAN     031029 300  013000-013500   00      23.41  790.6     23.05     1.10    -9999
EREVAN     031029 300  013500-014000   00      23.43  790.6     23.07     1.20    -9999
EREVAN     031029 300  014000-014500   00      23.32  790.7     22.97     0.80    -9999
EREVAN     031029 300  014500-015000   00      23.41  790.7     23.07     1.20    -9999
EREVAN     031029 300  015000-015500   00      23.37  790.7     23.03     1.10    -9999
EREVAN     031029 300  015500-020000   00      23.30  790.8     22.97     0.80    -9999
EREVAN     031029 300  020000-020500   00      23.21  790.8     22.89     0.40    -9999
EREVAN     031029 300  020500-021000   00      23.39  790.9     23.08     1.20    -9999
EREVAN     031029 300  021000-021500   00      23.26  791.0     22.96     0.70    -9999
EREVAN     031029 300  021500-022000   00      23.26  791.0     22.98     0.80    -9999
EREVAN     031029 300  022000-022500   00      23.38  791.1     23.09     1.30    -9999
EREVAN     031029 300  022500-023000   00      23.23  791.2     22.96     0.80    -9999
EREVAN     031029 300  023000-023500   00      23.28  791.2     23.02     1.00    -9999
EREVAN     031029 300  023500-024000   00      23.15  791.3     22.91     0.50    -9999
EREVAN     031029 300  024000-024500   00      23.38  791.4     23.14     1.60    -9999
EREVAN     031029 300  024500-025000   00      23.19  791.4     22.96     0.80    -9999
EREVAN     031029 300  025000-025500   00      23.06  791.5     22.85     0.30    -9999
EREVAN     031029 300  025500-030000   00      23.33  791.6     23.13     1.50    -9999
EREVAN     031029 300  030000-030500   00      23.30  791.6     23.11     1.40    -9999
EREVAN     031029 300  030500-031000   00      23.13  791.7     22.95     0.70    -9999
EREVAN     031029 300  031000-031500   00      23.11  791.8     22.94     0.70    -9999
EREVAN     031029 300  031500-032000   00      23.10  791.8     22.94     0.70    -9999
EREVAN     031029 300  032000-032500   00      23.26  791.9     23.11     1.40    -9999
EREVAN     031029 300  032500-033000   00      23.11  792.0     22.97     0.80    -9999
EREVAN     031029 300  033000-033500   00      22.88  792.0     22.76    -0.10    -9999
EREVAN     031029 300  033500-034000   00      23.01  792.1     22.90     0.50    -9999
EREVAN     031029 300  034000-034500   00      23.01  792.2     22.91     0.50    -9999
EREVAN     031029 300  034500-035000   00      22.90  792.2     22.81     0.10    -9999
EREVAN     031029 300  035000-035500   00      23.19  792.3     23.11     1.40    -9999
EREVAN     031029 300  035500-040000   00      22.89  792.4     22.82     0.10    -9999
EREVAN     031029 300  040000-040500   00      23.01  792.4     22.96     0.70    -9999
EREVAN     031029 300  040500-041000   00      23.11  792.5     23.06     1.20    -9999
EREVAN     031029 300  041000-041500   00      23.10  792.6     23.07     1.20    -9999
