THULE      LATITUDE    76.6      LONGITUDE     -68.8     ALTITUDE    260 M
THULE      INSTRUMENT   9NM64    NEUTRON MONITOR     	
THULE      STANDARD PRESSURE    990.85  MB     COEFFICIENT   -0.74     % / MB
THULE      PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
THULE      PRE-INCREASE AVERAGE COUNTING RATE    122.35      COUNTS PER SECOND
THULE      TIME INTERVALS    300         3600     
THULE      SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
THULE      120517 300  080000-080500   00     118.28 1010.1    122.60     0.20    -9999
THULE      120517 300  080500-081000   00     117.25 1010.1    121.54    -0.70    -9999
THULE      120517 300  081000-081500   00     118.20 1010.1    122.53     0.10    -9999
THULE      120517 300  081500-082000   00     117.73 1010.1    122.04    -0.30    -9999
THULE      120517 300  082000-082500   00     117.85 1010.1    122.15    -0.20    -9999
THULE      120517 300  082500-083000   00     118.87 1010.1    123.21     0.70    -9999
THULE      120517 300  083000-083500   00     118.05 1010.1    122.39     0.00    -9999
THULE      120517 300  083500-084000   00     119.08 1010.1    123.48     0.90    -9999
THULE      120517 300  084000-084500   00     118.59 1010.1    122.93     0.50    -9999
THULE      120517 300  084500-085000   00     118.02 1010.1    122.30     0.00    -9999
THULE      120517 300  085000-085500   00     117.31 1010.0    121.56    -0.60    -9999
THULE      120517 300  085500-090000   00     118.08 1010.0    122.36     0.00    -9999
THULE      120517 300  090000-090500   00     118.11 1010.1    122.40     0.00    -9999
THULE      120517 300  090500-091000   00     118.77 1010.1    123.08     0.60    -9999
THULE      120517 300  091000-091500   00     118.90 1010.0    123.21     0.70    -9999
THULE      120517 300  091500-092000   00     117.36 1010.0    121.59    -0.60    -9999
THULE      120517 300  092000-092500   00     119.59 1010.0    123.89     1.30    -9999
THULE      120517 300  092500-093000   00     118.03 1010.0    122.25    -0.10    -9999
THULE      120517 300  093000-093500   00     117.53 1010.0    121.72    -0.50    -9999
THULE      120517 300  093500-094000   00     118.32 1010.0    122.53     0.10    -9999
THULE      120517 300  094000-094500   00     118.99 1009.9    123.21     0.70    -9999
THULE      120517 300  094500-095000   00     117.89 1009.9    122.05    -0.20    -9999
THULE      120517 300  095000-095500   00     118.76 1009.9    122.97     0.50    -9999
THULE      120517 300  095500-100000   00     117.39 1009.9    121.55    -0.70    -9999
THULE      120517 300  100000-100500   00     117.94 1009.9    122.11    -0.20    -9999
THULE      120517 300  100500-101000   00     118.16 1009.9    122.34     0.00    -9999
THULE      120517 300  101000-101500   00     118.98 1010.0    123.24     0.70    -9999
THULE      120517 300  101500-102000   00     118.05 1010.0    122.28    -0.10    -9999
THULE      120517 300  102000-102500   00     118.12 1010.0    122.37     0.00    -9999
THULE      120517 300  102500-103000   00     118.09 1010.0    122.34     0.00    -9999
THULE      120517 300  103000-103500   00     117.45 1010.0    121.69    -0.50    -9999
THULE      120517 300  103500-104000   00     119.74 1010.1    124.11     1.40    -9999
THULE      120517 300  104000-104500   00     117.95 1010.1    122.27    -0.10    -9999
THULE      120517 300  104500-105000   00     118.54 1010.1    122.86     0.40    -9999
THULE      120517 300  105000-105500   00     118.57 1010.1    122.87     0.40    -9999
THULE      120517 300  105500-110000   00     118.26 1010.1    122.58     0.20    -9999
THULE      120517 300  110000-110500   00     118.13 1010.1    122.44     0.10    -9999
THULE      120517 300  110500-111000   00     117.60 1010.1    121.90    -0.40    -9999
THULE      120517 300  111000-111500   00     119.25 1010.1    123.62     1.00    -9999
THULE      120517 300  111500-112000   00     118.79 1010.1    123.15     0.70    -9999
THULE      120517 300  112000-112500   00     118.39 1010.1    122.73     0.30    -9999
THULE      120517 300  112500-113000   00     117.66 1010.1    121.98    -0.30    -9999
THULE      120517 300  113000-113500   00     118.97 1010.1    123.29     0.80    -9999
THULE      120517 300  113500-114000   00     118.12 1010.1    122.45     0.10    -9999
THULE      120517 300  114000-114500   00     118.51 1010.0    122.81     0.40    -9999
THULE      120517 300  114500-115000   00     118.53 1010.1    122.88     0.40    -9999
THULE      120517 300  115000-115500   00     119.72 1010.1    124.07     1.40    -9999
THULE      120517 300  115500-120000   00     117.59 1010.1    121.90    -0.40    -9999
THULE      120517 300  120000-120500   00     119.24 1010.1    123.65     1.10    -9999
THULE      120517 300  120500-121000   00     116.61 1010.2    120.95    -1.10    -9999
THULE      120517 300  121000-121500   00     118.56 1010.2    122.98     0.50    -9999
THULE      120517 300  121500-122000   00     118.15 1010.1    122.52     0.10    -9999
THULE      120517 300  122000-122500   00     118.02 1010.1    122.35     0.00    -9999
THULE      120517 300  122500-123000   00     118.49 1010.3    122.97     0.50    -9999
THULE      120517 300  123000-123500   00     118.00 1010.3    122.48     0.10    -9999
THULE      120517 300  123500-124000   00     117.26 1010.2    121.67    -0.60    -9999
THULE      120517 300  124000-124500   00     117.83 1010.3    122.31     0.00    -9999
THULE      120517 300  124500-125000   00     119.38 1010.3    123.95     1.30    -9999
THULE      120517 300  125000-125500   00     118.68 1010.3    123.23     0.70    -9999
THULE      120517 300  125500-130000   00     118.36 1010.3    122.89     0.40    -9999
THULE      120517 300  130000-130500   00     118.08 1010.2    122.54     0.20    -9999
THULE      120517 300  130500-131000   00     118.89 1010.3    123.38     0.80    -9999
THULE      120517 300  131000-131500   00     117.94 1010.3    122.40     0.00    -9999
THULE      120517 300  131500-132000   00     118.49 1010.2    122.96     0.50    -9999
THULE      120517 300  132000-132500   00     118.75 1010.2    123.20     0.70    -9999
THULE      120517 300  132500-133000   00     120.24 1010.2    124.73     1.90    -9999
THULE      120517 300  133000-133500   00     118.84 1010.2    123.31     0.80    -9999
THULE      120517 300  133500-134000   00     118.56 1010.2    123.00     0.50    -9999
THULE      120517 300  134000-134500   00     118.28 1010.2    122.71     0.30    -9999
THULE      120517 300  134500-135000   00     118.89 1010.2    123.36     0.80    -9999
THULE      120517 300  135000-135500   00     118.68 1010.2    123.10     0.60    -9999
THULE      120517 300  135500-140000   00     118.42 1010.2    122.87     0.40    -9999
THULE      120517 300  140000-140500   00     118.77 1010.2    123.25     0.70    -9999
THULE      120517 300  140500-141000   00     118.38 1010.2    122.78     0.40    -9999
THULE      120517 300  141000-141500   00     117.62 1010.2    122.03    -0.30    -9999
THULE      120517 300  141500-142000   00     117.49 1010.2    121.89    -0.40    -9999
THULE      120517 300  142000-142500   00     119.08 1010.1    123.48     0.90    -9999
