TSUMEB     LATITUDE    -19.2     LONGITUDE     17.6      ALTITUDE    1240 M
TSUMEB     INSTRUMENT   18NM64    NEUTRON MONITOR     
TSUMEB     STANDARD PRESSURE    878.5   mb     COEFFICIENT   -0.701    % / mb
TSUMEB     PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
TSUMEB     PRE-INCREASE AVERAGE COUNTING RATE    290.22      COUNTS PER SECOND
TSUMEB     TIME INTERVALS    300         3600     
TSUMEB     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
TSUMEB     031029 300  002000-002500   00     291.97  878.8    292.68     0.80    -9999
TSUMEB     031029 300  002500-003000   00     291.73  878.9    292.51     0.80    -9999
TSUMEB     031029 300  003000-003500   00     291.59  878.9    292.44     0.80    -9999
TSUMEB     031029 300  003500-004000   00     294.76  878.9    295.68     1.90    -9999
TSUMEB     031029 300  004000-004500   00     290.72  879.0    291.70     0.50    -9999
TSUMEB     031029 300  004500-005000   00     294.37  879.0    295.43     1.80    -9999
TSUMEB     031029 300  005000-005500   00     296.54  879.0    297.68     2.60    -9999
TSUMEB     031029 300  005500-010000   00     289.17  879.1    290.34     0.00    -9999
TSUMEB     031029 300  010000-010500   00     293.20  879.1    294.52     1.50    -9999
TSUMEB     031029 300  010500-011000   00     292.44  879.2    293.96     1.30    -9999
TSUMEB     031029 300  011000-011500   00     296.43  879.3    298.18     2.70    -9999
TSUMEB     031029 300  011500-012000   00     292.57  879.4    294.50     1.50    -9999
TSUMEB     031029 300  012000-012500   00     294.14  879.5    296.29     2.10    -9999
TSUMEB     031029 300  012500-013000   00     293.67  879.6    296.03     2.00    -9999
TSUMEB     031029 300  013000-013500   00     292.90  879.7    295.46     1.80    -9999
TSUMEB     031029 300  013500-014000   00     291.85  879.8    294.61     1.50    -9999
TSUMEB     031029 300  014000-014500   00     292.49  879.9    295.46     1.80    -9999
TSUMEB     031029 300  014500-015000   00     290.61  880.0    293.76     1.20    -9999
TSUMEB     031029 300  015000-015500   00     291.63  880.1    295.01     1.70    -9999
TSUMEB     031029 300  015500-020000   00     292.43  880.2    296.02     2.00    -9999
TSUMEB     031029 300  020000-020500   00     289.55  880.3    293.26     1.00    -9999
TSUMEB     031029 300  020500-021000   00     286.68  880.4    290.43     0.10    -9999
TSUMEB     031029 300  021000-021500   00     284.97  880.4    288.79    -0.50    -9999
TSUMEB     031029 300  021500-022000   00     286.49  880.4    290.42     0.10    -9999
TSUMEB     031029 300  022000-022500   00     288.18  880.5    292.22     0.70    -9999
TSUMEB     031029 300  022500-023000   00     288.04  880.5    292.16     0.70    -9999
TSUMEB     031029 300  023000-023500   00     285.07  880.6    289.23    -0.30    -9999
TSUMEB     031029 300  023500-024000   00     284.89  880.6    289.13    -0.40    -9999
TSUMEB     031029 300  024000-024500   00     284.56  880.7    288.88    -0.50    -9999
TSUMEB     031029 300  024500-025000   00     285.02  880.7    289.43    -0.30    -9999
TSUMEB     031029 300  025000-025500   00     284.92  880.7    289.41    -0.30    -9999
