KINGSTON   LATITUDE    -42.99    LONGITUDE     147.29    ALTITUDE    65 M
KINGSTON   INSTRUMENT   18-NM-64   IQSY 18 Section Neutron Monitor	
KINGSTON   STANDARD PRESSURE    1012.5  MB     COEFFICIENT   -0.739    % / MB
KINGSTON   PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
KINGSTON   PRE-INCREASE AVERAGE COUNTING RATE    204.42      COUNTS PER SECOND
KINGSTON   TIME INTERVALS    300         3600     
KINGSTON   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
KINGSTON   061213 300  064500-065000   00     221.08 1004.6    208.48     2.00     2.00
KINGSTON   061213 300  065000-065500   00     219.95 1004.5    207.35     1.40     1.40
KINGSTON   061213 300  065500-070000   00     219.95 1004.4    207.23     1.40     1.40
KINGSTON   061213 300  070000-070500   00     221.16 1004.5    208.40     1.90     1.90
KINGSTON   061213 300  070500-071000   00     220.67 1004.4    207.85     1.70     1.70
KINGSTON   061213 300  071000-071500   00     220.52 1004.2    207.46     1.50     1.50
KINGSTON   061213 300  071500-072000   00     221.19 1004.2    208.03     1.80     1.80
KINGSTON   061213 300  072000-072500   00     219.56 1004.2    206.49     1.00     1.00
KINGSTON   061213 300  072500-073000   00     221.39 1004.2    208.22     1.90     1.90
KINGSTON   061213 300  073000-073500   00     219.71 1004.1    206.49     1.00     1.00
KINGSTON   061213 300  073500-074000   00     220.66 1004.0    207.28     1.40     1.40
KINGSTON   061213 300  074000-074500   00     219.59 1004.0    206.22     0.90     0.90
KINGSTON   061213 300  074500-075000   00     219.39 1004.0    206.04     0.80     0.80
KINGSTON   061213 300  075000-075500   00     217.64 1003.9    204.24    -0.10    -0.10
KINGSTON   061213 300  075500-080000   00     218.75 1003.9    205.25     0.40     0.40
KINGSTON   061213 300  080000-080500   00     219.39 1003.8    205.73     0.60     0.60
KINGSTON   061213 300  080500-081000   00     219.08 1003.9    205.55     0.60     0.60
KINGSTON   061213 300  081000-081500   00     220.71 1003.9    207.06     1.30     1.30
KINGSTON   061213 300  081500-082000   00     220.71 1003.7    206.88     1.20     1.20
KINGSTON   061213 300  082000-082500   00     219.99 1003.7    206.17     0.90     0.90
KINGSTON   061213 300  082500-083000   00     218.87 1003.7    205.09     0.30     0.30
KINGSTON   061213 300  083000-083500   00     216.57 1003.7    202.94    -0.70    -0.70
KINGSTON   061213 300  083500-084000   00     217.88 1003.7    204.16    -0.10    -0.10
KINGSTON   061213 300  084000-084500   00     221.08 1003.7    207.16     1.30     1.30
KINGSTON   061213 300  084500-085000   00     217.59 1003.6    203.77    -0.30    -0.30
KINGSTON   061213 300  085000-085500   00     219.54 1003.6    205.57     0.60     0.60
KINGSTON   061213 300  085500-090000   00     216.18 1003.6    202.42    -1.00    -1.00
KINGSTON   061213 300  090000-090500   00     219.42 1003.5    205.33     0.40    -9999
KINGSTON   061213 300  090500-091000   00     218.17 1003.4    204.00    -0.20    -9999
KINGSTON   061213 300  091000-091500   00     217.21 1003.4    203.09    -0.70    -9999
KINGSTON   061213 300  091500-092000   00     219.03 1003.4    204.79     0.20    -9999
KINGSTON   061213 300  092000-092500   00     219.43 1003.4    205.16     0.40    -9999
KINGSTON   061213 300  092500-093000   00     219.16 1003.3    204.82     0.20    -9999
KINGSTON   061213 300  093000-093500   00     219.81 1003.3    205.36     0.50    -9999
KINGSTON   061213 300  093500-094000   00     219.11 1003.2    204.55     0.10    -9999
KINGSTON   061213 300  094000-094500   00     217.96 1003.2    203.43    -0.50    -9999
KINGSTON   061213 300  094500-095000   00     218.06 1003.2    203.58    -0.40    -9999
KINGSTON   061213 300  095000-095500   00     218.04 1003.2    203.53    -0.40    -9999
KINGSTON   061213 300  095500-100000   00     217.96 1003.1    203.30    -0.50    -9999
KINGSTON   061213 300  100000-100500   00     220.47 1003.0    205.49     0.50    -9999
KINGSTON   061213 300  100500-101000   00     219.23 1002.9    204.15    -0.10    -9999
KINGSTON   061213 300  101000-101500   00     217.90 1002.8    202.79    -0.80    -9999
KINGSTON   061213 300  101500-102000   00     217.86 1002.8    202.79    -0.80    -9999
KINGSTON   061213 300  102000-102500   00     219.19 1002.8    203.97    -0.20    -9999
KINGSTON   061213 300  102500-103000   00     218.50 1002.8    203.33    -0.50    -9999
KINGSTON   061213 300  103000-103500   00     217.50 1002.8    202.46    -1.00    -9999
KINGSTON   061213 300  103500-104000   00     217.46 1002.7    202.30    -1.00    -9999
KINGSTON   061213 300  104000-104500   00     216.30 1002.7    201.25    -1.60    -9999
KINGSTON   061213 300  104500-105000   00     217.74 1003.0    202.92    -0.70    -9999
KINGSTON   061213 300  105000-105500   00     221.00 1002.9    205.90     0.70    -9999
KINGSTON   061213 300  105500-110000   00     218.55 1002.9    203.55    -0.40    -9999
KINGSTON   061213 300  110000-110500   00     218.49 1002.8    203.32    -0.50    -9999
KINGSTON   061213 300  110500-111000   00     220.47 1002.8    205.19     0.40    -9999
KINGSTON   061213 300  111000-111500   00     216.77 1002.8    201.77    -1.30    -9999
KINGSTON   061213 300  111500-112000   00     218.61 1002.8    203.49    -0.50    -9999
KINGSTON   061213 300  112000-112500   00     221.42 1002.8    206.10     0.80    -9999
KINGSTON   061213 300  112500-113000   00     218.74 1002.8    203.61    -0.40    -9999
KINGSTON   061213 300  113000-113500   00     216.48 1002.7    201.42    -1.50    -9999
KINGSTON   061213 300  113500-114000   00     218.87 1002.7    203.55    -0.40    -9999
KINGSTON   061213 300  114000-114500   00     219.01 1002.6    203.53    -0.40    -9999
KINGSTON   061213 300  114500-115000   00     217.61 1002.5    202.11    -1.10    -9999
KINGSTON   061213 300  115000-115500   00     218.43 1002.4    202.75    -0.80    -9999
KINGSTON   061213 300  115500-120000   00     218.41 1002.4    202.67    -0.90    -9999
KINGSTON   061213 300  120000-120500   00     219.02 1002.3    203.15    -0.60    -9999
KINGSTON   061213 300  120500-121000   00     222.69 1002.2    206.31     0.90    -9999
KINGSTON   061213 300  121000-121500   00     218.33 1002.1    202.23    -1.10    -9999
KINGSTON   061213 300  121500-122000   00     219.38 1002.1    203.15    -0.60    -9999
KINGSTON   061213 300  122000-122500   00     219.70 1002.1    203.39    -0.50    -9999
KINGSTON   061213 300  122500-123000   00     222.34 1002.0    205.80     0.70    -9999
KINGSTON   061213 300  123000-123500   00     219.01 1001.9    202.54    -0.90    -9999
KINGSTON   061213 300  123500-124000   00     221.71 1001.8    204.79     0.20    -9999
KINGSTON   061213 300  124000-124500   00     219.95 1001.7    203.08    -0.70    -9999
KINGSTON   061213 300  124500-125000   00     219.81 1001.7    202.92    -0.70    -9999
KINGSTON   061213 300  125000-125500   00     221.21 1001.6    204.03    -0.20    -9999
KINGSTON   061213 300  125500-130000   00     219.58 1001.4    202.35    -1.00    -9999
KINGSTON   061213 300  130000-130500   00     220.01 1001.4    202.68    -0.90    -9999
KINGSTON   061213 300  130500-131000   00     220.18 1001.3    202.69    -0.80    -9999
KINGSTON   061213 300  131000-131500   00     221.04 1001.2    203.33    -0.50    -9999
KINGSTON   061213 300  131500-132000   00     221.24 1001.1    203.36    -0.50    -9999
KINGSTON   061213 300  132000-132500   00     222.07 1001.0    203.97    -0.20    -9999
KINGSTON   061213 300  132500-133000   00     223.47 1001.0    205.32     0.40    -9999
KINGSTON   061213 300  133000-133500   00     222.88 1000.9    204.57     0.10    -9999
KINGSTON   061213 300  133500-134000   00     219.67 1000.9    201.62    -1.40    -9999
KINGSTON   061213 300  134000-134500   00     221.52 1000.8    203.17    -0.60    -9999
KINGSTON   061213 300  134500-135000   00     222.37 1000.6    203.71    -0.30    -9999
KINGSTON   061213 300  135000-135500   00     223.41 1000.4    204.36     0.00    -9999
KINGSTON   061213 300  135500-140000   00     221.63 1000.3    202.55    -0.90    -9999
KINGSTON   061213 300  140000-140500   00     220.09 1000.3    201.09    -1.60    -9999
KINGSTON   061213 300  140500-141000   00     220.81 1000.1    201.51    -1.40    -9999
