PEAWANUCK  LATITUDE    55        LONGITUDE     -85       ALTITUDE    0 M
PEAWANUCK  INSTRUMENT   18NM64    NEUTRON MONITOR     
PEAWANUCK  STANDARD PRESSURE    1021.1  MB     COEFFICIENT   -0.74     % / MB
PEAWANUCK  PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
PEAWANUCK  PRE-INCREASE AVERAGE COUNTING RATE    174.81      COUNTS PER SECOND
PEAWANUCK  TIME INTERVALS    300         3600     
PEAWANUCK  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
PEAWANUCK  010415 300  160500-161000   00     238.50 1021.5    239.35    36.90    36.33
PEAWANUCK  010415 300  161000-161500   00     236.01 1021.5    236.82    35.50    34.92
PEAWANUCK  010415 300  161500-162000   00     232.92 1021.5    233.68    33.70    33.11
PEAWANUCK  010415 300  162000-162500   00     229.84 1021.5    230.56    31.90    31.29
PEAWANUCK  010415 300  162500-163000   00     228.27 1021.5    228.96    31.00    30.38
PEAWANUCK  010415 300  163000-163500   00     223.37 1021.5    224.03    28.20    27.57
PEAWANUCK  010415 300  163500-164000   00     222.69 1021.5    223.33    27.80    27.16
PEAWANUCK  010415 300  164000-164500   00     221.29 1021.4    221.92    26.90    26.25
PEAWANUCK  010415 300  164500-165000   00     214.31 1021.4    214.90    22.90    22.24
PEAWANUCK  010415 300  165000-165500   00     212.96 1021.4    213.55    22.20    21.53
PEAWANUCK  010415 300  165500-170000   00     210.84 1021.4    211.42    20.90    20.22
PEAWANUCK  010415 300  170000-170500   00     208.58 1021.5    209.20    19.70    19.01
PEAWANUCK  010415 300  170500-171000   00     206.94 1021.5    207.56    18.70    18.00
PEAWANUCK  010415 300  171000-171500   00     207.57 1021.5    208.19    19.10    18.39
PEAWANUCK  010415 300  171500-172000   00     206.64 1021.5    207.25    18.60    17.88
PEAWANUCK  010415 300  172000-172500   00     201.01 1021.5    201.61    15.30    14.57
PEAWANUCK  010415 300  172500-173000   00     204.49 1021.5    205.10    17.30    16.56
PEAWANUCK  010415 300  173000-173500   00     201.75 1021.5    202.35    15.70    14.95
PEAWANUCK  010415 300  173500-174000   00     199.15 1021.5    199.74    14.30    13.53
PEAWANUCK  010415 300  174000-174500   00     197.62 1021.5    198.21    13.40    12.62
PEAWANUCK  010415 300  174500-175000   00     197.19 1021.5    197.78    13.10    12.31
PEAWANUCK  010415 300  175000-175500   00     195.65 1021.5    196.23    12.30    11.50
PEAWANUCK  010415 300  175500-180000   00     197.21 1021.5    197.80    13.20    12.39
PEAWANUCK  010415 300  180000-180500   00     194.92 1021.5    195.52    11.90    11.08
PEAWANUCK  010415 300  180500-181000   00     194.80 1021.5    195.40    11.80    10.97
PEAWANUCK  010415 300  181000-181500   00     195.00 1021.5    195.60    11.90    11.06
PEAWANUCK  010415 300  181500-182000   00     194.89 1021.5    195.48    11.80    10.95
PEAWANUCK  010415 300  182000-182500   00     191.19 1021.5    191.77     9.70     8.84
PEAWANUCK  010415 300  182500-183000   00     195.16 1021.5    195.75    12.00    11.13
PEAWANUCK  010415 300  183000-183500   00     194.60 1021.5    195.18    11.60    10.72
PEAWANUCK  010415 300  183500-184000   00     194.64 1021.5    195.21    11.70    10.81
PEAWANUCK  010415 300  184000-184500   00     189.22 1021.5    189.76     8.50     7.60
PEAWANUCK  010415 300  184500-185000   00     192.57 1021.4    193.12    10.50     9.59
PEAWANUCK  010415 300  185000-185500   00     188.70 1021.4    189.22     8.20     7.28
PEAWANUCK  010415 300  185500-190000   00     191.84 1021.4    192.35    10.00     9.07
PEAWANUCK  010415 300  190000-190500   00     189.73 1021.4    190.25     8.80     7.85
PEAWANUCK  010415 300  190500-191000   00     188.71 1021.4    189.21     8.20     7.24
PEAWANUCK  010415 300  191000-191500   00     190.72 1021.4    191.20     9.40     8.43
PEAWANUCK  010415 300  191500-192000   00     189.96 1021.4    190.42     8.90     7.92
PEAWANUCK  010415 300  192000-192500   00     192.67 1021.4    193.11    10.50     9.51
PEAWANUCK  010415 300  192500-193000   00     187.17 1021.4    187.57     7.30     6.30
PEAWANUCK  010415 300  193000-193500   00     187.24 1021.3    187.61     7.30     6.29
PEAWANUCK  010415 300  193500-194000   00     188.26 1021.3    188.60     7.90     6.88
PEAWANUCK  010415 300  194000-194500   00     189.21 1021.3    189.51     8.40     7.37
PEAWANUCK  010415 300  194500-195000   00     189.46 1021.3    189.73     8.50     7.46
PEAWANUCK  010415 300  195000-195500   00     189.12 1021.2    189.35     8.30     7.25
PEAWANUCK  010415 300  195500-200000   00     188.11 1021.2    188.29     7.70     6.64
PEAWANUCK  010415 300  200000-200500   00     187.91 1021.1    187.93     7.50     6.43
PEAWANUCK  010415 300  200500-201000   00     188.37 1021.0    188.35     7.70     6.62
PEAWANUCK  010415 300  201000-201500   00     186.91 1021.0    186.85     6.90     5.81
PEAWANUCK  010415 300  201500-202000   00     189.17 1021.0    189.06     8.10     7.00
PEAWANUCK  010415 300  202000-202500   00     188.18 1021.0    188.04     7.60     6.49
PEAWANUCK  010415 300  202500-203000   00     188.34 1020.9    188.17     7.70     6.58
PEAWANUCK  010415 300  203000-203500   00     188.04 1020.9    187.85     7.40     6.27
PEAWANUCK  010415 300  203500-204000   00     185.04 1020.9    184.83     5.70     4.56
PEAWANUCK  010415 300  204000-204500   00     187.46 1020.9    187.23     7.10     5.94
PEAWANUCK  010415 300  204500-205000   00     186.45 1020.9    186.21     6.50     5.33
PEAWANUCK  010415 300  205000-205500   00     186.77 1020.9    186.52     6.70     5.52
PEAWANUCK  010415 300  205500-210000   00     187.06 1020.9    186.81     6.90     5.71
PEAWANUCK  010415 300  210000-210500   00     185.57 1020.9    185.34     6.00     4.80
