KERGUELEN  LATITUDE    -49.35    LONGITUDE     70.22     ALTITUDE    33 M
KERGUELEN  INSTRUMENT   IGY     NEUTRON MONITOR
KERGUELEN  STANDARD PRESSURE    750     MMHG   COEFFICIENT   -1.01     % / MMHG
KERGUELEN  PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
KERGUELEN  PRE-INCREASE AVERAGE COUNTING RATE    184.24      COUNTS PER SECOND
KERGUELEN  TIME INTERVALS    300      
KERGUELEN  SCALE FACTORS     1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
KERGUELEN  000713 300  194500-195000   00     190.53  745.7    182.13    -1.10    -9999
KERGUELEN  000713 300  195000-195500   00     189.73  745.7    181.47    -1.50    -9999
KERGUELEN  000713 300  195500-200000   00     188.40  745.7    180.27    -2.20    -9999
KERGUELEN  000713 300  200000-200500   00     189.47  745.7    181.20    -1.70    -9999
KERGUELEN  000713 300  200500-201000   00     188.13  745.7    180.00    -2.30    -9999
KERGUELEN  000713 300  201000-201500   00     188.27  745.6    179.87    -2.40    -9999
KERGUELEN  000713 300  201500-202000   00     188.40  745.6    180.00    -2.30    -9999
KERGUELEN  000713 300  202000-202500   00     189.20  745.5    180.67    -1.90    -9999
KERGUELEN  000713 300  202500-203000   00     189.07  745.7    180.93    -1.80    -9999
KERGUELEN  000713 300  203000-203500   00     186.53  745.9    178.80    -3.00    -9999
KERGUELEN  000713 300  203500-204000   00     187.07  745.9    179.33    -2.70    -9999
KERGUELEN  000713 300  204000-204500   00     187.33  746.0    179.73    -2.40    -9999
KERGUELEN  000713 300  204500-205000   00     187.60  746.0    180.00    -2.30    -9999
KERGUELEN  000713 300  205000-205500   00     186.80  746.1    179.33    -2.70    -9999
KERGUELEN  000713 300  205500-210000   00     186.27  746.1    178.93    -2.90    -9999
KERGUELEN  000713 300  210000-210500   00     187.33  746.1    179.87    -2.40    -9999
KERGUELEN  000713 300  210500-211000   00     188.13  746.0    180.53    -2.00    -9999
KERGUELEN  000713 300  211000-211500   00     187.60  746.0    180.00    -2.30    -9999
KERGUELEN  000713 300  211500-212000   00     188.13  746.0    180.53    -2.00    -9999
KERGUELEN  000713 300  212000-212500   00     188.53  746.0    180.80    -1.90    -9999
KERGUELEN  000713 300  212500-213000   00     188.00  746.2    180.80    -1.90    -9999
KERGUELEN  000713 300  213000-213500   00     190.00  746.1    182.40    -1.00    -9999
KERGUELEN  000713 300  213500-214000   00     185.07  746.0    177.47    -3.70    -9999
KERGUELEN  000713 300  214000-214500   00     187.47  746.1    180.00    -2.30    -9999
KERGUELEN  000713 300  214500-215000   00     189.60  746.2    182.40    -1.00    -9999
KERGUELEN  000713 300  215000-215500   00     185.87  746.2    178.67    -3.00    -9999
KERGUELEN  000713 300  215500-220000   00     189.33  746.3    182.13    -1.10    -9999
KERGUELEN  000713 300  220000-220500   00     187.07  746.4    180.27    -2.20    -9999
KERGUELEN  000713 300  220500-221000   00     188.27  746.7    181.87    -1.30    -9999
KERGUELEN  000713 300  221000-221500   00     187.47  746.7    181.07    -1.70    -9999
KERGUELEN  000713 300  221500-222000   00     187.07  746.3    179.87    -2.40    -9999
KERGUELEN  000713 300  222000-222500   00     186.53  746.2    179.33    -2.70    -9999
KERGUELEN  000713 300  222500-223000   00     186.80  746.2    179.60    -2.50    -9999
KERGUELEN  000713 300  223000-223500   00     185.47  746.1    178.13    -3.30    -9999
KERGUELEN  000713 300  223500-224000   00     188.40  746.2    181.20    -1.70    -9999
KERGUELEN  000713 300  224000-224500   00     188.53  746.2    181.33    -1.60    -9999
KERGUELEN  000713 300  224500-225000   00     187.47  746.3    180.27    -2.20    -9999
KERGUELEN  000713 300  225000-225500   00     187.60  746.4    180.80    -1.90    -9999
KERGUELEN  000713 300  225500-230000   00     188.53  746.3    181.33    -1.60    -9999
KERGUELEN  000713 300  230000-230500   00     185.33  746.3    178.40    -3.20    -9999
KERGUELEN  000713 300  230500-231000   00     186.67  746.3    179.47    -2.60    -9999
KERGUELEN  000713 300  231000-231500   00     190.13  746.4    183.20    -0.60    -9999
KERGUELEN  000713 300  231500-232000   00     189.87  746.3    182.67    -0.90    -9999
KERGUELEN  000713 300  232000-232500   00     188.00  746.4    181.20    -1.70    -9999
KERGUELEN  000713 300  232500-233000   00     185.20  746.4    178.40    -3.20    -9999
KERGUELEN  000713 300  233000-233500   00     191.73  746.3    184.53     0.20    -9999
KERGUELEN  000713 300  233500-234000   00     186.53  746.4    179.73    -2.40    -9999
KERGUELEN  000713 300  234000-234500   00     187.20  746.5    180.40    -2.10    -9999
KERGUELEN  000713 300  234500-235000   00     188.93  746.4    182.00    -1.20    -9999
KERGUELEN  000713 300  235000-235500   00     187.73  746.5    180.93    -1.80    -9999
KERGUELEN  000713 300  235500-240000   00     190.93  746.6    184.27     0.00    -9999
KERGUELEN  000714 300  000000-000500   00     187.73  746.5    181.40    -1.50    -9999
KERGUELEN  000714 300  000500-001000   00     185.20  746.7    179.31    -2.70    -9999
KERGUELEN  000714 300  001000-001500   00     187.20  746.7    181.06    -1.70    -9999
KERGUELEN  000714 300  001500-002000   00     186.53  746.8    180.60    -2.00    -9999
KERGUELEN  000714 300  002000-002500   00     187.87  746.8    181.89    -1.30    -9999
KERGUELEN  000714 300  002500-003000   00     188.00  746.8    182.20    -1.10    -9999
KERGUELEN  000714 300  003000-003500   00     189.20  746.9    183.37    -0.50    -9999
KERGUELEN  000714 300  003500-004000   00     188.00  746.9    182.20    -1.10    -9999
KERGUELEN  000714 300  004000-004500   00     186.40  747.0    181.02    -1.70    -9999
KERGUELEN  000714 300  004500-005000   00     189.73  747.2    184.44     0.10    -9999
KERGUELEN  000714 300  005000-005500   00     190.00  747.3    184.89     0.40    -9999
KERGUELEN  000714 300  005500-006000   00     187.73  747.3    182.68    -0.80    -9999
KERGUELEN  000714 300  010000-010500   00     188.93  747.3    183.85    -0.20    -9999
KERGUELEN  000714 300  010500-011000   00     186.93  747.3    181.91    -1.30    -9999
KERGUELEN  000714 300  011000-011500   00     190.00  747.3    184.89     0.40    -9999
KERGUELEN  000714 300  011500-012000   00     190.13  747.4    185.21     0.50    -9999
KERGUELEN  000714 300  012000-012500   00     190.00  747.4    185.26     0.60    -9999
