MAWSON     LATITUDE    -67.6     LONGITUDE     62.88     ALTITUDE    30 M
MAWSON     INSTRUMENT   IGY     NEUTRON MONITOR
MAWSON     STANDARD PRESSURE    990     MB     COEFFICIENT   -0.739    % / MB
MAWSON     PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
MAWSON     PRE-INCREASE AVERAGE COUNTING RATE    240.49      COUNTS PER SECOND
MAWSON     TIME INTERVALS    300         3600     
MAWSON     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
MAWSON     061213 300  092500-093000   00     269.10  978.3    246.81     2.60     2.60
MAWSON     061213 300  093000-093500   00     268.80  978.3    246.53     2.50     2.50
MAWSON     061213 300  093500-094000   00     270.77  978.3    248.34     3.30     3.30
MAWSON     061213 300  094000-094500   00     269.11  978.4    246.93     2.70     2.70
MAWSON     061213 300  094500-095000   00     268.53  978.4    246.44     2.50     2.50
MAWSON     061213 300  095000-095500   00     269.08  978.4    246.97     2.70     2.70
MAWSON     061213 300  095500-100000   00     266.82  978.4    244.97     1.90     1.90
MAWSON     061213 300  100000-100500   00     265.70  978.5    244.05     1.50     1.50
MAWSON     061213 300  100500-101000   00     267.38  978.5    245.53     2.10     2.10
MAWSON     061213 300  101000-101500   00     267.40  978.5    245.57     2.10     2.10
MAWSON     061213 300  101500-102000   00     267.09  978.5    245.34     2.00     2.00
MAWSON     061213 300  102000-102500   00     268.65  978.5    246.76     2.60     2.60
MAWSON     061213 300  102500-103000   00     267.22  978.5    245.45     2.10     2.10
MAWSON     061213 300  103000-103500   00     267.55  978.5    245.76     2.20     2.20
MAWSON     061213 300  103500-104000   00     268.55  978.5    246.67     2.60     2.60
MAWSON     061213 300  104000-104500   00     265.73  978.5    244.15     1.50     1.50
MAWSON     061213 300  104500-105000   00     267.69  978.6    246.06     2.30     2.30
MAWSON     061213 300  105000-105500   00     267.91  978.6    246.26     2.40     2.40
MAWSON     061213 300  105500-110000   00     267.18  978.6    245.59     2.10     2.10
MAWSON     061213 300  110000-110500   00     269.07  978.6    247.37     2.90     2.90
MAWSON     061213 300  110500-111000   00     268.34  978.7    246.84     2.60     2.60
MAWSON     061213 300  111000-111500   00     267.66  978.7    246.21     2.40     2.40
MAWSON     061213 300  111500-112000   00     265.38  978.7    244.11     1.50     1.50
MAWSON     061213 300  112000-112500   00     268.43  978.7    246.92     2.70     2.70
MAWSON     061213 300  112500-113000   00     269.85  978.7    248.31     3.30     3.30
MAWSON     061213 300  113000-113500   00     267.08  978.8    245.86     2.20     2.20
MAWSON     061213 300  113500-114000   00     267.87  978.8    246.59     2.50     2.50
MAWSON     061213 300  114000-114500   00     262.85  978.8    241.97     0.60     0.60
MAWSON     061213 300  114500-115000   00     267.78  978.8    246.51     2.50     2.50
MAWSON     061213 300  115000-115500   00     265.92  978.8    244.87     1.80     1.80
MAWSON     061213 300  115500-120000   00     268.27  978.9    247.14     2.80     2.80
MAWSON     061213 300  120000-120500   00     268.08  978.9    246.96     2.70     2.70
MAWSON     061213 300  120500-121000   00     267.08  978.9    246.05     2.30     2.30
MAWSON     061213 300  121000-121500   00     266.42  978.9    245.44     2.10     2.10
MAWSON     061213 300  121500-122000   00     267.29  978.9    246.23     2.40     2.40
MAWSON     061213 300  122000-122500   00     263.86  978.9    243.08     1.10     1.10
MAWSON     061213 300  122500-123000   00     266.16  978.9    245.20     2.00     2.00
