KERGUELEN  LATITUDE    -49.35    LONGITUDE     70.25     ALTITUDE    33 M
KERGUELEN  INSTRUMENT   18-NM-64  NEUTRON MONITOR	
KERGUELEN  STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.7575   % / MB
KERGUELEN  PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
KERGUELEN  PRE-INCREASE AVERAGE COUNTING RATE    222.38      COUNTS PER SECOND
KERGUELEN  TIME INTERVALS    300         3600     
KERGUELEN  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
KERGUELEN  120517 300  120000-120500   00     254.80  985.5    228.42     2.70    -9999
KERGUELEN  120517 300  120500-121000   00     253.73  985.5    227.51     2.30    -9999
KERGUELEN  120517 300  121000-121500   00     253.33  985.5    227.15     2.10    -9999
KERGUELEN  120517 300  121500-122000   00     252.93  985.5    226.70     1.90    -9999
KERGUELEN  120517 300  122000-122500   00     250.93  985.4    224.73     1.10    -9999
KERGUELEN  120517 300  122500-123000   00     253.47  985.4    227.00     2.10    -9999
KERGUELEN  120517 300  123000-123500   00     251.07  985.3    224.76     1.10    -9999
KERGUELEN  120517 300  123500-124000   00     253.60  985.3    227.03     2.10    -9999
KERGUELEN  120517 300  124000-124500   00     251.73  985.3    225.40     1.40    -9999
KERGUELEN  120517 300  124500-125000   00     254.80  985.3    228.05     2.50    -9999
KERGUELEN  120517 300  125000-125500   00     254.53  985.4    227.95     2.50    -9999
KERGUELEN  120517 300  125500-130000   00     251.87  985.5    225.75     1.50    -9999
KERGUELEN  120517 300  130000-130500   00     252.93  985.4    226.52     1.90    -9999
KERGUELEN  120517 300  130500-131000   00     251.47  985.3    225.16     1.30    -9999
KERGUELEN  120517 300  131000-131500   00     249.33  985.3    223.25     0.40    -9999
KERGUELEN  120517 300  131500-132000   00     254.27  985.2    227.53     2.30    -9999
KERGUELEN  120517 300  132000-132500   00     253.87  985.1    226.94     2.10    -9999
KERGUELEN  120517 300  132500-133000   00     249.87  985.3    223.68     0.60    -9999
KERGUELEN  120517 300  133000-133500   00     249.87  985.6    224.14     0.80    -9999
KERGUELEN  120517 300  133500-134000   00     251.07  985.6    225.30     1.30    -9999
KERGUELEN  120517 300  134000-134500   00     250.53  985.8    225.05     1.20    -9999
KERGUELEN  120517 300  134500-135000   00     250.00  985.9    224.75     1.10    -9999
KERGUELEN  120517 300  135000-135500   00     248.93  985.9    223.89     0.70    -9999
KERGUELEN  120517 300  135500-140000   00     249.20  985.9    224.13     0.80    -9999
KERGUELEN  120517 300  140000-140500   00     250.67  985.8    225.22     1.30    -9999
KERGUELEN  120517 300  140500-141000   00     251.60  985.9    226.24     1.70    -9999
KERGUELEN  120517 300  141000-141500   00     250.27  985.9    225.09     1.20    -9999
KERGUELEN  120517 300  141500-142000   00     247.73  985.9    222.81     0.20    -9999
KERGUELEN  120517 300  142000-142500   00     253.20  986.0    227.82     2.40    -9999
KERGUELEN  120517 300  142500-143000   00     247.60  985.9    222.73     0.20    -9999
KERGUELEN  120517 300  143000-143500   00     246.00  986.0    221.47    -0.40    -9999
KERGUELEN  120517 300  143500-144000   00     249.73  986.2    225.11     1.20    -9999
KERGUELEN  120517 300  144000-144500   00     251.33  986.2    226.50     1.90    -9999
KERGUELEN  120517 300  144500-145000   00     248.40  986.2    223.95     0.70    -9999
KERGUELEN  120517 300  145000-145500   00     248.27  986.3    223.92     0.70    -9999
KERGUELEN  120517 300  145500-150000   00     246.53  986.3    222.40     0.00    -9999
KERGUELEN  120517 300  150000-150500   00     246.80  986.3    222.64     0.10    -9999
KERGUELEN  120517 300  150500-151000   00     248.80  986.3    224.49     0.90    -9999
KERGUELEN  120517 300  151000-151500   00     245.33  986.4    221.41    -0.40    -9999
KERGUELEN  120517 300  151500-152000   00     245.73  986.3    221.72    -0.30    -9999
KERGUELEN  120517 300  152000-152500   00     248.40  986.4    224.18     0.80    -9999
KERGUELEN  120517 300  152500-153000   00     245.60  986.4    221.78    -0.30    -9999
KERGUELEN  120517 300  153000-153500   00     247.07  986.4    223.11     0.30    -9999
KERGUELEN  120517 300  153500-154000   00     246.67  986.4    222.74     0.20    -9999
KERGUELEN  120517 300  154000-154500   00     244.93  986.5    221.22    -0.50    -9999
KERGUELEN  120517 300  154500-155000   00     247.73  986.6    223.93     0.70    -9999
