YAKUTSK    LATITUDE    62.02     LONGITUDE     129.72    ALTITUDE    105 M
YAKUTSK    INSTRUMENT   18NM64    NEUTRON MONITOR     	
YAKUTSK    STANDARD PRESSURE    1003    mb     COEFFICIENT   -0.715    % / mb
YAKUTSK    PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
YAKUTSK    PRE-INCREASE AVERAGE COUNTING RATE    210.77      COUNTS PER SECOND
YAKUTSK    TIME INTERVALS    300         3600     
YAKUTSK    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
YAKUTSK    061213 300  111400-111900   00     202.94 1007.5    209.54    -0.60    -9999
YAKUTSK    061213 300  111900-112400   00     203.70 1007.5    210.36    -0.20    -9999
YAKUTSK    061213 300  112400-112900   00     205.00 1007.6    211.82     0.50    -9999
YAKUTSK    061213 300  112900-113400   00     203.82 1007.6    210.66    -0.10    -9999
YAKUTSK    061213 300  113400-113900   00     201.98 1007.7    208.86    -0.90    -9999
YAKUTSK    061213 300  113900-114400   00     202.08 1007.7    208.98    -0.80    -9999
YAKUTSK    061213 300  114400-114900   00     201.52 1007.7    208.46    -1.10    -9999
YAKUTSK    061213 300  114900-115400   00     202.76 1007.6    209.62    -0.50    -9999
YAKUTSK    061213 300  115400-115900   00     203.02 1007.6    209.80    -0.50    -9999
YAKUTSK    061213 300  115900-120400   00     201.46 1007.7    208.32    -1.20    -9999
YAKUTSK    061213 300  120400-120900   00     201.74 1007.7    208.66    -1.00    -9999
YAKUTSK    061213 300  120900-121400   00     203.98 1007.8    211.02     0.10    -9999
YAKUTSK    061213 300  121400-121900   00     203.34 1007.8    210.46    -0.10    -9999
YAKUTSK    061213 300  121900-122400   00     201.90 1007.8    208.88    -0.90    -9999
YAKUTSK    061213 300  122400-122900   00     202.54 1007.8    209.60    -0.60    -9999
YAKUTSK    061213 300  122900-123400   00     200.24 1007.8    207.22    -1.70    -9999
YAKUTSK    061213 300  123400-123900   00     201.60 1007.7    208.52    -1.10    -9999
YAKUTSK    061213 300  123900-124400   00     201.40 1007.7    208.34    -1.20    -9999
YAKUTSK    061213 300  124400-124900   00     202.30 1007.8    209.34    -0.70    -9999
YAKUTSK    061213 300  124900-125400   00     202.70 1007.7    209.66    -0.50    -9999
YAKUTSK    061213 300  125400-125900   00     201.60 1007.8    208.60    -1.00    -9999
YAKUTSK    061213 300  125900-130400   00     201.62 1007.8    208.66    -1.00    -9999
YAKUTSK    061213 300  130400-130900   00     203.12 1007.8    210.18    -0.30    -9999
YAKUTSK    061213 300  130900-131400   00     203.18 1007.8    210.26    -0.20    -9999
YAKUTSK    061213 300  131400-131900   00     200.44 1007.8    207.42    -1.60    -9999
YAKUTSK    061213 300  131900-132400   00     201.02 1007.9    208.14    -1.20    -9999
YAKUTSK    061213 300  132400-132900   00     200.62 1007.9    207.70    -1.50    -9999
YAKUTSK    061213 300  132900-133400   00     202.74 1007.9    209.98    -0.40    -9999
YAKUTSK    061213 300  133400-133900   00     203.96 1007.8    211.08     0.10    -9999
YAKUTSK    061213 300  133900-134400   00     203.72 1007.8    210.86     0.00    -9999
YAKUTSK    061213 300  134400-134900   00     202.04 1007.8    209.12    -0.80    -9999
YAKUTSK    061213 300  134900-135400   00     200.90 1007.9    208.06    -1.30    -9999
YAKUTSK    061213 300  135400-135900   00     201.56 1007.9    208.72    -1.00    -9999
