CALGARY    LATITUDE    51.08     LONGITUDE     -114.13   ALTITUDE    1128 M
CALGARY    INSTRUMENT   12NM64    NEUTRON MONITOR     	
CALGARY    STANDARD PRESSURE    885     mb     COEFFICIENT   -0.73     % / mb
CALGARY    PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
CALGARY    PRE-INCREASE AVERAGE COUNTING RATE    263.82      COUNTS PER SECOND
CALGARY    TIME INTERVALS    300         3600     
CALGARY    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
CALGARY    031028 300  214500-215000   00     331.28  867.0    290.49    10.10     9.40
CALGARY    031028 300  215000-215500   00     333.60  867.0    292.52    10.90    10.19
CALGARY    031028 300  215500-220000   00     333.17  867.0    292.15    10.70     9.99
CALGARY    031028 300  220000-220500   00     332.30  867.0    291.38    10.40     9.68
CALGARY    031028 300  220500-221000   00     332.67  867.0    291.71    10.60     9.88
CALGARY    031028 300  221000-221500   00     330.38  867.0    289.70     9.80     9.08
CALGARY    031028 300  221500-222000   00     332.57  867.0    291.62    10.50     9.77
CALGARY    031028 300  222000-222500   00     330.72  867.0    290.00     9.90     9.17
CALGARY    031028 300  222500-223000   00     334.27  867.0    293.11    11.10    10.36
CALGARY    031028 300  223000-223500   00     328.85  866.0    286.26     8.50     7.76
CALGARY    031028 300  223500-224000   00     328.65  866.0    286.09     8.40     7.66
CALGARY    031028 300  224000-224500   00     331.22  866.0    288.32     9.30     8.55
CALGARY    031028 300  224500-225000   00     329.92  866.0    287.19     8.90     8.15
CALGARY    031028 300  225000-225500   00     331.32  866.0    288.41     9.30     8.54
CALGARY    031028 300  225500-230000   00     330.68  866.0    287.85     9.10     8.34
CALGARY    031028 300  230000-230500   00     331.15  866.0    288.26     9.30     8.53
CALGARY    031028 300  230500-231000   00     331.75  866.0    288.78     9.50     8.73
CALGARY    031028 300  231000-231500   00     333.43  866.0    290.25    10.00     9.23
CALGARY    031028 300  231500-232000   00     331.75  866.0    288.78     9.50     8.72
CALGARY    031028 300  232000-232500   00     334.03  866.0    290.77    10.20     9.42
CALGARY    031028 300  232500-233000   00     331.52  866.0    288.58     9.40     8.61
CALGARY    031028 300  233000-233500   00     331.15  866.0    288.26     9.30     8.51
