HERMANUS   LATITUDE    -34.42    LONGITUDE     19.22     ALTITUDE    26 M
HERMANUS   INSTRUMENT   12NM64    NEUTRON MONITOR     
HERMANUS   STANDARD PRESSURE    760     MMHG   COEFFICIENT   0.95      % / MMHG
HERMANUS   PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
HERMANUS   PRE-INCREASE AVERAGE COUNTING RATE    119.84      COUNTS PER SECOND
HERMANUS   TIME INTERVALS    300         3600     
HERMANUS   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
HERMANUS   061213 300  144500-145000   00     123.43  756.9    119.89     0.00    -9999
HERMANUS   061213 300  145000-145500   00     124.72  757.1    121.28     1.20    -9999
HERMANUS   061213 300  145500-150000   00     124.00  757.1    120.63     0.60    -9999
HERMANUS   061213 300  150000-150500   00     121.93  757.1    118.66    -1.00    -9999
HERMANUS   061213 300  150500-151000   00     122.54  757.2    119.28    -0.50    -9999
HERMANUS   061213 300  151000-151500   00     122.19  757.2    118.98    -0.70    -9999
HERMANUS   061213 300  151500-152000   00     123.60  757.1    120.29     0.40    -9999
HERMANUS   061213 300  152000-152500   00     122.26  757.1    118.96    -0.80    -9999
HERMANUS   061213 300  152500-153000   00     124.12  757.2    120.86     0.80    -9999
HERMANUS   061213 300  153000-153500   00     125.37  757.2    122.08     1.90    -9999
HERMANUS   061213 300  153500-154000   00     122.54  757.2    119.32    -0.50    -9999
HERMANUS   061213 300  154000-154500   00     123.75  757.2    120.51     0.50    -9999
HERMANUS   061213 300  154500-155000   00     124.21  757.2    120.95     0.90    -9999
HERMANUS   061213 300  155000-155500   00     123.51  757.2    120.27     0.40    -9999
HERMANUS   061213 300  155500-160000   00     123.93  757.2    120.68     0.70    -9999
HERMANUS   061213 300  160000-160500   00     124.46  757.2    121.19     1.10    -9999
HERMANUS   061213 300  160500-161000   00     123.57  757.3    120.40     0.50    -9999
HERMANUS   061213 300  161000-161500   00     123.18  757.3    120.02     0.10    -9999
HERMANUS   061213 300  161500-162000   00     123.81  757.3    120.67     0.70    -9999
HERMANUS   061213 300  162000-162500   00     123.21  757.4    120.15     0.30    -9999
HERMANUS   061213 300  162500-163000   00     124.95  757.5    121.99     1.80    -9999
HERMANUS   061213 300  163000-163500   00     121.48  757.6    118.74    -0.90    -9999
HERMANUS   061213 300  163500-164000   00     122.97  757.6    120.24     0.30    -9999
HERMANUS   061213 300  164000-164500   00     120.94  757.7    118.33    -1.30    -9999
HERMANUS   061213 300  164500-165000   00     123.08  757.8    120.49     0.50    -9999
HERMANUS   061213 300  165000-165500   00     122.39  757.8    119.86     0.00    -9999
HERMANUS   061213 300  165500-170000   00     121.99  757.8    119.49    -0.30    -9999
HERMANUS   061213 300  170000-170500   00     124.59  757.9    122.13     1.90    -9999
HERMANUS   061213 300  170500-171000   00     120.97  757.9    118.58    -1.00    -9999
HERMANUS   061213 300  171000-171500   00     121.43  758.0    119.12    -0.60    -9999
HERMANUS   061213 300  171500-172000   00     120.98  758.1    118.77    -0.90    -9999
HERMANUS   061213 300  172000-172500   00     121.56  758.1    119.39    -0.40    -9999
HERMANUS   061213 300  172500-173000   00     121.41  758.2    119.35    -0.40    -9999
HERMANUS   061213 300  173000-173500   00     121.37  758.2    119.32    -0.40    -9999
HERMANUS   061213 300  173500-174000   00     123.06  758.3    121.09     1.00    -9999
HERMANUS   061213 300  174000-174500   00     121.99  758.3    120.03     0.20    -9999
HERMANUS   061213 300  174500-175000   00     121.22  758.4    119.35    -0.40    -9999
HERMANUS   061213 300  175000-175500   00     121.01  758.5    119.26    -0.50    -9999
HERMANUS   061213 300  175500-180000   00     121.20  758.5    119.44    -0.30    -9999
HERMANUS   061213 300  180000-180500   00     122.00  758.5    120.28     0.40    -9999
HERMANUS   061213 300  180500-181000   00     121.34  758.5    119.62    -0.20    -9999
HERMANUS   061213 300  181000-181500   00     121.58  758.6    119.93     0.10    -9999
HERMANUS   061213 300  181500-182000   00     121.39  758.6    119.78    -0.10    -9999
HERMANUS   061213 300  182000-182500   00     121.66  758.6    120.10     0.20    -9999
HERMANUS   061213 300  182500-183000   00     122.64  758.7    121.09     1.10    -9999
HERMANUS   061213 300  183000-183500   00     123.79  758.7    122.27     2.00    -9999
HERMANUS   061213 300  183500-184000   00     121.47  758.8    120.09     0.20    -9999
HERMANUS   061213 300  184000-184500   00     121.85  758.8    120.44     0.50    -9999
HERMANUS   061213 300  184500-185000   00     121.33  758.7    119.84     0.00    -9999
HERMANUS   061213 300  185000-185500   00     121.60  758.7    120.06     0.20    -9999
HERMANUS   061213 300  185500-190000   00     122.54  758.6    120.92     0.90    -9999
HERMANUS   061213 300  190000-190500   00     120.69  758.6    119.09    -0.60    -9999
HERMANUS   061213 300  190500-191000   00     121.08  758.6    119.48    -0.30    -9999
HERMANUS   061213 300  191000-191500   00     124.02  758.5    122.31     2.10    -9999
HERMANUS   061213 300  191500-192000   00     121.25  758.6    119.65    -0.20    -9999
HERMANUS   061213 300  192000-192500   00     119.85  758.6    118.26    -1.30    -9999
HERMANUS   061213 300  192500-193000   00     120.79  758.6    119.20    -0.50    -9999
HERMANUS   061213 300  193000-193500   00     121.95  758.7    120.41     0.50    -9999
HERMANUS   061213 300  193500-194000   00     120.59  758.7    119.11    -0.60    -9999
HERMANUS   061213 300  194000-194500   00     119.68  758.7    118.21    -1.40    -9999
HERMANUS   061213 300  194500-195000   00     121.02  758.7    119.58    -0.20    -9999
HERMANUS   061213 300  195000-195500   00     120.46  758.8    119.09    -0.60    -9999
HERMANUS   061213 300  195500-200000   00     120.92  758.7    119.48    -0.30    -9999
HERMANUS   061213 300  200000-200500   00     121.79  758.7    120.34     0.40    -9999
HERMANUS   061213 300  200500-201000   00     121.23  758.8    119.90     0.10    -9999
HERMANUS   061213 300  201000-201500   00     122.04  758.9    120.77     0.80    -9999
HERMANUS   061213 300  201500-202000   00     122.01  758.9    120.74     0.70    -9999
HERMANUS   061213 300  202000-202500   00     120.45  758.9    119.19    -0.60    -9999
HERMANUS   061213 300  202500-203000   00     120.98  758.9    119.72    -0.10    -9999
HERMANUS   061213 300  203000-203500   00     121.51  758.9    120.25     0.30    -9999
HERMANUS   061213 300  203500-204000   00     119.86  758.9    118.66    -1.00    -9999
HERMANUS   061213 300  204000-204500   00     123.46  758.9    122.22     2.00    -9999
HERMANUS   061213 300  204500-205000   00     119.62  759.0    118.49    -1.10    -9999
HERMANUS   061213 300  205000-205500   00     120.50  759.1    119.45    -0.30    -9999
HERMANUS   061213 300  205500-210000   00     121.14  759.1    120.15     0.30    -9999
HERMANUS   061213 300  210000-210500   00     121.36  759.1    120.33     0.40    -9999
HERMANUS   061213 300  210500-211000   00     120.20  759.3    119.36    -0.40    -9999
HERMANUS   061213 300  211000-211500   00     122.40  759.3    121.59     1.50    -9999
HERMANUS   061213 300  211500-212000   00     119.71  759.4    118.98    -0.70    -9999
HERMANUS   061213 300  212000-212500   00     121.39  759.4    120.70     0.70    -9999
HERMANUS   061213 300  212500-213000   00     120.52  759.4    119.78    -0.10    -9999
HERMANUS   061213 300  213000-213500   00     121.81  759.3    121.00     1.00    -9999
HERMANUS   061213 300  213500-214000   00     120.35  759.3    119.56    -0.20    -9999
HERMANUS   061213 300  214000-214500   00     121.00  759.3    120.20     0.30    -9999
HERMANUS   061213 300  214500-215000   00     120.21  759.3    119.41    -0.30    -9999
HERMANUS   061213 300  215000-215500   00     120.38  759.3    119.54    -0.20    -9999
HERMANUS   061213 300  215500-220000   00     118.47  759.2    117.58    -1.90    -9999
HERMANUS   061213 300  220000-220500   00     120.02  759.1    119.00    -0.70    -9999
