Fort SMITH LATITUDE    60        LONGITUDE     -112      ALTITUDE    0 M
Fort SMITH INSTRUMENT   18NM64    NEUTRON MONITOR     	
Fort SMITH STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.72     % / MB
Fort SMITH PRE-INCREASE BASELINE TIME INTERVAL    211028    130000-150000   UT
Fort SMITH PRE-INCREASE AVERAGE COUNTING RATE    226.72      COUNTS PER SECOND
Fort SMITH TIME INTERVALS    300         3600     
Fort SMITH SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
Fort SMITH 211028 300  215000-215500   00     297.89  978.1    229.86     1.38     0.27
Fort SMITH 211028 300  215500-220000   00     298.52  978.1    230.35     1.60     0.49
Fort SMITH 211028 300  220000-220500   00     300.48  978.0    231.79     2.24     1.13
Fort SMITH 211028 300  220500-221000   00     297.90  978.0    229.75     1.33     0.22
Fort SMITH 211028 300  221000-221500   00     299.45  978.0    230.93     1.86     0.75
Fort SMITH 211028 300  221500-222000   00     298.60  978.0    230.27     1.57     0.47
Fort SMITH 211028 300  222000-222500   00     299.89  978.0    231.27     2.00     0.90
Fort SMITH 211028 300  222500-223000   00     299.30  978.0    230.87     1.83     0.73
Fort SMITH 211028 300  223000-223500   00     300.15  978.0    231.51     2.11     1.01
Fort SMITH 211028 300  223500-224000   00     297.37  978.0    229.30     1.14     0.04
Fort SMITH 211028 300  224000-224500   00     299.20  977.9    230.54     1.68     0.59
Fort SMITH 211028 300  224500-225000   00     296.32  977.9    228.30     0.70    -0.39
Fort SMITH 211028 300  225000-225500   00     297.71  977.8    229.32     1.14     0.05
Fort SMITH 211028 300  225500-230000   00     296.96  977.8    228.63     0.84    -0.24
Fort SMITH 211028 300  230000-230500   00     299.70  977.7    230.65     1.73     0.65
Fort SMITH 211028 300  230500-231000   00     295.89  977.7    227.67     0.42    -0.66
Fort SMITH 211028 300  231000-231500   00     296.93  977.6    228.38     0.73    -0.34
Fort SMITH 211028 300  231500-232000   00     299.97  977.6    230.61     1.71     0.64
Fort SMITH 211028 300  232000-232500   00     298.96  977.6    229.86     1.38     0.32
Fort SMITH 211028 300  232500-233000   00     300.51  977.7    231.24     1.99     0.93
Fort SMITH 211028 300  233000-233500   00     296.73  977.8    228.44     0.76    -0.29
