POTCHEFSTR LATITUDE    -26.68    LONGITUDE     27.92     ALTITUDE    1351 M
POTCHEFSTR INSTRUMENT   12IGY    NEUTRON MONITOR     
POTCHEFSTR STANDARD PRESSURE    869.7   mb     COEFFICIENT   -0.743    % / mb
POTCHEFSTR PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
POTCHEFSTR PRE-INCREASE AVERAGE COUNTING RATE     52.98      COUNTS PER SECOND
POTCHEFSTR TIME INTERVALS    300         3600     
POTCHEFSTR SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
POTCHEFSTR 031028 300  224000-224500   00    -999.00 -999.0   -999.00    -9999    -9999
POTCHEFSTR 031028 300  224500-225000   00    -999.00 -999.0   -999.00    -9999    -9999
POTCHEFSTR 031028 300  225000-225500   00    -999.00 -999.0   -999.00    -9999    -9999
POTCHEFSTR 031028 300  225500-230000   00    -999.00 -999.0   -999.00    -9999    -9999
POTCHEFSTR 031028 300  230000-230500   00    -999.00   29.0   -999.00    -9999    -9999
POTCHEFSTR 031028 300  230500-231000   00    -999.00  101.6   -999.00    -9999    -9999
POTCHEFSTR 031028 300  231000-231500   00    -999.00  174.2   -999.00    -9999    -9999
POTCHEFSTR 031028 300  231500-232000   00    -999.00  246.8   -999.00    -9999    -9999
POTCHEFSTR 031028 300  232000-232500   00    -999.00  319.4   -999.00    -9999    -9999
POTCHEFSTR 031028 300  232500-233000   00    -999.00  392.0   -999.00    -9999    -9999
POTCHEFSTR 031028 300  233000-233500   00    -999.00  464.5   -999.00    -9999    -9999
POTCHEFSTR 031028 300  233500-234000   00    -999.00  537.1   -999.00    -9999    -9999
POTCHEFSTR 031028 300  234000-234500   00    -999.00  609.7   -999.00    -9999    -9999
POTCHEFSTR 031028 300  234500-235000   00    -999.00  682.3   -999.00    -9999    -9999
POTCHEFSTR 031028 300  235000-235500   00    -999.00  754.9   -999.00    -9999    -9999
POTCHEFSTR 031028 300  235500-240000   00    -999.00  827.5   -999.00    -9999    -9999
POTCHEFSTR 031029 300  000000-000500   00      52.40  871.0     52.91    -0.10    -9999
POTCHEFSTR 031029 300  000500-001000   00      52.10  871.0     52.60    -0.70    -9999
POTCHEFSTR 031029 300  001000-001500   00      51.84  871.0     52.34    -1.20    -9999
POTCHEFSTR 031029 300  001500-002000   00      51.60  871.0     52.09    -1.70    -9999
POTCHEFSTR 031029 300  002000-002500   00      51.68  871.0     52.17    -1.50    -9999
POTCHEFSTR 031029 300  002500-003000   00      51.96  871.0     52.45    -1.00    -9999
POTCHEFSTR 031029 300  003000-003500   00      52.91  870.9     53.40     0.80    -9999
POTCHEFSTR 031029 300  003500-004000   00      53.47  870.9     53.97     1.90    -9999
POTCHEFSTR 031029 300  004000-004500   00      51.57  870.9     52.04    -1.80    -9999
POTCHEFSTR 031029 300  004500-005000   00      51.75  870.9     52.22    -1.40    -9999
POTCHEFSTR 031029 300  005000-005500   00      52.90  870.9     53.37     0.70    -9999
POTCHEFSTR 031029 300  005500-010000   00      51.96  870.9     52.43    -1.00    -9999
POTCHEFSTR 031029 300  010000-010500   00      51.44  870.9     51.91    -2.00    -9999
POTCHEFSTR 031029 300  010500-011000   00      50.93  870.9     51.39    -3.00    -9999
POTCHEFSTR 031029 300  011000-011500   00      51.99  870.9     52.47    -1.00    -9999
POTCHEFSTR 031029 300  011500-012000   00      51.23  871.0     51.71    -2.40    -9999
POTCHEFSTR 031029 300  012000-012500   00      51.50  871.0     51.99    -1.90    -9999
POTCHEFSTR 031029 300  012500-013000   00      51.09  871.0     51.59    -2.60    -9999
POTCHEFSTR 031029 300  013000-013500   00      51.58  871.0     52.08    -1.70    -9999
POTCHEFSTR 031029 300  013500-014000   00      53.13  871.0     53.65     1.30    -9999
POTCHEFSTR 031029 300  014000-014500   00      53.42  871.0     53.95     1.80    -9999
POTCHEFSTR 031029 300  014500-015000   00      51.65  871.1     52.18    -1.50    -9999
POTCHEFSTR 031029 300  015000-015500   00      52.96  871.1     53.50     1.00    -9999
