JUNGFRAU   LATITUDE    46.55     LONGITUDE     7.98      ALTITUDE    3475 M
JUNGFRAU   INSTRUMENT   3-NM-64  NEUTRON MONITOR	
JUNGFRAU   STANDARD PRESSURE    482     MMHG   COEFFICIENT   -0.96     % / MMHG
JUNGFRAU   PRE-INCREASE BASELINE TIME INTERVAL    931028    100000-110000   UT
JUNGFRAU   PRE-INCREASE AVERAGE COUNTING RATE    317.94      COUNTS PER SECOND
JUNGFRAU   TIME INTERVALS    300         3600     
JUNGFRAU   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
JUNGFRAU   031029 300  011000-011500   00     288.87  493.6    322.96     1.60    -9999
JUNGFRAU   031029 300  011500-012000   00     290.17  493.6    324.34     2.00    -9999
JUNGFRAU   031029 300  012000-012500   00     292.96  493.5    327.21     2.90    -9999
JUNGFRAU   031029 300  012500-013000   00     289.13  493.5    322.88     1.50    -9999
JUNGFRAU   031029 300  013000-013500   00     291.10  493.5    325.02     2.20    -9999
JUNGFRAU   031029 300  013500-014000   00     291.31  493.4    325.00     2.20    -9999
JUNGFRAU   031029 300  014000-014500   00     293.23  493.4    327.08     2.90    -9999
JUNGFRAU   031029 300  014500-015000   00     294.45  493.3    328.19     3.20    -9999
JUNGFRAU   031029 300  015000-015500   00     289.86  493.2    322.83     1.50    -9999
JUNGFRAU   031029 300  015500-020000   00     291.43  493.2    324.51     2.10    -9999
JUNGFRAU   031029 300  020000-020500   00     291.54  493.2    324.64     2.10    -9999
JUNGFRAU   031029 300  020500-021000   00     291.45  493.2    324.53     2.10    -9999
JUNGFRAU   031029 300  021000-021500   00     292.54  493.2    325.69     2.40    -9999
JUNGFRAU   031029 300  021500-022000   00     291.52  493.1    324.24     2.00    -9999
JUNGFRAU   031029 300  022000-022500   00     294.89  493.0    327.74     3.10    -9999
JUNGFRAU   031029 300  022500-023000   00     292.85  492.9    325.22     2.30    -9999
JUNGFRAU   031029 300  023000-023500   00     293.12  492.9    325.58     2.40    -9999
JUNGFRAU   031029 300  023500-024000   00     291.41  492.9    323.55     1.80    -9999
JUNGFRAU   031029 300  024000-024500   00     294.21  492.9    326.60     2.70    -9999
JUNGFRAU   031029 300  024500-025000   00     295.23  492.8    327.55     3.00    -9999
JUNGFRAU   031029 300  025000-025500   00     295.82  492.8    328.20     3.20    -9999
JUNGFRAU   031029 300  025500-030000   00     293.71  492.8    325.79     2.50    -9999
JUNGFRAU   031029 300  030000-030500   00     292.86  492.8    324.79     2.10    -9999
JUNGFRAU   031029 300  030500-031000   00     294.58  492.7    326.51     2.70    -9999
JUNGFRAU   031029 300  031000-031500   00     291.41  492.7    323.00     1.60    -9999
JUNGFRAU   031029 300  031500-032000   00     293.00  492.6    324.52     2.10    -9999
JUNGFRAU   031029 300  032000-032500   00     292.75  492.6    324.17     2.00    -9999
JUNGFRAU   031029 300  032500-033000   00     290.84  492.6    321.99     1.30    -9999
JUNGFRAU   031029 300  033000-033500   00     292.59  492.6    323.80     1.80    -9999
JUNGFRAU   031029 300  033500-034000   00     295.95  492.5    327.34     3.00    -9999
JUNGFRAU   031029 300  034000-034500   00     291.67  492.5    322.47     1.40    -9999
JUNGFRAU   031029 300  034500-035000   00     296.45  492.4    327.58     3.00    -9999
JUNGFRAU   031029 300  035000-035500   00     295.06  492.4    326.05     2.60    -9999
JUNGFRAU   031029 300  035500-040000   00     292.35  492.4    322.98     1.60    -9999
JUNGFRAU   031029 300  040000-040500   00     291.51  492.3    321.86     1.20    -9999
JUNGFRAU   031029 300  040500-041000   00     294.24  492.3    324.82     2.20    -9999
JUNGFRAU   031029 300  041000-041500   00     295.59  492.3    326.32     2.60    -9999
JUNGFRAU   031029 300  041500-042000   00     297.56  492.3    328.36     3.30    -9999
JUNGFRAU   031029 300  042000-042500   00     297.16  492.3    328.04     3.20    -9999
JUNGFRAU   031029 300  042500-043000   00     297.91  492.2    328.62     3.40    -9999
JUNGFRAU   031029 300  043000-043500   00     295.82  492.2    326.25     2.60    -9999
JUNGFRAU   031029 300  043500-044000   00     298.49  492.2    329.19     3.60    -9999
JUNGFRAU   031029 300  044000-044500   00     299.02  492.2    329.65     3.70    -9999
JUNGFRAU   031029 300  044500-045000   00     296.29  492.1    326.51     2.70    -9999
JUNGFRAU   031029 300  045000-045500   00     293.98  492.1    323.84     1.80    -9999
JUNGFRAU   031029 300  045500-050000   00     296.41  492.1    326.59     2.70    -9999
JUNGFRAU   031029 300  050000-050500   00     294.78  492.1    324.79     2.20    -9999
JUNGFRAU   031029 300  050500-051000   00     295.12  492.0    324.80     2.10    -9999
JUNGFRAU   031029 300  051000-051500   00     296.03  491.8    325.29     2.30    -9999
JUNGFRAU   031029 300  051500-052000   00     295.74  491.8    324.90     2.20    -9999
JUNGFRAU   031029 300  052000-052500   00     296.34  491.7    325.25     2.30    -9999
JUNGFRAU   031029 300  052500-053000   00     300.17  491.7    329.46     3.60    -9999
JUNGFRAU   031029 300  053000-053500   00     300.82  491.7    330.18     3.80    -9999
JUNGFRAU   031029 300  053500-054000   00     298.86  491.6    327.65     3.00    -9999
JUNGFRAU   031029 300  054000-054500   00     300.77  491.6    329.87     3.80    -9999
JUNGFRAU   031029 300  054500-055000   00     304.18  491.6    333.42     4.90    -9999
JUNGFRAU   031029 300  055000-055500   00     301.52  491.5    330.19     3.90    -9999
JUNGFRAU   031029 300  055500-060000   00     304.69  491.4    333.46     4.90    -9999
JUNGFRAU   031029 300  060000-060500   00     306.04  491.4    334.95     5.40    -9999
JUNGFRAU   031029 300  060500-061000   00     303.45  491.4    332.11     4.50    -9999
JUNGFRAU   031029 300  061000-061500   00     302.21  491.4    330.74     4.00    -9999
JUNGFRAU   031029 300  061500-062000   00     303.64  491.4    332.20     4.50    -9999
JUNGFRAU   031029 300  062000-062500   00     301.54  491.3    329.64     3.70    -9999
JUNGFRAU   031029 300  062500-063000   00     297.53  491.2    325.00     2.20    -9999
